sdg,combined_n,combined_f1,combined_cosine,combined_coverage,combined_gap,osdg_n,osdg_f1,osdg_cosine,osdg_coverage,osdg_gap,osdg_policy_coverage,osdg_coverage_gap,sdgi_n,sdgi_f1,sdgi_cosine,sdgi_coverage,sdgi_gap,sdgi_policy_coverage,sdgi_coverage_gap,knowledgehub_n,knowledgehub_f1,knowledgehub_cosine,knowledgehub_coverage,knowledgehub_gap,knowledgehub_policy_coverage,knowledgehub_coverage_gap,aurora_n,aurora_f1,aurora_cosine,aurora_coverage,aurora_gap,aurora_policy_coverage,aurora_coverage_gap
1,2222,0.6865671641791045,1.0,11804,0.252615277275303,1743,0.696969696969697,0.9902821779251099,18348,0.3286316760553779,0.04775115594787726,0.04053803552241795,317,0.7076923076923077,0.9141147136688232,14782,0.2660544735047048,0.044141036498461156,0.0383298120527919,153,0.0,0.5122102499008179,35146,0.8051211866171942,0.004844162269129287,0.008972729515980424,9,0.5217391304347826,0.8227948546409607,21489,0.44652753079629215,0.05448384816862761,0.046035911345938756
2,1923,0.8539325842696629,1.0,83441,0.3240047230485519,1386,0.8444444444444444,0.9849786758422852,88364,0.33386209551972335,0.043001261034047916,0.008262860484926124,321,0.7804878048780488,0.8975667953491211,100220,0.34375634609647787,0.04126990684320327,0.00187057563328763,61,0.7916666666666666,0.8104133605957031,160806,0.4486554563922367,0.051698548812664905,0.0115188614302177,155,0.5671641791044776,0.7998768091201782,120798,0.5051302996018432,0.033155947283083194,0.014333180750197488
3,4237,0.68,1.0,470627,0.4234834497568758,2187,0.5833333333333334,0.9591313600540161,461638,0.44190217307924606,0.07326607818411097,0.10821694377840187,364,0.6071428571428571,0.8717122077941895,421276,0.41250922831994974,0.07279036622394812,0.09282520606490065,70,0.6779661016949152,0.7315599918365479,425281,0.435658421152458,0.0836700197889182,0.08352003186029487,1616,0.6296296296296297,0.8789970874786377,377884,0.4343808648638686,0.0653764603168004,0.08318048315683522
4,3876,0.9069767441860465,1.0,355720,0.2869985671294977,2983,0.9195402298850575,0.9933842420578003,353269,0.2870508849163754,0.0637452711223203,0.07513481605784024,339,0.8791208791208791,0.8965701460838318,367183,0.2893841618416564,0.06706876252246298,0.07728131362651382,41,0.8571428571428571,0.702673077583313,382814,0.29827908230613465,0.07348697229551451,0.07700809433582301,513,0.8717948717948718,0.7979612350463867,415692,0.3165451018403469,0.05492038415166507,0.10849995898655339
5,4186,0.7368421052631579,1.0,53741,0.24880456166738485,3401,0.7123287671232876,0.9959899187088013,58680,0.253849287294992,0.06904161412358134,0.04597283787734456,354,0.6575342465753424,0.8897888660430908,81372,0.29654061886461014,0.06390845434077624,0.03191880777109698,32,0.6486486486486487,0.7253380417823792,71840,0.27480257752482173,0.06369558047493404,0.03545323409576481,399,0.6376811594202898,0.8426028490066528,49479,0.25705858059455444,0.05876605828794745,0.03931445672203829
6,2519,0.8775510204081632,1.0,90715,0.49050077486895716,1879,0.8686868686868687,0.9930893182754517,104730,0.5143184164468457,0.04165615804960067,0.00048381762239586845,304,0.8387096774193549,0.8980764150619507,72936,0.43004559150758503,0.04083613905356,0.012162923915599439,122,0.8484848484848485,0.8452893495559692,129462,0.5216016569762012,0.045844327176781004,0.005050865570156722,214,0.65,0.784992516040802,119951,0.5946727991046602,0.028603500602835404,0.018552647650612923
7,3093,0.8775510204081632,1.0,198743,0.4971707164819793,2398,0.8712871287128713,0.9954006671905518,216430,0.5029321928523331,0.05294241277847835,0.03214237322992359,316,0.8686868686868687,0.9064909815788269,233924,0.5119911981843985,0.04831346952264887,0.04364870523237315,67,0.8598130841121495,0.8471225500106812,340638,0.5681574979450532,0.06546833773087071,0.0684461442555915,312,0.8823529411764706,0.9042998552322388,150021,0.496696755963667,0.05496195900719245,0.004015561122948784
8,1526,0.5483870967741935,1.0,41898,0.26897658866351204,1104,0.5230769230769231,0.9830056428909302,38662,0.2858903795420016,0.047562000840689365,0.032362869497267306,325,0.4067796610169492,0.8925371766090393,63828,0.3173038577015641,0.04438890380682874,0.019296302405247268,18,0.3620689655172414,0.7479830980300903,124609,0.3794546722207731,0.09593502638522428,0.04694768590691278,79,0.32653061224489793,0.8182200789451599,88471,0.24061381235587964,0.07525048850455245,0.04047002321346836
9,2601,0.6779661016949152,1.0,247370,0.23405170962906707,2016,0.6176470588235294,0.9918850660324097,271741,0.26133241188008927,0.09577553593947037,0.011053576636000456,285,0.6153846153846154,0.8498061299324036,240883,0.3135573560419139,0.06442484456654204,0.030273110929747216,18,0.5517241379310345,0.7297099232673645,131436,0.23596320159328377,0.05755277044854881,0.005881542181671216,282,0.16,0.7566861510276794,297119,0.287794687412694,0.059410468548621795,0.05739545731207393
10,1899,0.7333333333333333,1.0,20323,0.43217303371423854,1388,0.711864406779661,0.9845990538597107,25249,0.5157230382092813,0.013955443463640185,0.004029343745827772,256,0.6,0.8738169074058533,42974,0.42871298036307337,0.028628674116456324,0.011734372984796827,51,0.15,0.5254161953926086,76100,0.3718962973290304,0.0386502308707124,0.00873315738164255,204,0.10810810810810811,0.617987871170044,85597,0.32829201770364047,0.029559722279965076,0.004090891904580417
11,2268,0.5454545454545454,1.0,136616,0.44676059898355236,1616,0.509090909090909,0.9907668828964233,141142,0.46649505124250135,0.06597309794031106,0.01048616513618101,274,0.5714285714285714,0.8978654742240906,91158,0.3461829166751349,0.04550430669448289,0.009667505313186837,67,0.6296296296296297,0.7490506172180176,108151,0.367889471455491,0.05066787598944591,0.0081506432047364,311,0.5384615384615384,0.8923298120498657,190345,0.5249270019246847,0.05078368602669106,0.024046344896791208
12,1342,0.6842105263157895,1.0,90960,0.42410951720153445,718,0.7012987012987013,0.9812869429588318,96433,0.43047223444025695,0.043043295502311896,0.005132741655117769,287,0.6987951807228916,0.9463824033737183,62947,0.3159897303703152,0.0387912337595274,0.014044978504383118,75,0.6585365853658537,0.8771756887435913,97454,0.35493641363204875,0.052007750659630606,0.01369581268586171,262,0.5079365079365079,0.8689101934432983,66345,0.5771668325482886,0.023406643661913275,0.0026754619968559663
13,2501,0.6944444444444444,1.0,110645,0.5282932961185718,1535,0.6436781609195402,0.9855074882507324,155820,0.5716315440197568,0.16990332072299286,0.10864604882986717,305,0.6229508196721312,0.9153784513473511,141882,0.5294583395381111,0.09348728647264165,0.03770943863064154,346,0.6037735849056604,0.9004018306732178,62480,0.49480753868463334,0.06313901715039578,0.038576352871853285,315,0.22727272727272727,0.7735273838043213,160148,0.5511756214469488,0.04271816405437991,0.020240567681856066
14,1475,0.821917808219178,1.0,99162,0.4852190445221478,960,0.821917808219178,0.9815458655357361,101402,0.49158650490288336,0.032976040353089535,0.006887968660559095,256,0.7894736842105263,0.9172894954681396,123624,0.5336172149169188,0.03846074401503728,0.010139364960163391,121,0.7837837837837838,0.8358471393585205,115658,0.5270260386402177,0.039928265171503954,0.005540182733868457,138,0.6129032258064516,0.8004299402236938,100242,0.5445050692566353,0.026358458404357046,0.013049521631008785
15,2763,0.6829268292682927,1.0,175447,0.46465820739475283,1853,0.6829268292682927,0.9919414520263672,194906,0.47191291002291513,0.04934846574190836,0.027274623948770324,299,0.6987951807228916,0.9325361251831055,214340,0.5036543241270397,0.04257121021213311,0.04169193737850068,204,0.6666666666666666,0.8613671064376831,186868,0.4850945390634944,0.05039990105540897,0.023063222318513564,407,0.5714285714285714,0.8748307824134827,107125,0.42740753539634047,0.035899887747890075,0.006213995268096885
