family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.021987,54,2456,54082
full_policy_corpus,Full corpus,2,0.016694,41,2456,54082
full_policy_corpus,Full corpus,3,0.02443,60,2456,54082
full_policy_corpus,Full corpus,4,0.019544,48,2456,54082
full_policy_corpus,Full corpus,5,0.05741,141,2456,54082
full_policy_corpus,Full corpus,6,0.008958,22,2456,54082
full_policy_corpus,Full corpus,7,0.02158,53,2456,54082
full_policy_corpus,Full corpus,8,0.016287,40,2456,54082
full_policy_corpus,Full corpus,9,0.035423,87,2456,54082
full_policy_corpus,Full corpus,10,0.003664,9,2456,54082
full_policy_corpus,Full corpus,11,0.019544,48,2456,54082
full_policy_corpus,Full corpus,12,0.003664,9,2456,54082
full_policy_corpus,Full corpus,13,0.191775,471,2456,54082
full_policy_corpus,Full corpus,14,0.017508,43,2456,54082
full_policy_corpus,Full corpus,15,0.016694,41,2456,54082
full_policy_corpus,Full corpus,16,0.454805,1117,2456,54082
full_policy_corpus,Full corpus,17,0.070033,172,2456,54082
curated_ai_sdg,Curated AI/SDG,1,0.010526,1,95,15639
curated_ai_sdg,Curated AI/SDG,2,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,3,0.094737,9,95,15639
curated_ai_sdg,Curated AI/SDG,4,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,5,0.010526,1,95,15639
curated_ai_sdg,Curated AI/SDG,6,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,7,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,8,0.010526,1,95,15639
curated_ai_sdg,Curated AI/SDG,9,0.568421,54,95,15639
curated_ai_sdg,Curated AI/SDG,10,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,11,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,12,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,13,0.073684,7,95,15639
curated_ai_sdg,Curated AI/SDG,14,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,15,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,16,0.094737,9,95,15639
curated_ai_sdg,Curated AI/SDG,17,0.136842,13,95,15639
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.019169,6,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.025559,8,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.108626,34,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.121406,38,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.162939,51,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.028754,9,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.041534,13,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.089457,28,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.057508,18,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.00639,2,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.134185,42,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.019169,6,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.022364,7,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.019169,6,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.057508,18,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.051118,16,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.035144,11,313,31971
ungdc_speeches,UNGDC speeches,1,0.022949,47,2048,6472
ungdc_speeches,UNGDC speeches,2,0.016113,33,2048,6472
ungdc_speeches,UNGDC speeches,3,0.008301,17,2048,6472
ungdc_speeches,UNGDC speeches,4,0.004883,10,2048,6472
ungdc_speeches,UNGDC speeches,5,0.043457,89,2048,6472
ungdc_speeches,UNGDC speeches,6,0.006348,13,2048,6472
ungdc_speeches,UNGDC speeches,7,0.019531,40,2048,6472
ungdc_speeches,UNGDC speeches,8,0.005371,11,2048,6472
ungdc_speeches,UNGDC speeches,9,0.007324,15,2048,6472
ungdc_speeches,UNGDC speeches,10,0.003418,7,2048,6472
ungdc_speeches,UNGDC speeches,11,0.00293,6,2048,6472
ungdc_speeches,UNGDC speeches,12,0.001465,3,2048,6472
ungdc_speeches,UNGDC speeches,13,0.223145,457,2048,6472
ungdc_speeches,UNGDC speeches,14,0.018066,37,2048,6472
ungdc_speeches,UNGDC speeches,15,0.01123,23,2048,6472
ungdc_speeches,UNGDC speeches,16,0.533203,1092,2048,6472
ungdc_speeches,UNGDC speeches,17,0.072266,148,2048,6472
