family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,17563,2970,2214,351,351,50,0.67284,0.32716,0.628618,False
full_policy_corpus,2,86745,2119,2020,347,347,50,0.66569,0.33431,0.634566,False
full_policy_corpus,3,454371,3893,3506,391,391,50,0.557969,0.442031,0.567966,False
full_policy_corpus,4,352005,3009,2994,366,366,50,0.714003,0.285997,0.608436,False
full_policy_corpus,5,58242,3107,3066,499,499,50,0.750211,0.249789,0.626256,False
full_policy_corpus,6,102589,1992,1941,302,302,50,0.487746,0.512254,0.667607,False
full_policy_corpus,7,212882,2563,2343,367,367,50,0.50465,0.49535,0.647437,False
full_policy_corpus,8,37550,2623,2415,312,312,50,0.70509,0.29491,0.578798,False
full_policy_corpus,9,260631,4601,3626,408,408,50,0.76695,0.23305,0.563143,False
full_policy_corpus,10,23872,852,732,208,208,50,0.470101,0.529899,0.571019,False
full_policy_corpus,11,138646,2797,2735,297,297,50,0.546696,0.453304,0.567184,False
full_policy_corpus,12,94787,2283,1951,286,286,50,0.570061,0.429939,0.625651,False
full_policy_corpus,13,133076,4972,4530,1503,1503,50,0.464986,0.535014,0.65678,False
full_policy_corpus,14,98797,2058,1675,343,343,50,0.510332,0.489668,0.656704,False
full_policy_corpus,15,188842,2395,2156,353,353,50,0.538154,0.461846,0.631151,False
full_policy_corpus,16,213730,3769,3408,1183,1183,50,0.658836,0.341164,0.543483,False
full_policy_corpus,17,69370,8079,6651,1709,1709,50,0.342901,0.657099,0.592785,False
curated_ai_sdg,1,17563,1158,402,26,26,50,0.636802,0.363198,0.604562,False
curated_ai_sdg,2,86745,360,261,35,35,50,0.602942,0.397058,0.631815,False
curated_ai_sdg,3,454371,1127,740,53,53,50,0.664094,0.335906,0.541167,False
curated_ai_sdg,4,352005,391,376,52,52,50,0.71393,0.28607,0.567,False
curated_ai_sdg,5,58242,364,323,38,38,50,0.751306,0.248694,0.585282,False
curated_ai_sdg,6,102589,231,180,30,30,50,0.451185,0.548815,0.681687,False
curated_ai_sdg,7,212882,617,397,40,40,50,0.482695,0.517305,0.634406,False
curated_ai_sdg,8,37550,653,445,44,44,50,0.687927,0.312073,0.580803,False
curated_ai_sdg,9,260631,2907,1932,90,90,50,0.797977,0.202023,0.612701,False
curated_ai_sdg,10,23872,387,267,30,30,50,0.510873,0.489127,0.569611,False
curated_ai_sdg,11,138646,283,264,38,38,50,0.554631,0.445369,0.601987,False
curated_ai_sdg,12,94787,605,273,33,33,50,0.524616,0.475384,0.582665,False
curated_ai_sdg,13,133076,1227,785,54,54,50,0.516405,0.483595,0.612725,False
curated_ai_sdg,14,98797,621,238,26,26,50,0.534077,0.465923,0.675634,False
curated_ai_sdg,15,188842,573,334,33,33,50,0.495546,0.504454,0.657582,False
curated_ai_sdg,16,213730,1101,740,75,75,50,0.711046,0.288954,0.557959,False
curated_ai_sdg,17,69370,3034,1609,92,92,50,0.379673,0.620327,0.591671,False
sdgi_vnr_vlr,1,17563,1719,1719,240,240,50,0.669989,0.330011,0.649462,False
sdgi_vnr_vlr,2,86745,1665,1665,224,224,50,0.670076,0.329924,0.645603,False
sdgi_vnr_vlr,3,454371,2699,2699,274,274,50,0.519121,0.480879,0.58902,False
