tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006306,0.416561,0.017179,0.100981,0.00732,17.0,16.18
2k,2000,100,False,0.004304,0.396758,0.013135,0.101972,0.00565,17.0,16.96
5k,5000,100,False,0.002794,0.377771,0.009196,0.101814,0.003331,17.0,17.0
10k,10000,100,False,0.002006,0.37058,0.006738,0.102182,0.002605,17.0,17.0
20k,20000,100,False,0.001378,0.365735,0.004436,0.101489,0.001536,17.0,17.0
50k,50000,100,False,0.000849,0.363274,0.003246,0.101558,0.000985,17.0,17.0
100k,100000,100,False,0.000611,0.362155,0.002226,0.101683,0.000762,17.0,17.0
200k,200000,100,False,0.000412,0.361922,0.001613,0.101671,0.000516,17.0,17.0
500k,500000,100,False,0.00025,0.36174,0.00094,0.101613,0.000279,17.0,17.0
1m,1000000,100,False,0.000157,0.361614,0.00051,0.101629,0.000178,17.0,17.0
2m,2000000,100,False,6.7e-05,0.361596,0.000224,0.101637,8e-05,17.0,17.0
full corpus,4307348,1,True,,0.361649,,0.101631,,,
