family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.012627,31,2455,59414
full_policy_corpus,Full corpus,2,0.017923,44,2455,59414
full_policy_corpus,Full corpus,3,0.028513,70,2455,59414
full_policy_corpus,Full corpus,4,0.020774,51,2455,59414
full_policy_corpus,Full corpus,5,0.029735,73,2455,59414
full_policy_corpus,Full corpus,6,0.005703,14,2455,59414
full_policy_corpus,Full corpus,7,0.010183,25,2455,59414
full_policy_corpus,Full corpus,8,0.010998,27,2455,59414
full_policy_corpus,Full corpus,9,0.029735,73,2455,59414
full_policy_corpus,Full corpus,10,0.003666,9,2455,59414
full_policy_corpus,Full corpus,11,0.015071,37,2455,59414
full_policy_corpus,Full corpus,12,0.002444,6,2455,59414
full_policy_corpus,Full corpus,13,0.212627,522,2455,59414
full_policy_corpus,Full corpus,14,0.015886,39,2455,59414
full_policy_corpus,Full corpus,15,0.014257,35,2455,59414
full_policy_corpus,Full corpus,16,0.396334,973,2455,59414
full_policy_corpus,Full corpus,17,0.173523,426,2455,59414
curated_ai_sdg,Curated AI/SDG,1,0.010638,1,94,18231
curated_ai_sdg,Curated AI/SDG,2,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,3,0.106383,10,94,18231
curated_ai_sdg,Curated AI/SDG,4,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,5,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,6,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,7,0.010638,1,94,18231
curated_ai_sdg,Curated AI/SDG,8,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,9,0.510638,48,94,18231
curated_ai_sdg,Curated AI/SDG,10,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,11,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,12,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,13,0.074468,7,94,18231
curated_ai_sdg,Curated AI/SDG,14,0.0,0,94,18231
curated_ai_sdg,Curated AI/SDG,15,0.010638,1,94,18231
curated_ai_sdg,Curated AI/SDG,16,0.074468,7,94,18231
curated_ai_sdg,Curated AI/SDG,17,0.202128,19,94,18231
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.035144,11,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.028754,9,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.140575,44,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.140575,44,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.076677,24,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.025559,8,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.025559,8,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.083067,26,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.028754,9,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.01278,4,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.111821,35,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.019169,6,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.051118,16,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.025559,8,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.047923,15,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.073482,23,313,32208
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.073482,23,313,32208
ungdc_speeches,UNGDC speeches,1,0.009277,19,2048,8975
ungdc_speeches,UNGDC speeches,2,0.01709,35,2048,8975
ungdc_speeches,UNGDC speeches,3,0.007812,16,2048,8975
ungdc_speeches,UNGDC speeches,4,0.003418,7,2048,8975
ungdc_speeches,UNGDC speeches,5,0.023926,49,2048,8975
ungdc_speeches,UNGDC speeches,6,0.00293,6,2048,8975
ungdc_speeches,UNGDC speeches,7,0.007812,16,2048,8975
ungdc_speeches,UNGDC speeches,8,0.000488,1,2048,8975
ungdc_speeches,UNGDC speeches,9,0.007812,16,2048,8975
ungdc_speeches,UNGDC speeches,10,0.002441,5,2048,8975
ungdc_speeches,UNGDC speeches,11,0.000977,2,2048,8975
ungdc_speeches,UNGDC speeches,12,0.0,0,2048,8975
ungdc_speeches,UNGDC speeches,13,0.243652,499,2048,8975
ungdc_speeches,UNGDC speeches,14,0.015137,31,2048,8975
ungdc_speeches,UNGDC speeches,15,0.009277,19,2048,8975
ungdc_speeches,UNGDC speeches,16,0.460449,943,2048,8975
ungdc_speeches,UNGDC speeches,17,0.1875,384,2048,8975
