family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,21251,2857,2425,483,483,50,0.656703,0.343297,0.620665,False
full_policy_corpus,2,118848,2412,2272,410,410,50,0.702843,0.297157,0.623239,False
full_policy_corpus,3,1192476,4208,3630,456,456,50,0.516606,0.483394,0.563181,False
full_policy_corpus,4,582972,3371,3271,421,421,50,0.72102,0.27898,0.599172,False
full_policy_corpus,5,160212,3109,3072,539,539,50,0.537741,0.462259,0.60961,False
full_policy_corpus,6,74408,1891,1855,286,286,50,0.708064,0.291936,0.667906,False
full_policy_corpus,7,201931,2657,2339,400,400,50,0.607843,0.392157,0.640111,False
full_policy_corpus,8,110083,3299,3076,358,358,50,0.574376,0.425624,0.548341,False
full_policy_corpus,9,663950,5037,3891,409,409,50,0.669202,0.330798,0.556752,False
full_policy_corpus,10,92163,2209,1669,356,356,50,0.529992,0.470008,0.53404,False
full_policy_corpus,11,167457,2492,2470,304,304,50,0.642515,0.357485,0.570542,False
full_policy_corpus,12,74384,1861,1690,281,281,50,0.682348,0.317652,0.625464,False
full_policy_corpus,13,230739,5151,4477,1432,1432,50,0.508779,0.491221,0.639013,False
full_policy_corpus,14,60466,1992,1781,405,405,50,0.689352,0.310648,0.655001,False
full_policy_corpus,15,210032,2917,2326,426,426,50,0.665114,0.334886,0.601965,False
full_policy_corpus,16,313001,7496,6996,1739,1739,50,0.692598,0.307402,0.551008,False
full_policy_corpus,17,32975,6455,5335,1430,1430,50,0.747724,0.252276,0.599203,False
curated_ai_sdg,1,21251,863,431,31,31,50,0.650779,0.349221,0.612329,False
curated_ai_sdg,2,118848,503,363,44,44,50,0.656584,0.343416,0.610643,False
curated_ai_sdg,3,1192476,1425,847,62,62,50,0.606183,0.393817,0.5332,False
curated_ai_sdg,4,582972,608,508,66,66,50,0.72266,0.27734,0.551882,False
curated_ai_sdg,5,160212,542,505,54,54,50,0.646557,0.353443,0.530144,False
curated_ai_sdg,6,74408,255,219,24,24,50,0.657736,0.342264,0.645354,False
curated_ai_sdg,7,201931,787,469,46,46,50,0.552258,0.447742,0.615275,False
curated_ai_sdg,8,110083,912,689,65,65,50,0.62897,0.37103,0.547108,False
curated_ai_sdg,9,663950,3285,2139,88,88,50,0.70452,0.29548,0.612708,False
curated_ai_sdg,10,92163,935,395,47,47,50,0.494465,0.505535,0.519924,False
curated_ai_sdg,11,167457,326,326,45,45,50,0.635956,0.364044,0.604387,False
curated_ai_sdg,12,74384,460,289,43,43,50,0.592461,0.407539,0.562943,False
curated_ai_sdg,13,230739,1520,846,60,60,50,0.568034,0.431966,0.581547,False
curated_ai_sdg,14,60466,465,254,26,26,50,0.694139,0.305861,0.679339,False
curated_ai_sdg,15,210032,1078,487,54,54,50,0.645457,0.354543,0.557012,False
curated_ai_sdg,16,313001,1693,1193,80,80,50,0.740319,0.259681,0.577817,False
curated_ai_sdg,17,32975,2574,1454,85,85,50,0.818125,0.181875,0.603013,False
