family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.020367,50,2455,40547
full_policy_corpus,Full corpus,2,0.012627,31,2455,40547
full_policy_corpus,Full corpus,3,0.021996,54,2455,40547
full_policy_corpus,Full corpus,4,0.021589,53,2455,40547
full_policy_corpus,Full corpus,5,0.03055,75,2455,40547
full_policy_corpus,Full corpus,6,0.008147,20,2455,40547
full_policy_corpus,Full corpus,7,0.01222,30,2455,40547
full_policy_corpus,Full corpus,8,0.013035,32,2455,40547
full_policy_corpus,Full corpus,9,0.029328,72,2455,40547
full_policy_corpus,Full corpus,10,0.004073,10,2455,40547
full_policy_corpus,Full corpus,11,0.016293,40,2455,40547
full_policy_corpus,Full corpus,12,0.003666,9,2455,40547
full_policy_corpus,Full corpus,13,0.188187,462,2455,40547
full_policy_corpus,Full corpus,14,0.020367,50,2455,40547
full_policy_corpus,Full corpus,15,0.014664,36,2455,40547
full_policy_corpus,Full corpus,16,0.350305,860,2455,40547
full_policy_corpus,Full corpus,17,0.232587,571,2455,40547
curated_ai_sdg,Curated AI/SDG,1,0.010638,1,94,13073
curated_ai_sdg,Curated AI/SDG,2,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,3,0.06383,6,94,13073
curated_ai_sdg,Curated AI/SDG,4,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,5,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,6,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,7,0.010638,1,94,13073
curated_ai_sdg,Curated AI/SDG,8,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,9,0.542553,51,94,13073
curated_ai_sdg,Curated AI/SDG,10,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,11,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,12,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,13,0.074468,7,94,13073
curated_ai_sdg,Curated AI/SDG,14,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,15,0.0,0,94,13073
curated_ai_sdg,Curated AI/SDG,16,0.085106,8,94,13073
curated_ai_sdg,Curated AI/SDG,17,0.212766,20,94,13073
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.038339,12,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.019169,6,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.124601,39,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.14377,45,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.089457,28,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.025559,8,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.035144,11,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.092652,29,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.035144,11,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.01278,4,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.121406,38,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.022364,7,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.047923,15,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.022364,7,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.035144,11,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.073482,23,313,21346
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.060703,19,313,21346
ungdc_speeches,UNGDC speeches,1,0.018066,37,2048,6128
ungdc_speeches,UNGDC speeches,2,0.012207,25,2048,6128
ungdc_speeches,UNGDC speeches,3,0.004395,9,2048,6128
ungdc_speeches,UNGDC speeches,4,0.003906,8,2048,6128
ungdc_speeches,UNGDC speeches,5,0.022949,47,2048,6128
ungdc_speeches,UNGDC speeches,6,0.005859,12,2048,6128
ungdc_speeches,UNGDC speeches,7,0.008789,18,2048,6128
ungdc_speeches,UNGDC speeches,8,0.001465,3,2048,6128
ungdc_speeches,UNGDC speeches,9,0.004883,10,2048,6128
ungdc_speeches,UNGDC speeches,10,0.00293,6,2048,6128
ungdc_speeches,UNGDC speeches,11,0.000977,2,2048,6128
ungdc_speeches,UNGDC speeches,12,0.000977,2,2048,6128
ungdc_speeches,UNGDC speeches,13,0.214844,440,2048,6128
ungdc_speeches,UNGDC speeches,14,0.020996,43,2048,6128
ungdc_speeches,UNGDC speeches,15,0.012207,25,2048,6128
ungdc_speeches,UNGDC speeches,16,0.404785,829,2048,6128
ungdc_speeches,UNGDC speeches,17,0.259766,532,2048,6128
