family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,16547,1646,1634,372,372,50,0.564588,0.435412,0.686908,False
full_policy_corpus,2,79040,1710,1486,314,314,50,0.714512,0.285488,0.710709,False
full_policy_corpus,3,785877,2901,2428,352,352,50,0.534932,0.465068,0.643041,False
full_policy_corpus,4,453225,2059,2059,350,350,50,0.737759,0.262241,0.669876,False
full_policy_corpus,5,76401,2013,1982,463,463,50,0.667101,0.332899,0.694587,False
full_policy_corpus,6,34415,1214,1214,258,258,50,0.71834,0.28166,0.724028,False
full_policy_corpus,7,124706,1853,1573,332,332,50,0.566366,0.433634,0.687677,False
full_policy_corpus,8,74641,1969,1900,298,298,50,0.573063,0.426937,0.639642,False
full_policy_corpus,9,566759,4073,3004,329,329,50,0.711129,0.288871,0.623974,False
full_policy_corpus,10,42642,1299,1183,281,281,50,0.69057,0.30943,0.636151,False
full_policy_corpus,11,149238,1612,1599,250,250,50,0.539718,0.460282,0.646383,False
full_policy_corpus,12,65438,1223,1125,241,241,50,0.574281,0.425719,0.694995,False
full_policy_corpus,13,129642,3385,3077,1182,1182,50,0.521978,0.478022,0.707676,False
full_policy_corpus,14,62093,1634,1278,377,377,50,0.608505,0.391495,0.713257,False
full_policy_corpus,15,79857,1809,1446,308,308,50,0.770965,0.229035,0.673928,False
full_policy_corpus,16,351230,5489,4755,1499,1499,50,0.667521,0.332479,0.614377,False
full_policy_corpus,17,13393,4658,3792,1358,1358,50,0.781478,0.218522,0.690919,False
curated_ai_sdg,1,16547,339,327,26,26,50,0.548559,0.451441,0.699042,False
curated_ai_sdg,2,79040,463,239,34,34,50,0.680322,0.319678,0.735728,False
curated_ai_sdg,3,785877,1125,652,48,48,50,0.65234,0.34766,0.614515,False
curated_ai_sdg,4,453225,280,280,47,47,50,0.795882,0.204118,0.619994,False
curated_ai_sdg,5,76401,302,271,37,37,50,0.689826,0.310174,0.684826,False
curated_ai_sdg,6,34415,146,146,19,19,50,0.656973,0.343027,0.746137,False
curated_ai_sdg,7,124706,648,368,37,37,50,0.492823,0.507177,0.674033,False
curated_ai_sdg,8,74641,384,315,41,41,50,0.580652,0.419348,0.659242,False
curated_ai_sdg,9,566759,2940,1871,83,83,50,0.748495,0.251505,0.697899,False
curated_ai_sdg,10,42642,427,311,36,36,50,0.626088,0.373912,0.664751,False
curated_ai_sdg,11,149238,155,155,31,31,50,0.558313,0.441687,0.684619,False
curated_ai_sdg,12,65438,266,168,26,26,50,0.518801,0.481199,0.659907,False
curated_ai_sdg,13,129642,909,601,47,47,50,0.570715,0.429285,0.683088,False
curated_ai_sdg,14,62093,582,226,31,31,50,0.617637,0.382363,0.702119,False
curated_ai_sdg,15,79857,646,283,28,28,50,0.716052,0.283948,0.679751,False
curated_ai_sdg,16,351230,1701,967,77,77,50,0.794019,0.205981,0.643513,False
curated_ai_sdg,17,13393,1760,894,69,69,50,0.797826,0.202174,0.705076,False
sdgi_vnr_vlr,1,16547,1188,1188,234,234,50,0.560214,0.439786,0.70411,False
sdgi_vnr_vlr,2,79040,1176,1176,211,211,50,0.71708,0.28292,0.716207,False
sdgi_vnr_vlr,3,785877,1715,1715,246,246,50,0.478428,0.521572,0.681576,False
sdgi_vnr_vlr,4,453225,1712,1712,247,247,50,0.717458,0.282542,0.691994,False
sdgi_vnr_vlr,5,76401,1512,1512,246,246,50,0.659962,0.340038,0.710355,False
sdgi_vnr_vlr,6,34415,1040,1040,216,216,50,0.718337,0.281663,0.731235,False
sdgi_vnr_vlr,7,124706,1138,1138,234,234,50,0.580709,0.419291,0.71122,False
sdgi_vnr_vlr,8,74641,1563,1563,235,235,50,0.560703,0.439297,0.649379,False
sdgi_vnr_vlr,9,566759,1107,1107,221,221,50,0.4742,0.5258,0.657703,False
sdgi_vnr_vlr,10,42642,820,820,195,195,50,0.68616,0.31384,0.655805,False
sdgi_vnr_vlr,11,149238,1447,1434,210,210,50,0.532929,0.467071,0.64848,False
sdgi_vnr_vlr,12,65438,953,953,211,211,50,0.570193,0.429807,0.718082,False
sdgi_vnr_vlr,13,129642,1278,1278,230,230,50,0.557062,0.442938,0.707035,False
