metric,value
script,1_code/7_main_analysis/3_appendix/a3b_loo_sdgi_circularity.py
scope,SDGi-excluded (OSDG+KH+Aurora) centroid; SDGi policy segments rescored.
n_sdgi_segments,21346
n_policy_segments_total,40547
n_research_papers,3105144
loo_centroid_sources_per_sdg,{1: 3, 2: 3, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3, 8: 3, 9: 3, 10: 3, 11: 3, 12: 3, 13: 3, 14: 3, 15: 3, 16: 3, 17: 2}
policy_top_sdgi_excl_centroid,0.642
full_policy_top_sdgi_excl_centroid,0.6201
paper_top_sdgi_excl_centroid,0.2489
gap_sdgi_segments,0.3931
canonical_policy_top,0.768
canonical_paper_top,0.656
canonical_gap,0.113
gap_change_vs_canonical,0.2801
