tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006395,0.427107,0.020233,0.112427,0.007835,17.0,15.05
2k,2000,100,False,0.004475,0.394104,0.014177,0.113053,0.005785,17.0,16.31
5k,5000,100,False,0.002936,0.371458,0.009052,0.112162,0.003706,17.0,17.0
10k,10000,100,False,0.001984,0.364612,0.006346,0.11286,0.002553,17.0,17.0
20k,20000,100,False,0.00141,0.361116,0.004926,0.112725,0.001846,17.0,17.0
50k,50000,100,False,0.000897,0.358201,0.003204,0.112691,0.001098,17.0,17.0
100k,100000,100,False,0.000637,0.35748,0.002397,0.112879,0.00074,17.0,17.0
200k,200000,100,False,0.000442,0.356976,0.001639,0.112876,0.000534,17.0,17.0
500k,500000,100,False,0.000252,0.356539,0.000885,0.112815,0.000303,17.0,17.0
1m,1000000,100,False,0.000156,0.356434,0.000626,0.112801,0.000187,17.0,17.0
2m,2000000,100,False,6.7e-05,0.356356,0.00025,0.112764,8e-05,17.0,17.0
full corpus,3105144,1,True,,0.356341,,0.112775,,,
