iteration,test_acc
1,0.9775
2,0.9312
3,0.8967
4,0.8706
5,0.8263
6,0.8143
7,0.8067
8,0.7861
9,0.7747
10,0.761
11,0.752
12,0.7447
13,0.7282
14,0.7143
15,0.6843
16,0.6531
17,0.639
18,0.6314
19,0.6178
20,0.6092
21,0.5937
22,0.5882
23,0.6
24,0.5875
25,0.5592
26,0.5639
27,0.5633
28,0.562
29,0.5502
30,0.56
31,0.5467
32,0.5569
33,0.5429
34,0.5565
35,0.5429
36,0.5298
37,0.5316
38,0.5155
39,0.5345
40,0.5357
41,0.5249
42,0.5257
43,0.538
44,0.5194
45,0.5265
46,0.509
47,0.5251
48,0.5206
49,0.5204
50,0.5227
51,0.518
52,0.5218
53,0.531
54,0.5267
55,0.5006
56,0.5071
57,0.5204
58,0.5
