corpus,sdg,n_assigned,mean_cosine_to_assigned_centroid,median_cosine_to_assigned_centroid,std_cosine_to_assigned_centroid,mean_assignment_margin,median_assignment_margin,share_margin_gt_0_01,share_margin_gt_0_05,nearest_competing_sdg_centroid,mean_similarity_to_nearest_competing_centroid,separation_gap
research,1,17563,0.335413,0.369388,0.145994,0.024777,0.03494,0.571656,0.454592,10,0.310636,0.024777
research,2,86745,0.415739,0.405544,0.17096,0.036671,0.048972,0.617972,0.496397,15,0.379069,0.036671
research,3,454371,0.374511,0.369861,0.136125,0.040234,0.042908,0.619271,0.474269,17,0.334278,0.040234
research,4,352005,0.451435,0.472237,0.128201,0.140643,0.162719,0.801401,0.738722,8,0.310792,0.140643
research,5,58242,0.371031,0.391832,0.135338,0.048191,0.060523,0.645067,0.533533,16,0.32284,0.048191
research,6,102589,0.41013,0.41958,0.15522,0.019836,0.023104,0.571007,0.359824,15,0.390293,0.019836
research,7,212882,0.41126,0.414663,0.148708,0.073872,0.073941,0.721329,0.584535,6,0.337388,0.073872
research,8,37550,0.394655,0.421234,0.137818,0.055024,0.086264,0.702237,0.611638,9,0.339631,0.055024
research,9,260631,0.379249,0.383897,0.118459,0.018159,0.01976,0.537918,0.382341,8,0.36109,0.018159
research,10,23872,0.304806,0.3126,0.122295,0.030814,0.031758,0.577078,0.433311,17,0.273992,0.030814
research,11,138646,0.406702,0.420371,0.139446,0.048567,0.054081,0.677978,0.51687,15,0.358135,0.048567
research,12,94787,0.350752,0.348898,0.126517,0.018554,0.022678,0.548704,0.395023,6,0.332198,0.018554
research,13,133076,0.389853,0.408463,0.140945,-0.001269,0.009944,0.499699,0.348049,17,0.391122,-0.001269
research,14,98797,0.340016,0.339371,0.136556,-0.008685,-0.008512,0.408282,0.246789,6,0.348701,-0.008685
research,15,188842,0.406692,0.422282,0.154533,0.006988,0.015758,0.528384,0.330276,13,0.399704,0.006988
research,16,213730,0.35173,0.366124,0.121462,0.024993,0.033139,0.581785,0.437267,5,0.326737,0.024993
research,17,69370,0.343207,0.36162,0.134348,0.037015,0.036138,0.532449,0.483509,3,0.306192,0.037015
policy,1,2970,0.584542,0.63456,0.155635,0.035034,0.045521,0.691919,0.472054,10,0.549508,0.035034
policy,2,2119,0.630174,0.645532,0.095558,0.112118,0.111551,0.91411,0.790939,1,0.518057,0.112118
policy,3,3893,0.55789,0.56958,0.106096,0.104987,0.108587,0.851015,0.710763,1,0.452903,0.104987
policy,4,3009,0.606865,0.625674,0.107022,0.135312,0.14326,0.91891,0.824859,1,0.471554,0.135312
policy,5,3107,0.622685,0.641171,0.110131,0.125933,0.12836,0.887029,0.766978,16,0.496753,0.125932
policy,6,1992,0.66525,0.680566,0.095413,0.143197,0.156002,0.944277,0.835341,12,0.522052,0.143198
policy,7,2563,0.636968,0.651732,0.098846,0.125724,0.122373,0.959813,0.828326,12,0.511244,0.125724
policy,8,2623,0.579401,0.592955,0.097177,0.047924,0.047999,0.758292,0.48761,10,0.531477,0.047924
policy,9,4601,0.563603,0.576162,0.106276,0.101078,0.10566,0.796131,0.663986,17,0.462525,0.101078
policy,10,852,0.554864,0.582254,0.124038,0.057784,0.053471,0.840376,0.526995,1,0.49708,0.057784
policy,11,2797,0.565386,0.572438,0.105798,0.089069,0.079223,0.892027,0.68359,12,0.476317,0.089069
policy,12,2283,0.584588,0.625015,0.164048,0.082921,0.07447,0.790188,0.612352,7,0.501667,0.082921
policy,13,4972,0.650747,0.6659,0.097658,0.075166,0.075291,0.850563,0.651448,17,0.575581,0.075166
policy,14,2058,0.645854,0.683759,0.132776,0.14298,0.145829,0.924684,0.841108,15,0.502874,0.14298
policy,15,2395,0.630975,0.651366,0.10242,0.106153,0.103899,0.874322,0.724426,14,0.524821,0.106153
policy,16,3769,0.527136,0.547756,0.119446,0.050721,0.049322,0.734412,0.495622,17,0.476415,0.050721
policy,17,8079,0.57524,0.594474,0.119931,0.0266,0.030645,0.644882,0.355118,13,0.548639,0.0266
