variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.03,research,1,33350.068251,0.013111,0.00464,0.008471
raw_softmax,0.03,policy,1,49.4477,0.020133,0.017915,0.002218
raw_softmax,0.03,research,2,99334.04082,0.039051,0.032803,0.006248
raw_softmax,0.03,policy,2,46.711483,0.019019,0.008143,0.010876
raw_softmax,0.03,research,3,386225.63475,0.151836,0.185017,-0.033181
raw_softmax,0.03,policy,3,50.156904,0.020422,0.004072,0.01635
raw_softmax,0.03,research,4,346531.750583,0.136231,0.139844,-0.003613
raw_softmax,0.03,policy,4,40.747005,0.016591,0.001629,0.014962
raw_softmax,0.03,research,5,64576.976665,0.025387,0.021127,0.00426
raw_softmax,0.03,policy,5,89.129835,0.036291,0.007736,0.028555
raw_softmax,0.03,research,6,110925.007277,0.043608,0.035663,0.007945
raw_softmax,0.03,policy,6,30.611309,0.012464,0.004072,0.008392
raw_softmax,0.03,research,7,184657.255692,0.072594,0.078132,-0.005538
raw_softmax,0.03,policy,7,47.942299,0.01952,0.004072,0.015448
raw_softmax,0.03,research,8,63851.649954,0.025102,0.016471,0.008631
raw_softmax,0.03,policy,8,28.328492,0.011534,0.009772,0.001762
raw_softmax,0.03,research,9,224776.311664,0.088366,0.097248,-0.008882
raw_softmax,0.03,policy,9,74.280143,0.030244,0.02443,0.005814
raw_softmax,0.03,research,10,35584.081538,0.013989,0.00799,0.005999
raw_softmax,0.03,policy,10,18.655392,0.007596,0.000407,0.007189
raw_softmax,0.03,research,11,137529.259517,0.054067,0.053708,0.000359
raw_softmax,0.03,policy,11,35.419395,0.014422,0.02728,-0.012858
raw_softmax,0.03,research,12,111089.292665,0.043672,0.035759,0.007913
raw_softmax,0.03,policy,12,29.552674,0.012033,0.004479,0.007554
raw_softmax,0.03,research,13,133736.873668,0.052576,0.043498,0.009078
raw_softmax,0.03,policy,13,582.873598,0.237326,0.250407,-0.013081
raw_softmax,0.03,research,14,112859.840691,0.044368,0.038983,0.005385
raw_softmax,0.03,policy,14,44.76488,0.018227,0.001629,0.016598
raw_softmax,0.03,research,15,176718.936061,0.069473,0.068973,0.0005
raw_softmax,0.03,policy,15,54.557953,0.022214,0.006922,0.015292
raw_softmax,0.03,research,16,172979.627808,0.068003,0.074319,-0.006316
raw_softmax,0.03,policy,16,467.035098,0.190161,0.145358,0.044803
raw_softmax,0.03,research,17,148892.666426,0.058534,0.065825,-0.007291
raw_softmax,0.03,policy,17,765.785126,0.311802,0.481678,-0.169876
raw_softmax,0.05,research,1,57796.271885,0.022721,0.00464,0.018081
raw_softmax,0.05,policy,1,61.355229,0.024982,0.017915,0.007067
raw_softmax,0.05,research,2,111909.071489,0.043995,0.032803,0.011192
raw_softmax,0.05,policy,2,53.828789,0.021917,0.008143,0.013774
raw_softmax,0.05,research,3,305451.2873,0.120082,0.185017,-0.064935
raw_softmax,0.05,policy,3,51.557531,0.020992,0.004072,0.01692
raw_softmax,0.05,research,4,321662.088905,0.126455,0.139844,-0.013389
raw_softmax,0.05,policy,4,41.530923,0.01691,0.001629,0.015281
raw_softmax,0.05,research,5,79217.801172,0.031143,0.021127,0.010016
raw_softmax,0.05,policy,5,88.712681,0.036121,0.007736,0.028385
raw_softmax,0.05,research,6,125580.597571,0.049369,0.035663,0.013706
raw_softmax,0.05,policy,6,42.469944,0.017292,0.004072,0.01322
raw_softmax,0.05,research,7,172104.062787,0.067659,0.078132,-0.010473
raw_softmax,0.05,policy,7,58.964554,0.024008,0.004072,0.019936
raw_softmax,0.05,research,8,85500.101661,0.033613,0.016471,0.017142
raw_softmax,0.05,policy,8,38.841844,0.015815,0.009772,0.006043
raw_softmax,0.05,research,9,205655.530817,0.080849,0.097248,-0.016399
raw_softmax,0.05,policy,9,80.750693,0.032879,0.02443,0.008449
raw_softmax,0.05,research,10,55556.733744,0.021841,0.00799,0.013851
raw_softmax,0.05,policy,10,33.28513,0.013553,0.000407,0.013146
raw_softmax,0.05,research,11,138529.45179,0.05446,0.053708,0.000752
raw_softmax,0.05,policy,11,47.863977,0.019489,0.02728,-0.007791
raw_softmax,0.05,research,12,128011.565433,0.050325,0.035759,0.014566
raw_softmax,0.05,policy,12,49.292646,0.02007,0.004479,0.015591
raw_softmax,0.05,research,13,146315.227972,0.057521,0.043498,0.014023
raw_softmax,0.05,policy,13,546.175301,0.222384,0.250407,-0.028023
raw_softmax,0.05,research,14,123133.241081,0.048407,0.038983,0.009424
raw_softmax,0.05,policy,14,50.645052,0.020621,0.001629,0.018992
raw_softmax,0.05,research,15,173903.993084,0.068367,0.068973,-0.000606
raw_softmax,0.05,policy,15,74.251762,0.030233,0.006922,0.023311
raw_softmax,0.05,research,16,160460.718153,0.063082,0.074319,-0.011237
raw_softmax,0.05,policy,16,441.148874,0.179621,0.145358,0.034263
raw_softmax,0.05,research,17,152901.918252,0.06011,0.065825,-0.005715
raw_softmax,0.05,policy,17,695.325901,0.283113,0.481678,-0.198565
raw_softmax,0.1,research,1,101166.170647,0.039771,0.00464,0.035131
raw_softmax,0.1,policy,1,98.647627,0.040166,0.017915,0.022251
raw_softmax,0.1,research,2,131406.670252,0.05166,0.032803,0.018857
raw_softmax,0.1,policy,2,85.980614,0.035008,0.008143,0.026865
raw_softmax,0.1,research,3,203355.206051,0.079945,0.185017,-0.105072
