variant,temperature,metric,value
raw_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.943627
raw_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.95248
raw_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.894608
raw_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.895918
raw_softmax,0.03,mean_abs_coverage_difference,0.025253
raw_softmax,0.03,mean_abs_semantic_gap_difference,0.045851
raw_softmax,0.03,top3_overlap_coverage_gap,3.0
raw_softmax,0.03,top3_overlap_semantic_gap,3.0
raw_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.914216
raw_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.932093
raw_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.779412
raw_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.776447
raw_softmax,0.05,mean_abs_coverage_difference,0.033204
raw_softmax,0.05,mean_abs_semantic_gap_difference,0.073354
raw_softmax,0.05,top3_overlap_coverage_gap,2.0
raw_softmax,0.05,top3_overlap_semantic_gap,2.0
raw_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.894608
raw_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.902823
raw_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.666667
raw_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.670161
raw_softmax,0.1,mean_abs_coverage_difference,0.051686
raw_softmax,0.1,mean_abs_semantic_gap_difference,0.118474
raw_softmax,0.1,top3_overlap_coverage_gap,2.0
raw_softmax,0.1,top3_overlap_semantic_gap,1.0
raw_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.784314
raw_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.888106
raw_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.666667
raw_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.645853
raw_softmax,0.2,mean_abs_coverage_difference,0.069769
raw_softmax,0.2,mean_abs_semantic_gap_difference,0.150706
raw_softmax,0.2,top3_overlap_coverage_gap,2.0
raw_softmax,0.2,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.742647
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.338189
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.642157
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.609388
corpus_calibrated_softmax,0.03,mean_abs_coverage_difference,0.056317
corpus_calibrated_softmax,0.03,mean_abs_semantic_gap_difference,0.059118
corpus_calibrated_softmax,0.03,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.03,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.742647
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.33828
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.642157
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.614491
corpus_calibrated_softmax,0.05,mean_abs_coverage_difference,0.056406
corpus_calibrated_softmax,0.05,mean_abs_semantic_gap_difference,0.058986
corpus_calibrated_softmax,0.05,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.05,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.742647
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.336429
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.661765
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.639259
corpus_calibrated_softmax,0.1,mean_abs_coverage_difference,0.056886
corpus_calibrated_softmax,0.1,mean_abs_semantic_gap_difference,0.058358
corpus_calibrated_softmax,0.1,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.1,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.723039
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.323071
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.764706
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.711041
corpus_calibrated_softmax,0.2,mean_abs_coverage_difference,0.058984
corpus_calibrated_softmax,0.2,mean_abs_semantic_gap_difference,0.05765
corpus_calibrated_softmax,0.2,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.2,top3_overlap_semantic_gap,1.0
