sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,register_adjusted_similarity,register_adjusted_gap,register_adjusted_research_cohesion,register_adjusted_policy_cohesion,delta_gap,unreliable,unreliable_reason
1,17563,2886,2231,359,359,50,0.675123,0.324877,0.335413,0.629808,0.695405,0.304595,0.335309,0.608179,-0.020282,False,
2,86745,2155,2049,352,352,50,0.667353,0.332647,0.41574,0.630494,0.691961,0.308039,0.416033,0.612879,-0.024608,False,
3,454371,3852,3493,395,395,50,0.561132,0.438868,0.374511,0.568748,0.593569,0.406431,0.374828,0.546499,-0.032437,False,
4,352005,2941,2941,358,358,50,0.713626,0.286374,0.451435,0.611507,0.746248,0.253752,0.451803,0.593565,-0.032622,False,
5,58242,3176,3112,498,498,50,0.750338,0.249662,0.371031,0.624689,0.769805,0.230195,0.370418,0.603451,-0.019467,False,
6,102589,2014,1965,306,306,50,0.487946,0.512054,0.410129,0.665728,0.515016,0.484984,0.410463,0.649308,-0.02707,False,
7,212882,2585,2360,370,370,50,0.504131,0.495869,0.41126,0.646712,0.539663,0.460337,0.411454,0.629207,-0.035532,False,
8,37550,2564,2361,313,313,50,0.706239,0.293761,0.394655,0.582217,0.733962,0.266038,0.394407,0.555622,-0.027723,False,
9,260631,4485,3553,405,405,50,0.764167,0.235833,0.379249,0.564743,0.790874,0.209126,0.379279,0.544707,-0.026707,False,
10,23872,901,686,188,188,50,0.487267,0.512733,0.304806,0.568921,0.512309,0.487691,0.305054,0.545522,-0.025042,False,
11,138646,2871,2807,302,302,50,0.542227,0.457773,0.406702,0.567235,0.569779,0.430221,0.406957,0.543791,-0.027552,False,
12,94787,2395,2007,291,291,50,0.568069,0.431931,0.350752,0.620327,0.600044,0.399956,0.351119,0.600958,-0.031975,False,
13,133076,5160,4702,1556,1556,50,0.463016,0.536984,0.389853,0.655736,0.483182,0.516818,0.390199,0.638022,-0.020166,False,
14,98797,2078,1696,351,351,50,0.510695,0.489305,0.340016,0.653001,0.533816,0.466184,0.340336,0.636473,-0.023121,False,
15,188842,2470,2228,376,376,50,0.536673,0.463327,0.406692,0.628879,0.559803,0.440197,0.406961,0.610719,-0.02313,False,
16,213730,3809,3515,1215,1215,50,0.658745,0.341255,0.35173,0.543669,0.685743,0.314257,0.35188,0.521664,-0.026998,False,
17,69370,7740,6280,1650,1650,50,0.345656,0.654344,0.343207,0.591628,0.35782,0.64218,0.343319,0.567059,-0.012164,False,
