group_type,group_value,count,mean_score,median_score,std_score,min_score,p25_score,p75_score,max_score
corpus,research,2543698,0.00617,0.0011,0.066285,-0.264849,-0.038477,0.045493,0.388573
corpus,policy,54082,0.283052,0.286938,0.059196,-0.085632,0.247108,0.323713,0.488116
sdg,SDG 1,20533,0.058662,0.028817,0.121459,-0.229503,-0.02266,0.107423,0.463066
corpus_by_sdg,research|SDG 1,17563,0.018605,0.013275,0.075909,-0.229503,-0.031327,0.064384,0.341304
corpus_by_sdg,policy|SDG 1,2970,0.29554,0.297224,0.048106,0.101665,0.264982,0.329494,0.463066
sdg,SDG 2,88864,0.013071,0.001736,0.081527,-0.236057,-0.039653,0.053457,0.432206
corpus_by_sdg,research|SDG 2,86745,0.00654,-0.000203,0.070355,-0.236057,-0.040851,0.048623,0.375729
corpus_by_sdg,policy|SDG 2,2119,0.280432,0.284262,0.053672,0.04955,0.247561,0.315683,0.432206
sdg,SDG 3,458264,0.014457,0.005416,0.06815,-0.21898,-0.031696,0.050114,0.488116
corpus_by_sdg,research|SDG 3,454371,0.012168,0.004805,0.063471,-0.21898,-0.032032,0.048608,0.373059
corpus_by_sdg,policy|SDG 3,3893,0.281665,0.288483,0.06717,0.029393,0.239868,0.329128,0.488116
sdg,SDG 4,355014,0.021598,0.016573,0.06259,-0.244635,-0.019711,0.056508,0.443652
corpus_by_sdg,research|SDG 4,352005,0.019455,0.016013,0.058131,-0.244635,-0.020044,0.055248,0.352939
corpus_by_sdg,policy|SDG 4,3009,0.272382,0.276485,0.058825,0.053625,0.232631,0.313467,0.443652
sdg,SDG 5,61349,0.042724,0.02885,0.082953,-0.201801,-0.010673,0.077272,0.469913
corpus_by_sdg,research|SDG 5,58242,0.02994,0.024847,0.062152,-0.201801,-0.012937,0.067692,0.357015
corpus_by_sdg,policy|SDG 5,3107,0.282374,0.285214,0.054438,0.049721,0.248363,0.318089,0.469913
sdg,SDG 6,104581,-0.010454,-0.020435,0.078765,-0.230418,-0.059756,0.024355,0.468669
corpus_by_sdg,research|SDG 6,102589,-0.016602,-0.021926,0.065392,-0.230418,-0.060563,0.021279,0.33697
corpus_by_sdg,policy|SDG 6,1992,0.306181,0.310018,0.057321,-0.085632,0.27142,0.347294,0.468669
sdg,SDG 7,215445,-0.023884,-0.030229,0.073154,-0.262894,-0.070725,0.01244,0.460719
corpus_by_sdg,research|SDG 7,212882,-0.027666,-0.031129,0.064638,-0.262894,-0.071292,0.010628,0.369865
corpus_by_sdg,policy|SDG 7,2563,0.290223,0.292765,0.054474,0.006468,0.253767,0.332005,0.460719
sdg,SDG 8,40173,0.040674,0.022003,0.098506,-0.231045,-0.026023,0.085466,0.444211
corpus_by_sdg,research|SDG 8,37550,0.023044,0.015757,0.073237,-0.231045,-0.029416,0.070468,0.342297
corpus_by_sdg,policy|SDG 8,2623,0.29307,0.294702,0.060643,0.053178,0.25586,0.332773,0.444211
sdg,SDG 9,265232,0.022899,0.01676,0.072868,-0.240782,-0.025882,0.063918,0.443726
corpus_by_sdg,research|SDG 9,260631,0.01893,0.01533,0.066517,-0.240782,-0.026679,0.06096,0.359417
corpus_by_sdg,policy|SDG 9,4601,0.24768,0.251055,0.063516,-0.054513,0.20908,0.291492,0.443726
sdg,SDG 10,24724,0.003086,-0.01218,0.085393,-0.216997,-0.051648,0.038208,0.451373
corpus_by_sdg,research|SDG 10,23872,-0.006697,-0.014852,0.068006,-0.216997,-0.053221,0.031699,0.339255
corpus_by_sdg,policy|SDG 10,852,0.277203,0.28071,0.064833,0.026055,0.244612,0.320975,0.451373
sdg,SDG 11,141443,0.016338,0.007457,0.074022,-0.256637,-0.031406,0.052032,0.457459
corpus_by_sdg,research|SDG 11,138646,0.010954,0.005918,0.063648,-0.256637,-0.032236,0.048654,0.335598
corpus_by_sdg,policy|SDG 11,2797,0.283227,0.286408,0.060104,-0.016192,0.243962,0.324765,0.457459
sdg,SDG 12,97070,-0.007344,-0.019027,0.084701,-0.250481,-0.063246,0.033594,0.447883
corpus_by_sdg,research|SDG 12,94787,-0.014475,-0.021052,0.071529,-0.250481,-0.064337,0.028725,0.383725
corpus_by_sdg,policy|SDG 12,2283,0.288737,0.290982,0.053284,0.046163,0.254134,0.322105,0.447883
sdg,SDG 13,138048,0.005985,-0.008008,0.085397,-0.245783,-0.046058,0.036372,0.477692
corpus_by_sdg,research|SDG 13,133076,-0.004377,-0.010597,0.066951,-0.245783,-0.047621,0.030213,0.371523
corpus_by_sdg,policy|SDG 13,4972,0.283331,0.287184,0.052093,0.010741,0.251985,0.31868,0.477692
sdg,SDG 14,100855,-0.003588,-0.010358,0.07553,-0.260189,-0.049709,0.030572,0.437729
corpus_by_sdg,research|SDG 14,98797,-0.009731,-0.011916,0.062608,-0.260189,-0.050687,0.027566,0.307924
corpus_by_sdg,policy|SDG 14,2058,0.291299,0.294903,0.051279,0.054514,0.25847,0.326175,0.437729
sdg,SDG 15,191237,0.001791,-0.005827,0.06648,-0.214539,-0.040095,0.032969,0.457464
corpus_by_sdg,research|SDG 15,188842,-0.001866,-0.006671,0.057998,-0.214539,-0.040579,0.031167,0.373073
corpus_by_sdg,policy|SDG 15,2395,0.290146,0.292402,0.058842,0.046809,0.252025,0.334699,0.457464
sdg,SDG 16,217499,0.022455,0.014403,0.075247,-0.264849,-0.029245,0.065827,0.453695
corpus_by_sdg,research|SDG 16,213730,0.018312,0.012862,0.068614,-0.264849,-0.030108,0.062462,0.330878
corpus_by_sdg,policy|SDG 16,3769,0.257424,0.260359,0.059899,-0.001821,0.220733,0.296739,0.453695
sdg,SDG 17,77449,0.037288,0.004162,0.112707,-0.236489,-0.033223,0.060834,0.464245
corpus_by_sdg,research|SDG 17,69370,0.006751,-0.003709,0.070076,-0.236489,-0.037561,0.03613,0.388573
corpus_by_sdg,policy|SDG 17,8079,0.299493,0.300901,0.053399,0.046151,0.265027,0.336824,0.464245
