comparison_type,left,right,cosine_similarity
global_vs_average,sdg_balanced_global,within_sdg_average,0.923766
global_vs_within_sdg,sdg_balanced_global,sdg_1,0.836039
global_vs_within_sdg,sdg_balanced_global,sdg_2,0.819112
global_vs_within_sdg,sdg_balanced_global,sdg_3,0.816147
global_vs_within_sdg,sdg_balanced_global,sdg_4,0.777956
global_vs_within_sdg,sdg_balanced_global,sdg_5,0.823047
global_vs_within_sdg,sdg_balanced_global,sdg_6,0.775089
global_vs_within_sdg,sdg_balanced_global,sdg_7,0.786977
global_vs_within_sdg,sdg_balanced_global,sdg_8,0.832007
global_vs_within_sdg,sdg_balanced_global,sdg_9,0.818677
global_vs_within_sdg,sdg_balanced_global,sdg_10,0.720064
global_vs_within_sdg,sdg_balanced_global,sdg_11,0.838229
global_vs_within_sdg,sdg_balanced_global,sdg_12,0.803042
global_vs_within_sdg,sdg_balanced_global,sdg_13,0.827444
global_vs_within_sdg,sdg_balanced_global,sdg_14,0.722809
global_vs_within_sdg,sdg_balanced_global,sdg_15,0.802768
global_vs_within_sdg,sdg_balanced_global,sdg_16,0.813761
global_vs_within_sdg,sdg_balanced_global,sdg_17,0.807967
pairwise_within_sdg,sdg_1,sdg_2,0.823726
pairwise_within_sdg,sdg_1,sdg_3,0.740623
pairwise_within_sdg,sdg_1,sdg_4,0.759768
pairwise_within_sdg,sdg_1,sdg_5,0.837695
pairwise_within_sdg,sdg_1,sdg_6,0.76017
pairwise_within_sdg,sdg_1,sdg_7,0.756644
pairwise_within_sdg,sdg_1,sdg_8,0.839181
pairwise_within_sdg,sdg_1,sdg_9,0.673091
pairwise_within_sdg,sdg_1,sdg_10,0.797052
pairwise_within_sdg,sdg_1,sdg_11,0.798821
pairwise_within_sdg,sdg_1,sdg_12,0.789407
pairwise_within_sdg,sdg_1,sdg_13,0.765021
pairwise_within_sdg,sdg_1,sdg_14,0.710114
pairwise_within_sdg,sdg_1,sdg_15,0.7766
pairwise_within_sdg,sdg_1,sdg_16,0.726894
pairwise_within_sdg,sdg_1,sdg_17,0.750152
pairwise_within_sdg,sdg_2,sdg_3,0.762928
pairwise_within_sdg,sdg_2,sdg_4,0.760834
pairwise_within_sdg,sdg_2,sdg_5,0.780091
pairwise_within_sdg,sdg_2,sdg_6,0.816965
pairwise_within_sdg,sdg_2,sdg_7,0.812709
pairwise_within_sdg,sdg_2,sdg_8,0.809014
pairwise_within_sdg,sdg_2,sdg_9,0.684409
pairwise_within_sdg,sdg_2,sdg_10,0.71914
pairwise_within_sdg,sdg_2,sdg_11,0.806654
pairwise_within_sdg,sdg_2,sdg_12,0.863147
pairwise_within_sdg,sdg_2,sdg_13,0.798096
pairwise_within_sdg,sdg_2,sdg_14,0.796713
pairwise_within_sdg,sdg_2,sdg_15,0.817743
pairwise_within_sdg,sdg_2,sdg_16,0.681274
pairwise_within_sdg,sdg_2,sdg_17,0.699679
pairwise_within_sdg,sdg_3,sdg_4,0.749331
pairwise_within_sdg,sdg_3,sdg_5,0.765822
pairwise_within_sdg,sdg_3,sdg_6,0.719884
pairwise_within_sdg,sdg_3,sdg_7,0.694119
pairwise_within_sdg,sdg_3,sdg_8,0.751308
pairwise_within_sdg,sdg_3,sdg_9,0.733854
pairwise_within_sdg,sdg_3,sdg_10,0.653878
pairwise_within_sdg,sdg_3,sdg_11,0.747723
pairwise_within_sdg,sdg_3,sdg_12,0.727912
pairwise_within_sdg,sdg_3,sdg_13,0.732229
pairwise_within_sdg,sdg_3,sdg_14,0.658593
pairwise_within_sdg,sdg_3,sdg_15,0.698957
pairwise_within_sdg,sdg_3,sdg_16,0.723987
pairwise_within_sdg,sdg_3,sdg_17,0.704659
pairwise_within_sdg,sdg_4,sdg_5,0.801869
pairwise_within_sdg,sdg_4,sdg_6,0.664989
pairwise_within_sdg,sdg_4,sdg_7,0.662205
pairwise_within_sdg,sdg_4,sdg_8,0.808561
pairwise_within_sdg,sdg_4,sdg_9,0.742972
pairwise_within_sdg,sdg_4,sdg_10,0.613334
pairwise_within_sdg,sdg_4,sdg_11,0.768147
pairwise_within_sdg,sdg_4,sdg_12,0.729548
pairwise_within_sdg,sdg_4,sdg_13,0.686439
pairwise_within_sdg,sdg_4,sdg_14,0.612283
pairwise_within_sdg,sdg_4,sdg_15,0.6808
pairwise_within_sdg,sdg_4,sdg_16,0.721213
pairwise_within_sdg,sdg_4,sdg_17,0.6931
pairwise_within_sdg,sdg_5,sdg_6,0.692996
pairwise_within_sdg,sdg_5,sdg_7,0.682307
