sdg,n_papers,n_policy_segments_capped,n_policy_docs_capped,raw_gap,classifier_global_adjusted_gap,classifier_global_delta_gap,regression_global_adjusted_gap,regression_global_delta_gap,classifier_within_sdg_adjusted_gap,classifier_within_sdg_delta_gap,regression_within_sdg_adjusted_gap,regression_within_sdg_delta_gap,unreliable,unreliable_reason
1,17563,2214,351,0.32716,0.266872,0.060288,0.052185,0.274975,0.206547,0.120613,0.052985,0.274175,False,
2,86745,2020,347,0.334189,0.266424,0.067765,0.216368,0.117821,0.171345,0.162844,0.002056,0.332133,False,
3,454371,3506,391,0.441318,0.371376,0.069942,0.263953,0.177365,0.320964,0.120354,0.006527,0.434791,False,
4,352005,2994,366,0.285961,0.223278,0.062683,0.194499,0.091462,0.120165,0.165796,0.000131,0.28583,False,
5,58242,3066,499,0.249579,0.1977,0.051879,0.130727,0.118852,0.136516,0.113063,0.000692,0.248887,False,
6,102589,1941,302,0.511792,0.42991,0.081882,0.372703,0.139089,0.267474,0.244318,0.000598,0.511194,False,
7,212882,2343,367,0.495355,0.40221,0.093145,0.367746,0.127609,0.246629,0.248726,0.008145,0.48721,False,
8,37550,2415,312,0.295821,0.220607,0.075214,0.185444,0.110377,0.144796,0.151025,0.004276,0.291545,False,
9,260631,3626,408,0.233338,0.167479,0.065859,0.162747,0.070591,0.147171,0.086167,0.004344,0.228994,False,
10,23872,732,208,0.530335,0.450335,0.08,0.225408,0.304927,0.269706,0.260629,0.023984,0.506351,False,
11,138646,2735,297,0.453787,0.384512,0.069275,0.332123,0.121664,0.282421,0.171366,0.000279,0.453508,False,
12,94787,1951,286,0.429385,0.335323,0.094062,0.290046,0.139339,0.214727,0.214658,0.033775,0.39561,False,
13,133076,4530,1503,0.534508,0.47747,0.057038,0.408647,0.125861,0.379357,0.155151,0.002776,0.531732,False,
14,98797,1675,343,0.48908,0.416448,0.072632,0.349262,0.139818,0.240331,0.248749,0.039646,0.449434,False,
15,188842,2156,353,0.461776,0.394571,0.067205,0.352529,0.109247,0.241089,0.220687,0.007705,0.454071,False,
16,213730,3408,1183,0.340377,0.277536,0.062841,0.242898,0.097479,0.204167,0.13621,0.007967,0.33241,False,
17,69370,6651,1709,0.657645,0.614168,0.043477,0.458663,0.198982,0.553198,0.104447,0.022836,0.634809,False,
