rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,sdgi_05080_12,policy,13,0.49513,,"It is a cause of concern that net ODA flows slid down by 4.3 per cent in 2018, with a dwindling share going to countries that needed it most. Further, against the commitment of raising USD 100 billion of additional resources annually by 2020 through the Green Climate Fund for meeting the pressing climate mitigation and adaptation needs of developing countries, only USD 10.3 billion equivalent in p",sdgi_IND_VNR_2020
2,sdgi_00878_3,policy,3,0.49507,,"3.b. The country has seen an increase in total net official development assistance for medical research and basic health services: €5.1 thousand in 2018 and €3.3 million in 2021. 3.c. The number of health workers in the country has changed: a slight decrease in the number of doctors 49 per 10,000 inhabitants in 2018, 46.9 in 2021, an increase in the number of nurses and midwives (in 2018 there wer",sdgi_LTU_VNR_2023
3,sdgi_01173_15,policy,17,0.489372,,"64 EU external action ( 10) See UN SDG Report 2021 (page 34) and UN SDG Report 2022 (Page 33). ( 11) This budget complements the overall indicative financial envelope of Erasmus+ 2021-2027 which amounts to EUR 26.2 billion. Global trends Progress since 2015 to achieve SDG 4 has been hampered by the COVID-19 pandemic, with an estimated 147 million children unable to attend school in 2020 and 2021 (",sdgi_EU_VNR_2023
4,sdgi_01520_21,policy,5,0.486448,,"When taking into account also other official flows, private funds mobilized through public intervention and support to international public goods, the Total Official Support to Sustainable Development (TOSSD) of the EU to SDG 5 amounted to EUR 5.9 billion in 2021. For EU institutions, the data on the OECD-DAC gender equality policy marker for 2021 shows that overall, the number of gender-responsiv",sdgi_EU_VNR_2023
5,sdgi_00657_5,policy,3,0.481841,,"GOAL 3.2 By 2030, end, as a public health problem, the epidemics of AIDS, tuberculosis, malaria, viral hepatitis, neglected diseases, water-borne diseases, arboviruses transmitted by Aedes aegypti and other transmissible diseases. GOAL 3.3 B R A Z I L I A N SDG GOALS VOLUNTARY LOCAL REPORT ON SUSTAINABLE DEVELOPMENT GOALS IN THE STATE OF PARÁ • 2022 33 SDG 3. GOOD HEALTH AND WELL-BEING WHERE WE AR",sdgi_BRA_VLR_pará_2022
6,sdgi_04635_11,policy,17,0.480873,,"With regard to compliance with the right of access to public information, and as a means of ensuring its correct exercise, the target for 2030 is to reduce the number of requests for access to municipal information contested before the Commission for Guaranteeing the Right of Access to Public Information to less than 5%. In 2021, 8% of the petitions were contested, 3% less than in 2020. Details of",sdgi_ESP_VLR_barcelona_2022
7,sdgi_04621_7,policy,17,0.473651,,"And, in 2020, in continuation of the achievements started in the previous year, the government has invested in constructions and training of public security agents, and has intensified the project for monitoring via video, besides the renewal of the Military Police fleet. It has been invested a total sum of R$2.8 billion, in 2019, and R$2.9billion, in 2020, 3.6% more in expenses in the field of pu",sdgi_BRA_VLR_pará_2021
8,sdgi_04940_1,policy,17,0.473436,,"17.19. Make good use of existing initiatives to produce indicators that make it possible to measure the progress achieved in terms of sustainable development and which complement the indicators used to measure Gross Domestic Product, and provide support for training in statistics for developing countries. Municipal strategies and plans considered for the localisation of SDG 17 · Barcelona Cooperat",sdgi_ESP_VLR_barcelona_2020
9,sdgi_05085_2,policy,17,0.473347,,"Since 2018 most goods imported and originating from LDCs have free access to the Icelandic market without customs, duties, or quotas. Iceland has also focused on putting gender equality on the agenda within international trade. Iceland will continue to support international partnerships and cooperation with civil society actors, the private sector, academia, and other stakeholders. Main challenges",sdgi_ISL_VNR_2023
10,sdgi_04988_4,policy,17,0.472404,,"• Better education and research opportunities. Improved quality of education and expansion of research opportunities are directly linked to the SDG 2030 Agenda and particularly SDGs 3.b, 4, 7.a, 9.5, 9.b, 14.a and 17. • Strengthened democracy and human rights. Some of CEPA obligations refer to strengthening of democracy, equal justice, establishment of impartial, accountable and inclusive institut",sdgi_ARM_VNR_2020
