rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,https://openalex.org/W3134161550,research,16,-0.264849,Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model,"Review on Aluminum and Steel Semi-rigid Connections Behavior Design Model. Several research reports agree on the influence of joint rotational behavior on the stability of space frames. One must therefore consider it in space structures study. Joint rotational behavior is generally considered in space structures study by means of its moment-rotation behavior curve. Models such as analytical, empir",2021
2,https://openalex.org/W4404845190,research,7,-0.262894,A fast Time-domain identification of bushing dynamics,"A fast Time-domain identification of bushing dynamics. The identification of bushings dynamics is crucial for the development of innovative model-based digital tools, such as for example predictive maintenance or virtual sensing. Quite a few nonlinear modelling techniques have been proposed over the years, which can be suitably used to develop advanced models that capture the linear and nonlinear",2024
3,https://openalex.org/W4389228499,research,14,-0.260189,Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays,"Research on the applicability of regularization methods in ship magnetic field modeling based on magnetic dipole arrays. Abstract In order to solve the problem of ship magnetic field modeling, a magnetic dipole array model was established, a modeling inversion equation system was constructed, and the degree of sickness of the solved equation system under different numbers of magnetic dipoles was q",2023
4,https://openalex.org/W2794955701,research,11,-0.256637,Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method,"Time‐Varying Modal Parameters Identification by Subspace Tracking Algorithm and Its Validation Method. This article presents a time‐varying modal parameter identification method based on the novel information criterion (NIC) algorithm and a post‐process method for time‐varying modal parameter estimation. In the practical application of the time‐varying modal parameter identification algorithm, the",2018
5,https://openalex.org/W4295214954,research,7,-0.252866,Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network,"Loosening Identification of Multi-Bolt Connections Based on Wavelet Transform and ResNet-50 Convolutional Neural Network. A high-strength bolt connection is the key component of large-scale steel structures. Bolt loosening and preload loss during operation can reduce the load-carrying capacity, safety, and durability of the structures. In order to detect loosening damage in multi-bolt connections",2022
6,https://openalex.org/W7125515593,research,12,-0.250481,Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection,"Machine Learning‐Based Sensitivity Analysis of Geometric and Material Variables of Beam‐to‐upright bolt‐less Connection. Abstract Beam‐to‐upright semi‐rigid assemblies are widely recognized in the storage warehouse industry for their lightweight nature, ease of installation, and favourable strength‐to‐weight ratio. Extensive research has focused on experimental and numerical investigations to char",2025
7,https://openalex.org/W4400934128,research,7,-0.249287,Dynamic modelling and efficiency prediction for forging operations under a screw press,"Dynamic modelling and efficiency prediction for forging operations under a screw press. Abstract Accurate predictions concerning a forging process can be obtained by numerical simulation, but only with a thorough knowledge of the main process variables. The material flow behavior and the interface effects are already well studied in the literature, but not the machine behavior, although it is requ",2024
8,https://openalex.org/W4403472280,research,7,-0.246032,Accurate real-time modeling for multiple-blow forging,"Accurate real-time modeling for multiple-blow forging. Abstract Numerical simulations are crucial for predicting outcomes in forging processes but often neglect dynamic interactions within forming tools and presses. This study proposes an approach for achieving accurate real-time prediction of forging outcomes. Initially, a simulation-based surrogate model is developed to replicate key process cha",2024
9,https://openalex.org/W4412486946,research,13,-0.245783,Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach,"Towards Data-Driven Aeroacoustic Modeling to Predict Propeller Installation Noise: A First-Principle Based Approach. Prediction of propeller installation noise is a critical aspect of developing low-noise aircraft and advanced air mobility systems. A novel data-driven approach, grounded in first-principles aerodynamics and acoustic theory, has been developed to accurately predict tonal noise gener",2025
10,https://openalex.org/W4393160651,research,7,-0.245476,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM,Buckling Defect Optimization of Constrained Ring Rolling of Thin-Walled Conical Rings with Inner High Ribs Combining Response Surface Method with FEM. A buckling defect will appear on the outer surface of the deformed ring during the constrained ring rolling (CRR) of an aluminum alloy thin-wall conical ring with inner high ribs (AATWCRIHR) if the geometrical dimension of the ribs does not match th,2024
11,https://openalex.org/W4400147452,research,4,-0.244635,Static eddy current imaging for nondestructive testing of aeronautical structures,"Static eddy current imaging for nondestructive testing of aeronautical structures. Non-destructive testing (NDT) plays a crucial role in ensuring the safety and reliability of the structures used in aeronautics as it enables the detection of defects without damaging the parts examined. In the field of aeronautics, it is necessary to ensure the structural integrity of aircraft components. Vaulted h",2024
12,https://openalex.org/W7146052419,research,9,-0.240782,回転機械設備の状態監視・診断法に関する研究 -構造系異常振動のメカニズム解明と知的診断法-,"回転機械設備の状態監視・診断法に関する研究 -構造系異常振動のメカニズム解明と知的診断法-. In order to effectively detect and identify the structure faults of rotating machinery, especially the precise diagnosis of structure faults at low speeds, in this study, we first proposed two kinds of dynamic model for shaft misalignment of rotating machinery as an entry point, the models will be used for vibration analysis of shaft misalignment stat",2019
13,https://openalex.org/W4387449610,research,12,-0.240182,A Theory-Guided Machine Learning and Reduced-Order Finite Element Modeling Framework to Accelerate Process Simulation of Aerospace Composite Parts,"A Theory-Guided Machine Learning and Reduced-Order Finite Element Modeling Framework to Accelerate Process Simulation of Aerospace Composite Parts. Abstract Finite Element (FE) analysis is widely used for process simulation of advanced composites in aerospace applications. However, as the fidelity of FE models improves, the cost and time to calibrate, setup and perform simulations also increases s",2023
14,https://openalex.org/W4389448297,research,4,-0.239553,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration,Longitudinal Parameter Estimation Using Wind Tunnel and Simulated Flight Data of Missile Configuration. The present study makes an attempt to estimate aerodynamic parameters from a typical flight data of a short range missile. Exhaustive wind tunnel testing was conducted to generate longitudinal force and moment coefficients at low speed. Identification methods were applied on the selected wind tu,2023
15,https://openalex.org/W3122026157,research,7,-0.238653,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for a) describing the dynamics and b) deriving discriminative features from the data. However,2018
16,https://openalex.org/W4395072860,research,14,-0.238136,Analysis of Flight Loads during Symmetric Aircraft Maneuvers Based on the Gradient-Enhanced Kriging Model,"Analysis of Flight Loads during Symmetric Aircraft Maneuvers Based on the Gradient-Enhanced Kriging Model. The analysis of flight loads during symmetric aircraft maneuvers is an essential but computationally intensive task in aircraft design. The significant structural elastic deformation in modern aircraft further complicates this work, adding to the computational demands. Therefore, improving th",2024
17,https://openalex.org/W7124899810,research,7,-0.237813,Multi-case prediction and uncertainty quantification of bolt preload based on ARD-Gaussian process regression,"Multi-case prediction and uncertainty quantification of bolt preload based on ARD-Gaussian process regression. Traditional bolt preload monitoring methods (e.g., the torque method) have an error of more than 10% due to friction coefficient fluctuations and material nonlinearities, and existing data-driven models (e.g., neural networks) can hardly quantify the uncertainty. Although Gaussian process",2025
18,https://openalex.org/W2905224782,research,7,-0.237686,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction,Recovery of Differential Equations from Impulse Response Time Series Data for Model Identification and Feature Extraction. Time recordings of impulse-type oscillation responses are short and highly transient. These characteristics may complicate the usage of classical spectral signal processing techniques for (a) describing the dynamics and (b) deriving discriminative features from the data. Howev,2019
19,https://openalex.org/W3044765352,research,16,-0.237552,The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century,"The Hollywood Indian Stereotype: The Cinematic Othering and Assimilation of Native Americans at the Turn of the 20th Century. This paper intends to demonstrate that the misrepresentation of Native Americans in cinema furthers the logic of differentiation at play in popular culture, focalizing on an irreconcilable enemy image upon which the American self is constructed. The Indian looking glass mag",2020
20,https://openalex.org/W4410156557,research,14,-0.236594,Experimental Evaluation on Acoustic Emission Wave Propagation of Laminated Composites with Cutouts Using Auto Sensor Testing,"Experimental Evaluation on Acoustic Emission Wave Propagation of Laminated Composites with Cutouts Using Auto Sensor Testing. Abstract This study investigates Acoustic Emission (AE) wave propagation in large cantilever composite panels using experimental and numerical analysis. Five distinct case studies, considering two distinct scenarios-panels with and without cutouts-were investigated under va",2025
21,https://openalex.org/W3198766720,research,17,-0.236489,DAMAGE IDENTIFICATION OF BOLT CONNECTIONS BASED ON WAVELET TIME-FREQUENCY DIAGRAMS AND LIGHTWEIGHT CONVOLUTIONAL NEURAL NETWORKS,"DAMAGE IDENTIFICATION OF BOLT CONNECTIONS BASED ON WAVELET TIME-FREQUENCY DIAGRAMS AND LIGHTWEIGHT CONVOLUTIONAL NEURAL NETWORKS. In view of the difficulty of monitoring the states of bolt connections of large-scale structures, proposed a method for bolt looseness recognition by sound signals, which takes the advantages of the wavelet time-frequency analysis and the powerful image classification a",2021
22,https://openalex.org/W2980474709,research,12,-0.236391,Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange,"Uncertainty Quantification of the Dimensional Variations of a Curved Composite Flange. Composite manufacturing involves a large number of materials data and process parameters, inevitably resulting in performance variations of final parts. To maintain and improve product quality, characterizing the stochastic performance of composite manufacturing processes and thus identifying the key uncertainty",2019
