sdg,available_research,available_policy,sampled_per_class,train_size,test_size,accuracy,macro_f1,roc_auc,coefficient_norm,intercept,classifier_available,skip_reason
1,17563,2886,2886,4617,1155,0.980087,0.980084,0.997077,20.449705,-4.067257,True,
2,86745,2155,2155,3448,862,0.966357,0.966352,0.995085,17.937893,-3.680164,True,
3,454371,3852,3852,6163,1541,0.964958,0.96495,0.995218,21.866825,-4.273528,True,
4,352005,2941,2941,4705,1177,0.981308,0.981308,0.998132,20.168211,-3.798788,True,
5,58242,3176,3176,5081,1271,0.972463,0.972462,0.996769,20.958916,-4.533693,True,
6,102589,2014,2014,3222,806,0.988834,0.988833,0.999267,16.181055,-3.449139,True,
7,212882,2585,2585,4136,1034,0.98646,0.98646,0.99933,17.043882,-3.554501,True,
8,37550,2564,2564,4102,1026,0.967836,0.967835,0.993947,19.625376,-3.63982,True,
9,260631,4485,4485,7176,1794,0.95262,0.952616,0.991496,24.443981,-4.756624,True,
10,23872,901,901,1441,361,0.966759,0.966759,0.995887,13.351098,-2.70404,True,
11,138646,2871,2871,4593,1149,0.979983,0.979981,0.998337,20.308933,-3.064571,True,
12,94787,2395,2395,3832,958,0.980167,0.980167,0.998026,18.283628,-3.380934,True,
13,133076,5160,5160,8256,2064,0.974806,0.9748,0.996842,21.051706,-4.465378,True,
14,98797,2078,2078,3324,832,0.978365,0.978364,0.998919,16.360039,-3.513313,True,
15,188842,2470,2470,3952,988,0.98583,0.985829,0.998722,17.977493,-3.562759,True,
16,213730,3809,3809,6094,1524,0.962598,0.962594,0.994484,23.161627,-3.473849,True,
17,69370,7740,7740,12384,3096,0.977067,0.977063,0.996792,24.742224,-4.876909,True,
