k,sdg,raw_gap,adjusted_gap,delta_gap,n_papers,n_policy_docs_capped,unreliable
1,1,0.32716,0.306728,-0.020432,17563,351,False
1,2,0.334189,0.309946,-0.024243,86745,347,False
1,3,0.441318,0.409091,-0.032227,454371,391,False
1,4,0.285961,0.252951,-0.03301,352005,366,False
1,5,0.249579,0.230217,-0.019362,58242,499,False
1,6,0.511792,0.484831,-0.026961,102589,302,False
1,7,0.495355,0.459908,-0.035447,212882,367,False
1,8,0.295821,0.267991,-0.02783,37550,312,False
1,9,0.233338,0.206376,-0.026962,260631,408,False
1,10,0.530335,0.505888,-0.024447,23872,208,False
1,11,0.453787,0.426229,-0.027558,138646,297,False
1,12,0.429385,0.397774,-0.031611,94787,286,False
1,13,0.534508,0.514279,-0.020229,133076,1503,False
1,14,0.48908,0.466109,-0.022971,98797,343,False
1,15,0.461776,0.438744,-0.023032,188842,353,False
1,16,0.340377,0.313364,-0.027013,213730,1183,False
1,17,0.657645,0.645773,-0.011872,69370,1709,False
2,1,0.32716,0.290664,-0.036496,17563,351,False
2,2,0.334189,0.286701,-0.047488,86745,347,False
2,3,0.441318,0.382473,-0.058845,454371,391,False
2,4,0.285961,0.225242,-0.060719,352005,366,False
2,5,0.249579,0.213442,-0.036137,58242,499,False
2,6,0.511792,0.457266,-0.054526,102589,302,False
2,7,0.495355,0.429327,-0.066028,212882,367,False
2,8,0.295821,0.246508,-0.049313,37550,312,False
2,9,0.233338,0.183098,-0.05024,260631,408,False
2,10,0.530335,0.486014,-0.044321,23872,208,False
2,11,0.453787,0.404609,-0.049178,138646,297,False
2,12,0.429385,0.368285,-0.0611,94787,286,False
2,13,0.534508,0.497262,-0.037246,133076,1503,False
2,14,0.48908,0.444017,-0.045063,98797,343,False
2,15,0.461776,0.418675,-0.043101,188842,353,False
2,16,0.340377,0.289449,-0.050928,213730,1183,False
2,17,0.657645,0.634532,-0.023113,69370,1709,False
3,1,0.32716,0.280625,-0.046535,17563,351,False
3,2,0.334189,0.267508,-0.066681,86745,347,False
3,3,0.441318,0.364406,-0.076912,454371,391,False
3,4,0.285961,0.209114,-0.076847,352005,366,False
3,5,0.249579,0.202399,-0.04718,58242,499,False
3,6,0.511792,0.438814,-0.072978,102589,302,False
3,7,0.495355,0.407118,-0.088237,212882,367,False
3,8,0.295821,0.232858,-0.062963,37550,312,False
3,9,0.233338,0.169088,-0.06425,260631,408,False
3,10,0.530335,0.46652,-0.063815,23872,208,False
3,11,0.453787,0.392055,-0.061732,138646,297,False
3,12,0.429385,0.34801,-0.081375,94787,286,False
3,13,0.534508,0.487639,-0.046869,133076,1503,False
3,14,0.48908,0.427633,-0.061447,98797,343,False
3,15,0.461776,0.403987,-0.057789,188842,353,False
3,16,0.340377,0.273614,-0.066763,213730,1183,False
3,17,0.657645,0.620376,-0.037269,69370,1709,False
5,1,0.32716,0.265274,-0.061886,17563,351,False
5,2,0.334189,0.238521,-0.095668,86745,347,False
5,3,0.441318,0.330541,-0.110777,454371,391,False
5,4,0.285961,0.186762,-0.099199,352005,366,False
5,5,0.249579,0.184376,-0.065203,58242,499,False
5,6,0.511792,0.411408,-0.100384,102589,302,False
5,7,0.495355,0.375398,-0.119957,212882,367,False
5,8,0.295821,0.208748,-0.087073,37550,312,False
5,9,0.233338,0.144609,-0.088729,260631,408,False
5,10,0.530335,0.438906,-0.091429,23872,208,False
5,11,0.453787,0.371794,-0.081993,138646,297,False
5,12,0.429385,0.316262,-0.113123,94787,286,False
5,13,0.534508,0.468264,-0.066244,133076,1503,False
5,14,0.48908,0.399083,-0.089997,98797,343,False
5,15,0.461776,0.377716,-0.08406,188842,353,False
5,16,0.340377,0.246354,-0.094023,213730,1183,False
5,17,0.657645,0.596739,-0.060906,69370,1709,False
