sdg,pair_count,research_sample_n,raw_mean_matched_cosine,adjusted_mean_matched_cosine,delta_mean_cosine,raw_mean_matched_gap,adjusted_mean_matched_gap
1,2231,5000,0.601442,0.595258,-0.006185,0.398558,0.404742
2,2049,5000,0.591635,0.586373,-0.005263,0.408365,0.413627
3,3493,5000,0.542791,0.5381,-0.004691,0.457209,0.4619
4,2941,5000,0.56331,0.559395,-0.003915,0.43669,0.440605
5,3112,5000,0.600866,0.594481,-0.006384,0.399134,0.405519
6,1965,5000,0.580981,0.575611,-0.00537,0.419019,0.424389
7,2360,5000,0.574433,0.570402,-0.004032,0.425567,0.429598
8,2361,5000,0.561188,0.554476,-0.006712,0.438812,0.445524
9,3553,5000,0.574019,0.569917,-0.004102,0.425981,0.430083
10,686,5000,0.541447,0.536548,-0.004899,0.458553,0.463452
11,2807,5000,0.55353,0.550345,-0.003185,0.44647,0.449655
12,2007,5000,0.582599,0.577142,-0.005456,0.417401,0.422858
13,4702,5000,0.607085,0.599949,-0.007136,0.392915,0.400051
14,1696,5000,0.59138,0.585481,-0.005899,0.40862,0.414519
15,2228,5000,0.565126,0.560451,-0.004674,0.434874,0.439549
16,3515,5000,0.559566,0.555671,-0.003895,0.440434,0.444329
17,6280,5000,0.558981,0.547843,-0.011139,0.441019,0.452157
