tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.008009,0.425446,0.020207,-0.041455,0.018271,17.0,15.05
2k,2000,100,False,0.005565,0.392486,0.01419,-0.039705,0.011465,17.0,16.31
5k,5000,100,False,0.003657,0.369885,0.009042,-0.042435,0.007974,17.0,17.0
10k,10000,100,False,0.002476,0.36302,0.006341,-0.040901,0.005499,17.0,17.0
20k,20000,100,False,0.001759,0.359551,0.00493,-0.041443,0.004222,17.0,17.0
50k,50000,100,False,0.001114,0.356631,0.003198,-0.041547,0.002487,17.0,17.0
100k,100000,100,False,0.000799,0.355911,0.002394,-0.04137,0.001785,17.0,17.0
200k,200000,100,False,0.000552,0.35541,0.001639,-0.041437,0.0012,17.0,17.0
500k,500000,100,False,0.000314,0.354975,0.000885,-0.041495,0.000672,17.0,17.0
1m,1000000,100,False,0.000195,0.354872,0.000625,-0.041488,0.000446,17.0,17.0
2m,2000000,100,False,8.3e-05,0.354795,0.000249,-0.041513,0.000177,17.0,17.0
full corpus,3105144,1,True,,0.35478,,0.105395,,,
