family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.013844,34,2456,54082
full_policy_corpus,Full corpus,2,0.006515,16,2456,54082
full_policy_corpus,Full corpus,3,0.003257,8,2456,54082
full_policy_corpus,Full corpus,4,0.000814,2,2456,54082
full_policy_corpus,Full corpus,5,0.007329,18,2456,54082
full_policy_corpus,Full corpus,6,0.002036,5,2456,54082
full_policy_corpus,Full corpus,7,0.004479,11,2456,54082
full_policy_corpus,Full corpus,8,0.011401,28,2456,54082
full_policy_corpus,Full corpus,9,0.03013,74,2456,54082
full_policy_corpus,Full corpus,10,0.000814,2,2456,54082
full_policy_corpus,Full corpus,11,0.035423,87,2456,54082
full_policy_corpus,Full corpus,12,0.004479,11,2456,54082
full_policy_corpus,Full corpus,13,0.155537,382,2456,54082
full_policy_corpus,Full corpus,14,0.002036,5,2456,54082
full_policy_corpus,Full corpus,15,0.002443,6,2456,54082
full_policy_corpus,Full corpus,16,0.125814,309,2456,54082
full_policy_corpus,Full corpus,17,0.593648,1458,2456,54082
curated_ai_sdg,Curated AI/SDG,1,0.031579,3,95,15639
curated_ai_sdg,Curated AI/SDG,2,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,3,0.042105,4,95,15639
curated_ai_sdg,Curated AI/SDG,4,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,5,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,6,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,7,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,8,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,9,0.589474,56,95,15639
curated_ai_sdg,Curated AI/SDG,10,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,11,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,12,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,13,0.073684,7,95,15639
curated_ai_sdg,Curated AI/SDG,14,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,15,0.0,0,95,15639
curated_ai_sdg,Curated AI/SDG,16,0.021053,2,95,15639
curated_ai_sdg,Curated AI/SDG,17,0.242105,23,95,15639
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.095847,30,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.025559,8,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.009585,3,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.003195,1,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.022364,7,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.00639,2,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.00639,2,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.083067,26,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.019169,6,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.003195,1,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.277955,87,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.035144,11,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.01278,4,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.003195,1,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.0,0,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.003195,1,313,31971
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.392971,123,313,31971
ungdc_speeches,UNGDC speeches,1,0.000488,1,2048,6472
ungdc_speeches,UNGDC speeches,2,0.003906,8,2048,6472
ungdc_speeches,UNGDC speeches,3,0.000488,1,2048,6472
ungdc_speeches,UNGDC speeches,4,0.000488,1,2048,6472
ungdc_speeches,UNGDC speeches,5,0.005371,11,2048,6472
ungdc_speeches,UNGDC speeches,6,0.001465,3,2048,6472
ungdc_speeches,UNGDC speeches,7,0.004395,9,2048,6472
ungdc_speeches,UNGDC speeches,8,0.000977,2,2048,6472
ungdc_speeches,UNGDC speeches,9,0.005859,12,2048,6472
ungdc_speeches,UNGDC speeches,10,0.000488,1,2048,6472
ungdc_speeches,UNGDC speeches,11,0.0,0,2048,6472
ungdc_speeches,UNGDC speeches,12,0.0,0,2048,6472
ungdc_speeches,UNGDC speeches,13,0.181152,371,2048,6472
ungdc_speeches,UNGDC speeches,14,0.001953,4,2048,6472
ungdc_speeches,UNGDC speeches,15,0.00293,6,2048,6472
ungdc_speeches,UNGDC speeches,16,0.149414,306,2048,6472
ungdc_speeches,UNGDC speeches,17,0.640625,1312,2048,6472
