variant,temperature,metric,value
raw_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.938725
raw_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.951007
raw_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.762255
raw_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.801563
raw_softmax,0.03,mean_abs_coverage_difference,0.032691
raw_softmax,0.03,mean_abs_semantic_gap_difference,0.069482
raw_softmax,0.03,top3_overlap_coverage_gap,2.0
raw_softmax,0.03,top3_overlap_semantic_gap,1.0
raw_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.938725
raw_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.937726
raw_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.629902
raw_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.72182
raw_softmax,0.05,mean_abs_coverage_difference,0.038439
raw_softmax,0.05,mean_abs_semantic_gap_difference,0.093027
raw_softmax,0.05,top3_overlap_coverage_gap,2.0
raw_softmax,0.05,top3_overlap_semantic_gap,1.0
raw_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.92402
raw_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.911233
raw_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.602941
raw_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.682256
raw_softmax,0.1,mean_abs_coverage_difference,0.05678
raw_softmax,0.1,mean_abs_semantic_gap_difference,0.115878
raw_softmax,0.1,top3_overlap_coverage_gap,2.0
raw_softmax,0.1,top3_overlap_semantic_gap,1.0
raw_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.914216
raw_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.900912
raw_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.661765
raw_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.70348
raw_softmax,0.2,mean_abs_coverage_difference,0.07494
raw_softmax,0.2,mean_abs_semantic_gap_difference,0.131729
raw_softmax,0.2,top3_overlap_coverage_gap,2.0
raw_softmax,0.2,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.811275
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.265132
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.566176
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.563542
corpus_calibrated_softmax,0.03,mean_abs_coverage_difference,0.062996
corpus_calibrated_softmax,0.03,mean_abs_semantic_gap_difference,0.062618
corpus_calibrated_softmax,0.03,top3_overlap_coverage_gap,1.0
corpus_calibrated_softmax,0.03,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.811275
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.263607
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.598039
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.570174
corpus_calibrated_softmax,0.05,mean_abs_coverage_difference,0.063124
corpus_calibrated_softmax,0.05,mean_abs_semantic_gap_difference,0.063125
corpus_calibrated_softmax,0.05,top3_overlap_coverage_gap,1.0
corpus_calibrated_softmax,0.05,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.794118
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.254579
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.620098
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.607911
corpus_calibrated_softmax,0.1,mean_abs_coverage_difference,0.064022
corpus_calibrated_softmax,0.1,mean_abs_semantic_gap_difference,0.065168
corpus_calibrated_softmax,0.1,top3_overlap_coverage_gap,1.0
corpus_calibrated_softmax,0.1,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.759804
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.225433
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.708333
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.6869
corpus_calibrated_softmax,0.2,mean_abs_coverage_difference,0.067661
corpus_calibrated_softmax,0.2,mean_abs_semantic_gap_difference,0.071841
corpus_calibrated_softmax,0.2,top3_overlap_coverage_gap,1.0
corpus_calibrated_softmax,0.2,top3_overlap_semantic_gap,1.0
