tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_asymmetry_gap,std_asymmetry_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006371,0.436461,0.019961,0.151661,0.01001,0.364949,0.005256,17.0,14.48
2k,2000,100,False,0.004586,0.408532,0.014258,0.161202,0.008625,0.364633,0.003729,17.0,16.6
5k,5000,100,False,0.002878,0.392695,0.010266,0.166973,0.005371,0.365761,0.0022,17.0,17.0
10k,10000,100,False,0.002109,0.384736,0.007054,0.169309,0.004014,0.365668,0.001528,17.0,17.0
20k,20000,100,False,0.001459,0.380258,0.005374,0.170802,0.003203,0.365593,0.00113,17.0,17.0
50k,50000,100,False,0.000912,0.377485,0.00327,0.171312,0.002011,0.365355,0.000698,17.0,17.0
100k,100000,100,False,0.000637,0.376896,0.002279,0.171315,0.001408,0.365414,0.000506,17.0,17.0
200k,200000,100,False,0.00044,0.376625,0.001479,0.171365,0.00095,0.365418,0.000364,17.0,17.0
500k,500000,100,False,0.000268,0.376488,0.001057,0.171329,0.000664,0.365437,0.000214,17.0,17.0
1m,1000000,100,False,0.000156,0.37634,0.000595,0.171376,0.000399,0.36541,0.000128,17.0,17.0
2m,2000000,100,False,6.7e-05,0.376363,0.000236,0.171362,0.000148,0.365421,5.2e-05,17.0,17.0
full corpus,2543698,1,True,,0.376349,,0.152361,,0.401701,,,
