sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,register_adjusted_similarity,register_adjusted_gap,register_adjusted_research_cohesion,register_adjusted_policy_cohesion,delta_gap,unreliable,unreliable_reason
1,15522,2496,2187,312,312,50,0.580414,0.419586,0.377458,0.683276,0.593212,0.406788,0.377448,0.668187,-0.012798,False,
2,77820,2396,2101,355,355,50,0.654766,0.345234,0.489164,0.697401,0.673518,0.326482,0.489438,0.686123,-0.018752,False,
3,552491,4236,3473,378,378,50,0.548079,0.451921,0.376145,0.627803,0.563326,0.436674,0.376259,0.614013,-0.015247,False,
4,406146,2939,2928,346,346,50,0.736627,0.263373,0.450381,0.654917,0.759177,0.240823,0.450613,0.642717,-0.02255,False,
5,58437,3146,3106,467,467,50,0.762094,0.237906,0.398009,0.678333,0.780482,0.219518,0.398017,0.664596,-0.018388,False,
6,65633,1861,1812,271,271,50,0.566584,0.433416,0.458796,0.704094,0.586689,0.413311,0.459034,0.692722,-0.020105,False,
7,200006,2390,2262,366,366,50,0.478497,0.521503,0.431082,0.701839,0.49658,0.50342,0.431248,0.690546,-0.018083,False,
8,46367,2614,2568,312,312,50,0.749273,0.250727,0.429045,0.635087,0.766559,0.233441,0.428746,0.618695,-0.017286,False,
9,363313,5713,4034,433,433,50,0.741555,0.258445,0.405309,0.606415,0.762294,0.237706,0.405382,0.592005,-0.020739,False,
10,15833,764,641,172,172,50,0.650188,0.349812,0.388288,0.650746,0.66191,0.33809,0.38801,0.635821,-0.011722,False,
11,196187,3195,3099,305,305,50,0.52142,0.47858,0.439602,0.622302,0.53712,0.46288,0.439696,0.606763,-0.0157,False,
12,96216,2291,2156,305,305,50,0.591689,0.408311,0.392673,0.674329,0.612143,0.387857,0.392945,0.662111,-0.020454,False,
13,50946,4181,3825,1334,1334,50,0.593676,0.406324,0.479933,0.719612,0.60656,0.39344,0.48005,0.707942,-0.012884,False,
14,87619,2250,1753,376,376,50,0.560254,0.439746,0.373361,0.697821,0.571255,0.428745,0.373391,0.686952,-0.011001,False,
15,100355,2358,2116,343,343,50,0.665762,0.334238,0.442585,0.675989,0.685013,0.314987,0.442789,0.664062,-0.019251,False,
16,190317,3459,3237,1095,1095,50,0.719274,0.280726,0.400677,0.602547,0.735772,0.264228,0.400709,0.588088,-0.016498,False,
17,20490,7793,6112,1788,1788,50,0.48191,0.51809,0.306045,0.685606,0.485545,0.514455,0.30574,0.670537,-0.003635,False,
