group_type,group_value,count,mean_score,median_score,std_score,min_score,p25_score,p75_score,max_score
corpus,research,2543698,0.027785,0.023564,0.058084,-0.207817,-0.011456,0.062048,0.4142
corpus,policy,54082,0.293239,0.295502,0.055137,-0.032196,0.258405,0.330858,0.502827
sdg,SDG 1,18018,0.064171,0.025315,0.116604,-0.167533,-0.014993,0.107066,0.502827
corpus_by_sdg,research|SDG 1,15522,0.025356,0.012689,0.06722,-0.167533,-0.021095,0.062644,0.359961
corpus_by_sdg,policy|SDG 1,2496,0.305555,0.30979,0.049134,0.117357,0.272667,0.339076,0.502827
sdg,SDG 2,80216,0.030214,0.016405,0.074966,-0.161768,-0.016927,0.061548,0.454157
corpus_by_sdg,research|SDG 2,77820,0.022082,0.014429,0.059167,-0.161768,-0.018047,0.056261,0.332233
corpus_by_sdg,policy|SDG 2,2396,0.294333,0.297639,0.050407,0.064387,0.261292,0.330342,0.454157
sdg,SDG 3,556727,0.039372,0.032834,0.057205,-0.160405,0.001759,0.068617,0.459216
corpus_by_sdg,research|SDG 3,552491,0.037456,0.032344,0.052789,-0.160405,0.001502,0.067577,0.389059
corpus_by_sdg,policy|SDG 3,4236,0.289189,0.292067,0.061109,0.040136,0.249537,0.333876,0.459216
sdg,SDG 4,409085,0.033672,0.030441,0.055907,-0.177893,-0.002687,0.065025,0.431155
corpus_by_sdg,research|SDG 4,406146,0.031888,0.030014,0.051821,-0.177893,-0.002958,0.06416,0.337134
corpus_by_sdg,policy|SDG 4,2939,0.280126,0.283132,0.05268,0.050069,0.247205,0.315369,0.431155
sdg,SDG 5,61583,0.051145,0.035454,0.08065,-0.171415,-0.000195,0.08172,0.453743
corpus_by_sdg,research|SDG 5,58437,0.038125,0.031765,0.058268,-0.171415,-0.002263,0.072912,0.34074
corpus_by_sdg,policy|SDG 5,3146,0.292984,0.293841,0.051235,0.074771,0.259664,0.328409,0.453743
sdg,SDG 6,67494,0.009623,-0.00405,0.076659,-0.171594,-0.038591,0.040144,0.442735
corpus_by_sdg,research|SDG 6,65633,0.001205,-0.006047,0.058324,-0.171594,-0.039649,0.035449,0.315257
corpus_by_sdg,policy|SDG 6,1861,0.306489,0.309063,0.050356,0.082775,0.272395,0.344381,0.442735
sdg,SDG 7,202396,0.001473,-0.005239,0.064595,-0.207817,-0.038571,0.030426,0.457684
corpus_by_sdg,research|SDG 7,200006,-0.002213,-0.005952,0.05512,-0.207817,-0.039031,0.028803,0.37771
corpus_by_sdg,policy|SDG 7,2390,0.309925,0.310379,0.053057,-0.032196,0.275886,0.345537,0.457684
sdg,SDG 8,48981,0.059694,0.042117,0.086303,-0.149577,0.003545,0.092455,0.460916
corpus_by_sdg,research|SDG 8,46367,0.046261,0.038029,0.065619,-0.149577,0.001263,0.081562,0.399541
corpus_by_sdg,policy|SDG 8,2614,0.297956,0.298297,0.056741,0.046963,0.261637,0.334606,0.460916
sdg,SDG 9,369026,0.034742,0.028463,0.064879,-0.18739,-0.008034,0.068399,0.444693
corpus_by_sdg,research|SDG 9,363313,0.031105,0.027415,0.058091,-0.18739,-0.008706,0.066092,0.379864
corpus_by_sdg,policy|SDG 9,5713,0.266055,0.268077,0.054248,0.010465,0.234183,0.302876,0.444693
sdg,SDG 10,16597,0.050292,0.036699,0.083681,-0.144619,-0.002431,0.082712,0.457564
corpus_by_sdg,research|SDG 10,15833,0.037889,0.032908,0.060897,-0.144619,-0.004507,0.075031,0.33241
corpus_by_sdg,policy|SDG 10,764,0.307343,0.308389,0.077489,0.053992,0.259147,0.37605,0.457564
sdg,SDG 11,199382,0.031192,0.024898,0.063233,-0.165025,-0.009316,0.061267,0.464146
corpus_by_sdg,research|SDG 11,196187,0.026905,0.023785,0.053552,-0.165025,-0.009933,0.059043,0.359963
corpus_by_sdg,policy|SDG 11,3195,0.294401,0.296295,0.054907,0.062654,0.258962,0.331508,0.464146
sdg,SDG 12,98507,0.012127,0.000127,0.079736,-0.193945,-0.042083,0.051565,0.444832
corpus_by_sdg,research|SDG 12,96216,0.005416,-0.001718,0.067195,-0.193945,-0.043176,0.047069,0.379715
corpus_by_sdg,policy|SDG 12,2291,0.293957,0.296216,0.049274,0.084163,0.26329,0.326245,0.444832
sdg,SDG 13,55127,0.039371,0.013729,0.097779,-0.177235,-0.023976,0.071561,0.461637
corpus_by_sdg,research|SDG 13,50946,0.018352,0.007575,0.065765,-0.177235,-0.027096,0.053501,0.374352
corpus_by_sdg,policy|SDG 13,4181,0.295487,0.298869,0.048789,0.058699,0.266531,0.328879,0.461637
sdg,SDG 14,89869,0.024915,0.015277,0.067442,-0.176348,-0.014523,0.048316,0.434936
corpus_by_sdg,research|SDG 14,87619,0.017723,0.013893,0.05021,-0.176348,-0.015418,0.045174,0.347083
corpus_by_sdg,policy|SDG 14,2250,0.304981,0.307215,0.055207,0.089931,0.269837,0.34502,0.434936
sdg,SDG 15,102713,0.026111,0.015005,0.068504,-0.146348,-0.017298,0.054853,0.434677
corpus_by_sdg,research|SDG 15,100355,0.019794,0.013495,0.054667,-0.146348,-0.01816,0.051405,0.36938
corpus_by_sdg,policy|SDG 15,2358,0.294958,0.294505,0.057003,0.0711,0.256472,0.33435,0.434677
