side,term,coefficient,rank
policy,national,6.299451,1
policy,sdg,6.116717,2
policy,ai,6.054472,3
policy,io,5.674246,4
policy,2020,5.527005,5
policy,report,5.333864,6
policy,2021,4.989706,7
policy,2017,4.944171,8
policy,figure,4.935811,9
policy,2019,4.871054,10
policy,to,4.863052,11
policy,country,4.856137,12
policy,government,4.845883,13
policy,people,4.772125,14
policy,programme,4.748734,15
policy,2030,4.668611,16
policy,development,4.430374,17
policy,or,4.380444,18
policy,all,4.269389,19
policy,areas,4.212089,20
policy,2018,4.196676,21
policy,will,4.165149,22
policy,city,4.104633,23
policy,health,4.048142,24
policy,co,4.038677,25
policy,plan,4.013766,26
policy,percent,3.987912,27
policy,also,3.983841,28
policy,000,3.955307,29
policy,per,3.955188,30
policy,2015,3.931354,31
policy,access,3.913284,32
policy,sdgs,3.881531,33
policy,cent,3.817055,34
policy,sustainable,3.791927,35
policy,ti,3.78943,36
policy,ar,3.774108,37
policy,poverty,3.762427,38
policy,capita,3.74981,39
policy,https,3.710716,40
policy,2022,3.704851,41
policy,shall,3.701695,42
policy,cooperation,3.666921,43
policy,im,3.644146,44
policy,council,3.605249,45
policy,ulation,3.589589,46
policy,countries,3.578988,47
policy,target,3.518383,48
policy,example,3.512164,49
policy,ensure,3.496252,50
research,study,-12.918295,1
research,this,-8.652742,2
research,paper,-7.929731,3
research,analysis,-7.512428,4
research,article,-7.094875,5
research,using,-7.027336,6
research,research,-6.600199,7
research,results,-5.489426,8
research,model,-5.488672,9
research,how,-5.367737,10
research,method,-4.97615,11
research,abstract,-4.577791,12
research,findings,-4.560656,13
research,proposed,-4.481831,14
research,based,-4.384555,15
research,china,-4.377912,16
research,present,-4.19391,17
research,literature,-3.975813,18
research,design,-3.936803,19
research,show,-3.914416,20
research,spatial,-3.904301,21
research,used,-3.547409,22
research,approach,-3.509546,23
research,between,-3.5,24
research,case,-3.475088,25
research,these,-3.46106,26
research,theory,-3.460685,27
research,understanding,-3.45159,28
research,amp,-3.446453,29
research,patients,-3.425531,30
research,potential,-3.335348,31
research,mental,-3.300942,32
research,methods,-3.286714,33
research,field,-3.231585,34
research,effectiveness,-3.207912,35
research,novel,-3.204563,36
research,models,-3.174758,37
research,control,-3.155602,38
research,communication,-3.094738,39
research,studies,-3.073891,40
research,recent,-3.072184,41
research,neural,-2.932353,42
research,were,-2.932035,43
research,clinical,-2.917337,44
research,examines,-2.850291,45
research,role,-2.846226,46
research,de,-2.843531,47
research,revolution,-2.837814,48
research,era,-2.81606,49
research,driven,-2.805778,50
