sdg,n_papers,n_policy_segments_capped,n_policy_docs_capped,raw_gap,classifier_global_adjusted_gap,classifier_global_delta_gap,regression_global_adjusted_gap,regression_global_delta_gap,classifier_within_sdg_adjusted_gap,classifier_within_sdg_delta_gap,regression_within_sdg_adjusted_gap,regression_within_sdg_delta_gap,unreliable,unreliable_reason
1,15522,2187,312,0.419586,0.38155,0.038036,0.015047,0.404539,0.312193,0.107393,0.015684,0.403902,False,
2,77820,2101,355,0.345234,0.300489,0.044745,0.166605,0.178629,0.218532,0.126702,0.004918,0.340316,False,
3,552491,3473,378,0.451921,0.429464,0.022457,0.250597,0.201324,0.400652,0.051269,0.023163,0.428758,False,
4,406146,2928,346,0.263373,0.217426,0.045947,0.173614,0.089759,0.120449,0.142924,0.000173,0.2632,False,
5,58437,3106,467,0.237906,0.197245,0.040661,0.146594,0.091312,0.135339,0.102567,0.000236,0.23767,False,
6,65633,1812,271,0.433416,0.372375,0.061041,0.241213,0.192203,0.205841,0.227575,0.001164,0.432252,False,
7,200006,2262,366,0.521503,0.466268,0.055235,0.306397,0.215106,0.230801,0.290702,0.002642,0.518861,False,
8,46367,2568,312,0.250727,0.204615,0.046112,0.145531,0.105196,0.126535,0.124192,0.000151,0.250576,False,
9,363313,4034,433,0.258445,0.208553,0.049892,0.130695,0.12775,0.176149,0.082296,0.01307,0.245375,False,
10,15833,641,172,0.349812,0.316856,0.032956,0.141214,0.208598,0.196379,0.153433,0.011845,0.337967,False,
11,196187,3099,305,0.47858,0.439758,0.038822,0.210532,0.268048,0.308052,0.170528,0.000233,0.478347,False,
12,96216,2156,305,0.408311,0.350227,0.058084,0.249156,0.159155,0.224928,0.183383,0.004363,0.403948,False,
13,50946,3825,1334,0.406324,0.364269,0.042055,0.266771,0.139553,0.293449,0.112875,0.002051,0.404273,False,
14,87619,1753,376,0.439746,0.402527,0.037219,0.256602,0.183144,0.273862,0.165884,0.033255,0.406491,False,
15,100355,2116,343,0.334238,0.28375,0.050488,0.194839,0.139399,0.178154,0.156084,0.00638,0.327858,False,
16,190317,3237,1095,0.280726,0.246258,0.034468,0.202496,0.07823,0.200516,0.08021,0.002259,0.278467,False,
17,20490,6112,1788,0.51809,0.50932,0.00877,0.332708,0.185382,0.48892,0.02917,0.026893,0.491197,False,
