sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,within_sdg_adjusted_similarity,within_sdg_adjusted_gap,within_sdg_adjusted_gap_research_cohesion,within_sdg_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,15522,2496,2187,312,312,50,0.580414,0.419586,0.377458,0.683276,0.687807,0.312193,0.378962,0.619388,0.107393,True,,False,
2,77820,2396,2101,355,355,50,0.654766,0.345234,0.489164,0.697401,0.781468,0.218532,0.490854,0.625684,0.126702,True,,False,
3,552491,4236,3473,378,378,50,0.548079,0.451921,0.376145,0.627803,0.599348,0.400652,0.374248,0.537737,0.051269,True,,False,
4,406146,2939,2928,346,346,50,0.736627,0.263373,0.450381,0.654917,0.879551,0.120449,0.450929,0.571815,0.142924,True,,False,
5,58437,3146,3106,467,467,50,0.762094,0.237906,0.398009,0.678333,0.864661,0.135339,0.396651,0.595812,0.102567,True,,False,
6,65633,1861,1812,271,271,50,0.566584,0.433416,0.458796,0.704094,0.794159,0.205841,0.45971,0.619771,0.227575,True,,False,
7,200006,2390,2262,366,366,50,0.478497,0.521503,0.431082,0.701839,0.769199,0.230801,0.430989,0.5875,0.290702,True,,False,
8,46367,2614,2568,312,312,50,0.749273,0.250727,0.429045,0.635087,0.873465,0.126535,0.430096,0.561325,0.124192,True,,False,
9,363313,5713,4034,433,433,50,0.741555,0.258445,0.405309,0.606415,0.823851,0.176149,0.403922,0.534907,0.082296,True,,False,
10,15833,764,641,172,172,50,0.650188,0.349812,0.388288,0.650746,0.803621,0.196379,0.390062,0.558246,0.153433,True,,False,
11,196187,3195,3099,305,305,50,0.52142,0.47858,0.439602,0.622302,0.691948,0.308052,0.439727,0.550924,0.170528,True,,False,
12,96216,2291,2156,305,305,50,0.591689,0.408311,0.392673,0.674329,0.775072,0.224928,0.394532,0.59231,0.183383,True,,False,
13,50946,4181,3825,1334,1334,50,0.593676,0.406324,0.479933,0.719612,0.706551,0.293449,0.481982,0.655564,0.112875,True,,False,
14,87619,2250,1753,376,376,50,0.560254,0.439746,0.373361,0.697821,0.726138,0.273862,0.374539,0.616978,0.165884,True,,False,
15,100355,2358,2116,343,343,50,0.665762,0.334238,0.442585,0.675989,0.821846,0.178154,0.444182,0.609093,0.156084,True,,False,
16,190317,3459,3237,1095,1095,50,0.719274,0.280726,0.400677,0.602547,0.799484,0.200516,0.400501,0.5361,0.08021,True,,False,
17,20490,7793,6112,1788,1788,50,0.48191,0.51809,0.306045,0.685606,0.51108,0.48892,0.305527,0.627296,0.02917,True,,False,
