sdg,available_research,available_policy,sampled_per_class,train_size,test_size,accuracy,macro_f1,roc_auc,coefficient_norm,intercept,classifier_available,skip_reason
1,15522,2496,2496,3993,999,0.974975,0.974974,0.997291,19.346924,-3.944645,True,
2,77820,2396,2396,3833,959,0.982273,0.982273,0.998191,18.114382,-4.004225,True,
3,552491,4236,4236,6777,1695,0.983481,0.983481,0.997747,22.834682,-5.045592,True,
4,406146,2939,2939,4702,1176,0.980442,0.980442,0.997328,20.307123,-4.199441,True,
5,58437,3146,3146,5033,1259,0.973789,0.973788,0.99758,20.632217,-4.913121,True,
6,65633,1861,1861,2977,745,0.987919,0.987919,0.999438,15.893507,-3.383612,True,
7,200006,2390,2390,3824,956,0.987448,0.987447,0.999392,15.461096,-3.558035,True,
8,46367,2614,2614,4182,1046,0.971319,0.971318,0.995295,19.64476,-3.975989,True,
9,363313,5713,5713,9140,2286,0.973753,0.973753,0.996446,26.010839,-5.154422,True,
10,15833,764,764,1222,306,0.957516,0.957516,0.991627,12.664387,-2.769363,True,
11,196187,3195,3195,5112,1278,0.98748,0.98748,0.998773,19.947529,-3.211983,True,
12,96216,2291,2291,3665,917,0.986914,0.986913,0.998597,17.840584,-3.795855,True,
13,50946,4181,4181,6689,1673,0.979079,0.979078,0.997379,20.907812,-4.591676,True,
14,87619,2250,2250,3600,900,0.987778,0.987777,0.999111,17.070005,-3.68559,True,
15,100355,2358,2358,3772,944,0.983051,0.98305,0.998438,18.702255,-3.608065,True,
16,190317,3459,3459,5534,1384,0.960983,0.960981,0.994347,23.164618,-4.295249,True,
17,20490,7793,7793,12468,3118,0.979474,0.979471,0.997649,26.129559,-5.708562,True,
