k,sdg,raw_gap,adjusted_gap,delta_gap,n_papers,n_policy_docs_capped,unreliable
1,1,0.419586,0.406788,-0.012798,15522,312,False
1,2,0.345234,0.326482,-0.018752,77820,355,False
1,3,0.451921,0.436674,-0.015247,552491,378,False
1,4,0.263373,0.240823,-0.02255,406146,346,False
1,5,0.237906,0.219518,-0.018388,58437,467,False
1,6,0.433416,0.413311,-0.020105,65633,271,False
1,7,0.521503,0.50342,-0.018083,200006,366,False
1,8,0.250727,0.233441,-0.017286,46367,312,False
1,9,0.258445,0.237706,-0.020739,363313,433,False
1,10,0.349812,0.33809,-0.011722,15833,172,False
1,11,0.47858,0.46288,-0.0157,196187,305,False
1,12,0.408311,0.387857,-0.020454,96216,305,False
1,13,0.406324,0.39344,-0.012884,50946,1334,False
1,14,0.439746,0.428745,-0.011001,87619,376,False
1,15,0.334238,0.314987,-0.019251,100355,343,False
1,16,0.280726,0.264228,-0.016498,190317,1095,False
1,17,0.51809,0.514455,-0.003635,20490,1788,False
2,1,0.419586,0.403285,-0.016301,15522,312,False
2,2,0.345234,0.311885,-0.033349,77820,355,False
2,3,0.451921,0.428539,-0.023382,552491,378,False
2,4,0.263373,0.224665,-0.038708,406146,346,False
2,5,0.237906,0.208747,-0.029159,58437,467,False
2,6,0.433416,0.397099,-0.036317,65633,271,False
2,7,0.521503,0.489658,-0.031845,200006,366,False
2,8,0.250727,0.222872,-0.027855,46367,312,False
2,9,0.258445,0.22025,-0.038195,363313,433,False
2,10,0.349812,0.335127,-0.014685,15833,172,False
2,11,0.47858,0.454995,-0.023585,196187,305,False
2,12,0.408311,0.372668,-0.035643,96216,305,False
2,13,0.406324,0.385381,-0.020943,50946,1334,False
2,14,0.439746,0.422782,-0.016964,87619,376,False
2,15,0.334238,0.301365,-0.032873,100355,343,False
2,16,0.280726,0.25439,-0.026336,190317,1095,False
2,17,0.51809,0.522136,0.004046,20490,1788,False
3,1,0.419586,0.398701,-0.020885,15522,312,False
3,2,0.345234,0.302045,-0.043189,77820,355,False
3,3,0.451921,0.420419,-0.031502,552491,378,False
3,4,0.263373,0.212401,-0.050972,406146,346,False
3,5,0.237906,0.201633,-0.036273,58437,467,False
3,6,0.433416,0.381847,-0.051569,65633,271,False
3,7,0.521503,0.475517,-0.045986,200006,366,False
3,8,0.250727,0.212498,-0.038229,46367,312,False
3,9,0.258445,0.205376,-0.053069,363313,433,False
3,10,0.349812,0.329489,-0.020323,15833,172,False
3,11,0.47858,0.447495,-0.031085,196187,305,False
3,12,0.408311,0.360532,-0.047779,96216,305,False
3,13,0.406324,0.378009,-0.028315,50946,1334,False
3,14,0.439746,0.414675,-0.025071,87619,376,False
3,15,0.334238,0.290718,-0.04352,100355,343,False
3,16,0.280726,0.246311,-0.034415,190317,1095,False
3,17,0.51809,0.528878,0.010788,20490,1788,False
5,1,0.419586,0.391406,-0.02818,15522,312,False
5,2,0.345234,0.288453,-0.056781,77820,355,False
5,3,0.451921,0.40723,-0.044691,552491,378,False
5,4,0.263373,0.195717,-0.067656,406146,346,False
5,5,0.237906,0.19155,-0.046356,58437,467,False
5,6,0.433416,0.359777,-0.073639,65633,271,False
5,7,0.521503,0.45418,-0.067323,200006,366,False
5,8,0.250727,0.198349,-0.052378,46367,312,False
5,9,0.258445,0.184525,-0.07392,363313,433,False
5,10,0.349812,0.31675,-0.033062,15833,172,False
5,11,0.47858,0.436083,-0.042497,196187,305,False
5,12,0.408311,0.342892,-0.065419,96216,305,False
5,13,0.406324,0.367441,-0.038883,50946,1334,False
5,14,0.439746,0.400305,-0.039441,87619,376,False
5,15,0.334238,0.273752,-0.060486,100355,343,False
5,16,0.280726,0.234554,-0.046172,190317,1095,False
5,17,0.51809,0.543753,0.025663,20490,1788,False
