sdg,pair_count,research_sample_n,raw_mean_matched_cosine,adjusted_mean_matched_cosine,delta_mean_cosine,raw_mean_matched_gap,adjusted_mean_matched_gap
1,2187,5000,0.670703,0.665294,-0.005409,0.329297,0.334706
2,2101,5000,0.682784,0.680264,-0.002521,0.317216,0.319736
3,3473,5000,0.601897,0.599476,-0.002421,0.398103,0.400524
4,2928,5000,0.613089,0.61292,-0.000169,0.386911,0.38708
5,3106,5000,0.665455,0.662805,-0.00265,0.334545,0.337195
6,1812,5000,0.647769,0.646069,-0.0017,0.352231,0.353931
7,2262,5000,0.634317,0.632567,-0.001749,0.365683,0.367433
8,2568,5000,0.635575,0.630981,-0.004594,0.364425,0.369019
9,4034,5000,0.643869,0.641478,-0.00239,0.356131,0.358522
10,641,5000,0.635058,0.630775,-0.004282,0.364942,0.369225
11,3099,5000,0.606717,0.605829,-0.000888,0.393283,0.394171
12,2156,5000,0.635006,0.63282,-0.002186,0.364994,0.36718
13,3825,5000,0.69899,0.693629,-0.005361,0.30101,0.306371
14,1753,5000,0.649642,0.645158,-0.004484,0.350358,0.354842
15,2116,5000,0.639614,0.638469,-0.001144,0.360386,0.361531
16,3237,5000,0.650551,0.648203,-0.002348,0.349449,0.351797
17,6112,5000,0.669713,0.663157,-0.006556,0.330287,0.336843
