,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,1.0000,0.7174,0.6112,0.6067,0.7306,0.5416,0.4524,0.7998,0.6097,0.9192,0.6191,0.4963,0.5589,0.4063,0.4473,0.5360,0.6795
SDG2,0.7174,1.0000,0.5146,0.4528,0.5175,0.6325,0.5611,0.6505,0.6267,0.6380,0.5622,0.6453,0.6433,0.5501,0.6327,0.3963,0.6403
SDG3,0.6112,0.5146,1.0000,0.4993,0.5918,0.4757,0.3542,0.5747,0.5011,0.5705,0.5244,0.4366,0.4350,0.3364,0.3775,0.4578,0.5259
SDG4,0.6067,0.4528,0.4993,1.0000,0.6045,0.4118,0.3479,0.6698,0.5612,0.6314,0.5138,0.3761,0.4147,0.3299,0.3530,0.4814,0.5167
SDG5,0.7306,0.5175,0.5918,0.6045,1.0000,0.4185,0.3486,0.7240,0.5137,0.7580,0.5068,0.3890,0.4466,0.3433,0.3421,0.6202,0.5710
SDG6,0.5416,0.6325,0.4757,0.4118,0.4185,1.0000,0.6276,0.5159,0.5921,0.4945,0.6600,0.7096,0.7100,0.6237,0.6545,0.4314,0.6489
SDG7,0.4524,0.5611,0.3542,0.3479,0.3486,0.6276,1.0000,0.5431,0.6919,0.4613,0.6023,0.7429,0.7339,0.4861,0.5179,0.3183,0.6383
SDG8,0.7998,0.6505,0.5747,0.6698,0.7240,0.5159,0.5431,1.0000,0.7659,0.8671,0.6505,0.5605,0.5543,0.4759,0.4470,0.5185,0.6771
SDG9,0.6097,0.6267,0.5011,0.5612,0.5137,0.5921,0.6919,0.7659,1.0000,0.6439,0.7236,0.6600,0.6401,0.5014,0.5070,0.4864,0.7476
SDG10,0.9192,0.6380,0.5705,0.6314,0.7580,0.4945,0.4613,0.8671,0.6439,1.0000,0.6188,0.4705,0.5252,0.4079,0.4062,0.5864,0.6526
SDG11,0.6191,0.5622,0.5244,0.5138,0.5068,0.6600,0.6023,0.6505,0.7236,0.6188,1.0000,0.6775,0.6417,0.4732,0.5869,0.4963,0.6726
SDG12,0.4963,0.6453,0.4366,0.3761,0.3890,0.7096,0.7429,0.5605,0.6600,0.4705,0.6775,1.0000,0.7131,0.6338,0.6680,0.3815,0.6815
SDG13,0.5589,0.6433,0.4350,0.4147,0.4466,0.7100,0.7339,0.5543,0.6401,0.5252,0.6417,0.7131,1.0000,0.6335,0.7133,0.4588,0.8082
SDG14,0.4063,0.5501,0.3364,0.3299,0.3433,0.6237,0.4861,0.4759,0.5014,0.4079,0.4732,0.6338,0.6335,1.0000,0.6709,0.3722,0.5766
SDG15,0.4473,0.6327,0.3775,0.3530,0.3421,0.6545,0.5179,0.4470,0.5070,0.4062,0.5869,0.6680,0.7133,0.6709,1.0000,0.3676,0.6025
SDG16,0.5360,0.3963,0.4578,0.4814,0.6202,0.4314,0.3183,0.5185,0.4864,0.5864,0.4963,0.3815,0.4588,0.3722,0.3676,1.0000,0.6074
SDG17,0.6795,0.6403,0.5259,0.5167,0.5710,0.6489,0.6383,0.6771,0.7476,0.6526,0.6726,0.6815,0.8082,0.5766,0.6025,0.6074,1.0000
