sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,sdg_balanced_adjusted_similarity,sdg_balanced_adjusted_gap,sdg_balanced_adjusted_gap_research_cohesion,sdg_balanced_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2970,2214,351,351,50,0.67284,0.32716,0.335413,0.628618,0.733128,0.266872,0.335957,0.582877,0.060288,True,,False,
2,86745,2119,2020,347,347,50,0.665811,0.334189,0.41574,0.634466,0.733576,0.266424,0.416699,0.594892,0.067765,True,,False,
3,454371,3893,3506,391,391,50,0.558682,0.441318,0.374511,0.567277,0.628624,0.371376,0.375055,0.512796,0.069942,True,,False,
4,352005,3009,2994,366,366,50,0.714039,0.285961,0.451435,0.608575,0.776722,0.223278,0.451851,0.567452,0.062683,True,,False,
5,58242,3107,3066,499,499,50,0.750421,0.249579,0.371031,0.626336,0.8023,0.1977,0.370773,0.584462,0.051879,True,,False,
6,102589,1992,1941,302,302,50,0.488208,0.511792,0.410129,0.667035,0.57009,0.42991,0.410718,0.624799,0.081882,True,,False,
7,212882,2563,2343,367,367,50,0.504645,0.495355,0.41126,0.647785,0.59779,0.40221,0.411353,0.607622,0.093145,True,,False,
8,37550,2623,2415,312,312,50,0.704179,0.295821,0.394655,0.579455,0.779393,0.220607,0.395188,0.526458,0.075214,True,,False,
9,260631,4601,3626,408,408,50,0.766662,0.233338,0.379249,0.562703,0.832521,0.167479,0.379718,0.521312,0.065859,True,,False,
10,23872,852,732,208,208,50,0.469665,0.530335,0.304806,0.571582,0.549665,0.450335,0.305403,0.52177,0.08,True,,False,
11,138646,2797,2735,297,297,50,0.546213,0.453787,0.406702,0.566982,0.615488,0.384512,0.407322,0.513786,0.069275,True,,False,
12,94787,2283,1951,286,286,50,0.570615,0.429385,0.350752,0.624065,0.664677,0.335323,0.351438,0.579964,0.094062,True,,False,
13,133076,4972,4530,1503,1503,50,0.465492,0.534508,0.389853,0.657534,0.52253,0.47747,0.390643,0.619426,0.057038,True,,False,
14,98797,2058,1675,343,343,50,0.51092,0.48908,0.340016,0.655227,0.583552,0.416448,0.340552,0.616078,0.072632,True,,False,
15,188842,2395,2156,353,353,50,0.538224,0.461776,0.406692,0.631502,0.605429,0.394571,0.407322,0.589941,0.067205,True,,False,
16,213730,3769,3408,1183,1183,50,0.659623,0.340377,0.35173,0.542971,0.722464,0.277536,0.352167,0.496053,0.062841,True,,False,
17,69370,8079,6651,1709,1709,50,0.342355,0.657645,0.343207,0.593334,0.385832,0.614168,0.343756,0.539233,0.043477,True,,False,
