sdg,available_research,available_policy,sampled_per_class,train_size,test_size,accuracy,macro_f1,roc_auc,coefficient_norm,intercept,classifier_available,skip_reason
1,17563,2970,2970,4752,1188,0.984007,0.984006,0.99881,20.612953,-4.177446,True,
2,86745,2119,2119,3390,848,0.96934,0.969339,0.995105,17.823299,-3.882432,True,
3,454371,3893,3893,6228,1558,0.967266,0.967263,0.995867,22.187874,-4.159791,True,
4,352005,3009,3009,4814,1204,0.980066,0.980066,0.998515,20.429127,-3.714009,True,
5,58242,3107,3107,4971,1243,0.985519,0.985518,0.998299,20.726887,-4.464914,True,
6,102589,1992,1992,3187,797,0.986198,0.986197,0.999093,15.901945,-3.560817,True,
7,212882,2563,2563,4100,1026,0.980507,0.980503,0.999115,17.284241,-3.501101,True,
8,37550,2623,2623,4196,1050,0.973333,0.973333,0.995751,19.795549,-3.603328,True,
9,260631,4601,4601,7361,1841,0.957089,0.957088,0.992439,24.911383,-4.768534,True,
10,23872,852,852,1363,341,0.970674,0.970674,0.997179,13.242718,-2.558831,True,
11,138646,2797,2797,4475,1119,0.98034,0.980338,0.998428,20.056776,-2.98285,True,
12,94787,2283,2283,3652,914,0.983589,0.983589,0.998013,17.996765,-3.40341,True,
13,133076,4972,4972,7955,1989,0.975365,0.975362,0.997788,20.672771,-4.391505,True,
14,98797,2058,2058,3292,824,0.98665,0.986649,0.999228,16.33168,-3.50624,True,
15,188842,2395,2395,3832,958,0.980167,0.980164,0.997764,17.862349,-3.305625,True,
16,213730,3769,3769,6030,1508,0.96817,0.96817,0.994016,22.949421,-3.475568,True,
17,69370,8079,8079,12926,3232,0.97401,0.974006,0.996438,25.023373,-5.034292,True,
