group_type,group_value,count,mean_score,median_score,std_score,min_score,p25_score,p75_score,max_score
corpus,research,2543698,0.006449,0.001694,0.064921,-0.260519,-0.037353,0.044991,0.395399
corpus,policy,54082,0.279843,0.283272,0.058838,-0.09256,0.243894,0.320095,0.486446
sdg,SDG 1,14774,0.07386,0.039298,0.12934,-0.21586,-0.019762,0.149465,0.457186
corpus_by_sdg,research|SDG 1,11804,0.02044,0.015285,0.078347,-0.21586,-0.031901,0.06814,0.337471
corpus_by_sdg,policy|SDG 1,2970,0.286169,0.28737,0.049021,0.114255,0.256271,0.32037,0.457186
sdg,SDG 2,85560,0.017436,0.006172,0.078423,-0.233248,-0.03292,0.054457,0.437798
corpus_by_sdg,research|SDG 2,83441,0.010781,0.004227,0.066673,-0.233248,-0.034095,0.049744,0.368409
corpus_by_sdg,policy|SDG 2,2119,0.279497,0.284399,0.053532,0.042955,0.246444,0.315297,0.437798
sdg,SDG 3,474520,0.016248,0.008012,0.066796,-0.224974,-0.028886,0.05179,0.486446
corpus_by_sdg,research|SDG 3,470627,0.01408,0.007413,0.06237,-0.224974,-0.029203,0.050376,0.370943
corpus_by_sdg,policy|SDG 3,3893,0.278331,0.284682,0.065661,0.040587,0.238124,0.323664,0.486446
sdg,SDG 4,358729,0.01914,0.013945,0.062254,-0.233334,-0.022156,0.053553,0.449055
corpus_by_sdg,research|SDG 4,355720,0.016992,0.013385,0.057691,-0.233334,-0.022507,0.052336,0.366301
corpus_by_sdg,policy|SDG 4,3009,0.273088,0.277023,0.059555,0.058066,0.233086,0.314553,0.449055
sdg,SDG 5,56848,0.038484,0.025012,0.083334,-0.213534,-0.014153,0.071434,0.471153
corpus_by_sdg,research|SDG 5,53741,0.02474,0.020883,0.060995,-0.213534,-0.016555,0.061813,0.349712
corpus_by_sdg,policy|SDG 5,3107,0.276206,0.279857,0.054164,0.035203,0.242596,0.311126,0.471153
sdg,SDG 6,92707,-0.009133,-0.019506,0.078719,-0.218858,-0.058233,0.024933,0.45794
corpus_by_sdg,research|SDG 6,90715,-0.015931,-0.021186,0.064111,-0.218858,-0.059168,0.021422,0.33638
corpus_by_sdg,policy|SDG 6,1992,0.300449,0.304086,0.057123,-0.09256,0.265329,0.340758,0.45794
sdg,SDG 7,201306,-0.023303,-0.030245,0.072121,-0.256088,-0.069282,0.011522,0.451631
corpus_by_sdg,research|SDG 7,198743,-0.027298,-0.031194,0.063062,-0.256088,-0.06986,0.009563,0.374301
corpus_by_sdg,policy|SDG 7,2563,0.286485,0.287881,0.054388,0.007412,0.248243,0.328916,0.451631
sdg,SDG 8,44521,0.043118,0.027802,0.095284,-0.210168,-0.021744,0.088208,0.4544
corpus_by_sdg,research|SDG 8,41898,0.027664,0.021572,0.073265,-0.210168,-0.024804,0.075849,0.366071
corpus_by_sdg,policy|SDG 8,2623,0.289964,0.291351,0.060112,0.052628,0.253299,0.329755,0.4544
sdg,SDG 9,251971,0.022743,0.016887,0.073011,-0.226525,-0.026289,0.063924,0.427908
corpus_by_sdg,research|SDG 9,247370,0.018588,0.015405,0.066417,-0.226525,-0.027171,0.060776,0.353179
corpus_by_sdg,policy|SDG 9,4601,0.246115,0.249624,0.062765,-0.056512,0.207691,0.28939,0.427908
sdg,SDG 10,21175,0.016607,0.00206,0.08424,-0.191767,-0.038501,0.053376,0.439689
corpus_by_sdg,research|SDG 10,20323,0.006027,-0.001188,0.066594,-0.191767,-0.040237,0.045256,0.32133
corpus_by_sdg,policy|SDG 10,852,0.268968,0.273203,0.065019,-0.004574,0.237013,0.311003,0.439689
sdg,SDG 11,139413,0.015301,0.00745,0.071189,-0.224499,-0.030146,0.049523,0.442277
corpus_by_sdg,research|SDG 11,136616,0.009965,0.005893,0.060675,-0.224499,-0.031007,0.046364,0.369872
corpus_by_sdg,policy|SDG 11,2797,0.275913,0.278605,0.059014,-0.011346,0.238031,0.316983,0.442277
sdg,SDG 12,93243,-0.006589,-0.019219,0.085508,-0.233797,-0.063826,0.035398,0.449845
corpus_by_sdg,research|SDG 12,90960,-0.013966,-0.021388,0.072119,-0.233797,-0.065015,0.030516,0.38108
corpus_by_sdg,policy|SDG 12,2283,0.287358,0.289456,0.053157,0.038891,0.253288,0.319634,0.449845
sdg,SDG 13,115617,0.00294,-0.01181,0.089012,-0.235232,-0.051441,0.033867,0.473152
corpus_by_sdg,research|SDG 13,110645,-0.009557,-0.015053,0.067258,-0.235232,-0.053454,0.026448,0.363443
corpus_by_sdg,policy|SDG 13,4972,0.281045,0.284397,0.052507,0.006907,0.248815,0.317089,0.473152
sdg,SDG 14,101220,-0.002181,-0.008609,0.07446,-0.260519,-0.048067,0.032479,0.431043
corpus_by_sdg,research|SDG 14,99162,-0.008142,-0.010126,0.062118,-0.260519,-0.049109,0.029371,0.30913
corpus_by_sdg,policy|SDG 14,2058,0.285059,0.286779,0.050458,0.053351,0.25366,0.319632,0.431043
sdg,SDG 15,177842,0.003917,-0.003248,0.065953,-0.21252,-0.037575,0.034729,0.449986
corpus_by_sdg,research|SDG 15,175447,2.9e-05,-0.004115,0.056937,-0.21252,-0.038111,0.03284,0.327779
corpus_by_sdg,policy|SDG 15,2395,0.288694,0.291269,0.057495,0.068315,0.252434,0.327994,0.449986
sdg,SDG 16,192815,0.023395,0.015408,0.075604,-0.247653,-0.028391,0.066287,0.450151
corpus_by_sdg,research|SDG 16,189046,0.018775,0.01374,0.06831,-0.247653,-0.029344,0.062661,0.328666
corpus_by_sdg,policy|SDG 16,3769,0.255115,0.257416,0.060072,-1.2e-05,0.219054,0.296091,0.450151
sdg,SDG 17,175519,0.016423,-0.000307,0.087249,-0.21877,-0.035535,0.040931,0.468879
corpus_by_sdg,research|SDG 17,167440,0.002827,-0.003397,0.061847,-0.21877,-0.037353,0.03375,0.395399
corpus_by_sdg,policy|SDG 17,8079,0.298216,0.300123,0.053563,0.031452,0.263281,0.335313,0.468879
