comparison_type,left,right,cosine_similarity
global_vs_average,sdg_balanced_global,within_sdg_average,0.914168
global_vs_within_sdg,sdg_balanced_global,sdg_1,0.830636
global_vs_within_sdg,sdg_balanced_global,sdg_2,0.795821
global_vs_within_sdg,sdg_balanced_global,sdg_3,0.820129
global_vs_within_sdg,sdg_balanced_global,sdg_4,0.780362
global_vs_within_sdg,sdg_balanced_global,sdg_5,0.817568
global_vs_within_sdg,sdg_balanced_global,sdg_6,0.780196
global_vs_within_sdg,sdg_balanced_global,sdg_7,0.769608
global_vs_within_sdg,sdg_balanced_global,sdg_8,0.830611
global_vs_within_sdg,sdg_balanced_global,sdg_9,0.81222
global_vs_within_sdg,sdg_balanced_global,sdg_10,0.742993
global_vs_within_sdg,sdg_balanced_global,sdg_11,0.834577
global_vs_within_sdg,sdg_balanced_global,sdg_12,0.79292
global_vs_within_sdg,sdg_balanced_global,sdg_13,0.819984
global_vs_within_sdg,sdg_balanced_global,sdg_14,0.713743
global_vs_within_sdg,sdg_balanced_global,sdg_15,0.770122
global_vs_within_sdg,sdg_balanced_global,sdg_16,0.801748
global_vs_within_sdg,sdg_balanced_global,sdg_17,0.827054
pairwise_within_sdg,sdg_1,sdg_2,0.818383
pairwise_within_sdg,sdg_1,sdg_3,0.749564
pairwise_within_sdg,sdg_1,sdg_4,0.760262
pairwise_within_sdg,sdg_1,sdg_5,0.837095
pairwise_within_sdg,sdg_1,sdg_6,0.758434
pairwise_within_sdg,sdg_1,sdg_7,0.755174
pairwise_within_sdg,sdg_1,sdg_8,0.844447
pairwise_within_sdg,sdg_1,sdg_9,0.661836
pairwise_within_sdg,sdg_1,sdg_10,0.821864
pairwise_within_sdg,sdg_1,sdg_11,0.794976
pairwise_within_sdg,sdg_1,sdg_12,0.76474
pairwise_within_sdg,sdg_1,sdg_13,0.77241
pairwise_within_sdg,sdg_1,sdg_14,0.709873
pairwise_within_sdg,sdg_1,sdg_15,0.733493
pairwise_within_sdg,sdg_1,sdg_16,0.701665
pairwise_within_sdg,sdg_1,sdg_17,0.759352
pairwise_within_sdg,sdg_2,sdg_3,0.750172
pairwise_within_sdg,sdg_2,sdg_4,0.758842
pairwise_within_sdg,sdg_2,sdg_5,0.769686
pairwise_within_sdg,sdg_2,sdg_6,0.802355
pairwise_within_sdg,sdg_2,sdg_7,0.81017
pairwise_within_sdg,sdg_2,sdg_8,0.795372
pairwise_within_sdg,sdg_2,sdg_9,0.6939
pairwise_within_sdg,sdg_2,sdg_10,0.732527
pairwise_within_sdg,sdg_2,sdg_11,0.797123
pairwise_within_sdg,sdg_2,sdg_12,0.836028
pairwise_within_sdg,sdg_2,sdg_13,0.775869
pairwise_within_sdg,sdg_2,sdg_14,0.789998
pairwise_within_sdg,sdg_2,sdg_15,0.803205
pairwise_within_sdg,sdg_2,sdg_16,0.654875
pairwise_within_sdg,sdg_2,sdg_17,0.754672
pairwise_within_sdg,sdg_3,sdg_4,0.754001
pairwise_within_sdg,sdg_3,sdg_5,0.772283
pairwise_within_sdg,sdg_3,sdg_6,0.741188
pairwise_within_sdg,sdg_3,sdg_7,0.709685
pairwise_within_sdg,sdg_3,sdg_8,0.763531
pairwise_within_sdg,sdg_3,sdg_9,0.742012
pairwise_within_sdg,sdg_3,sdg_10,0.682143
pairwise_within_sdg,sdg_3,sdg_11,0.767909
pairwise_within_sdg,sdg_3,sdg_12,0.723321
pairwise_within_sdg,sdg_3,sdg_13,0.745368
pairwise_within_sdg,sdg_3,sdg_14,0.670619
pairwise_within_sdg,sdg_3,sdg_15,0.683371
pairwise_within_sdg,sdg_3,sdg_16,0.718549
pairwise_within_sdg,sdg_3,sdg_17,0.762728
