sdg,n_papers,n_policy_segments_capped,n_policy_docs_capped,raw_gap,classifier_global_adjusted_gap,classifier_global_delta_gap,regression_global_adjusted_gap,regression_global_delta_gap,classifier_within_sdg_adjusted_gap,classifier_within_sdg_delta_gap,regression_within_sdg_adjusted_gap,regression_within_sdg_delta_gap,unreliable,unreliable_reason
1,11804,2214,351,0.252615,0.191939,0.060676,0.051347,0.201268,0.155266,0.097349,0.052142,0.200473,False,
2,83441,2020,347,0.324005,0.260334,0.063671,0.180066,0.143939,0.166272,0.157733,0.001977,0.322028,False,
3,470627,3506,391,0.423483,0.356312,0.067171,0.226102,0.197381,0.307756,0.115727,0.006825,0.416658,False,
4,355720,2994,366,0.286999,0.221412,0.065587,0.194029,0.09297,0.117929,0.16907,0.00013,0.286869,False,
5,53741,3066,499,0.248805,0.193488,0.055317,0.140764,0.108041,0.125334,0.123471,0.000616,0.248189,False,
6,90715,1941,302,0.490501,0.410222,0.080279,0.32797,0.162531,0.231091,0.25941,0.000582,0.489919,False,
7,198743,2343,367,0.497171,0.40751,0.089661,0.348103,0.149068,0.218614,0.278557,0.007823,0.489348,False,
8,41898,2415,312,0.268977,0.196932,0.072045,0.179065,0.089912,0.116864,0.152113,0.004082,0.264895,False,
9,247370,3626,408,0.234052,0.168607,0.065445,0.152841,0.081211,0.143799,0.090253,0.004169,0.229883,False,
10,20323,732,208,0.432173,0.365889,0.066284,0.144874,0.287299,0.245651,0.186522,0.020627,0.411546,False,
11,136616,2735,297,0.446761,0.379781,0.06698,0.304994,0.141767,0.256801,0.18996,0.000267,0.446494,False,
12,90960,1951,286,0.424109,0.33135,0.092759,0.285075,0.139034,0.205472,0.218637,0.031557,0.392552,False,
13,110645,4530,1503,0.528293,0.465818,0.062475,0.384124,0.144169,0.387749,0.140544,0.00259,0.525703,False,
14,99162,1675,343,0.485219,0.417363,0.067856,0.329659,0.15556,0.231956,0.253263,0.036977,0.448242,False,
15,175447,2156,353,0.464658,0.400377,0.064281,0.335124,0.129534,0.224639,0.240019,0.007468,0.45719,False,
16,189046,3408,1183,0.3228,0.258994,0.063806,0.228218,0.094582,0.194798,0.128002,0.007455,0.315345,False,
17,167440,6651,1709,0.671478,0.62504,0.046438,0.450928,0.22055,0.52086,0.150618,0.0231,0.648378,False,
