sdg,classifier_cosine_similarity,regression_cosine_similarity,regression_abs_cosine_similarity,regression_within_sdg_cosine_similarity,regression_within_sdg_abs_cosine_similarity
1,0.366529,0.7165,0.7165,0.7165,0.7165
2,0.38261,0.59773,0.59773,0.707918,0.707918
3,0.387537,0.486392,0.486392,0.697928,0.697928
4,0.346988,0.448932,0.448932,0.538704,0.538704
5,0.349125,0.499344,0.499344,0.700542,0.700542
6,0.404082,0.47838,0.47838,0.745448,0.745448
7,0.378947,0.478382,0.478382,0.741127,0.741127
8,0.415725,0.636959,0.636959,0.642932,0.642932
9,0.413238,0.529838,0.529838,0.731421,0.731421
10,0.360342,0.648666,0.648666,0.738925,0.738925
11,0.426535,0.543031,0.543031,0.655369,0.655369
12,0.387312,0.468014,0.468014,0.732909,0.732909
13,0.384896,0.494573,0.494573,0.752424,0.752424
14,0.386947,0.377324,0.377324,0.81198,0.81198
15,0.392568,0.45095,0.45095,0.729019,0.729019
16,0.252025,0.349371,0.349371,0.57246,0.57246
17,0.415077,0.526898,0.526898,0.767703,0.767703
