sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,within_sdg_adjusted_similarity,within_sdg_adjusted_gap,within_sdg_adjusted_gap_research_cohesion,within_sdg_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2970,2214,351,351,50,0.67284,0.32716,0.335413,0.628618,0.793453,0.206547,0.336589,0.557133,0.120613,True,,False,
2,86745,2119,2020,347,347,50,0.665811,0.334189,0.41574,0.634466,0.828655,0.171345,0.417505,0.544715,0.162844,True,,False,
3,454371,3893,3506,391,391,50,0.558682,0.441318,0.374511,0.567277,0.679036,0.320964,0.375295,0.477185,0.120354,True,,False,
4,352005,3009,2994,366,366,50,0.714039,0.285961,0.451435,0.608575,0.879835,0.120165,0.452827,0.528584,0.165796,True,,False,
5,58242,3107,3066,499,499,50,0.750421,0.249579,0.371031,0.626336,0.863484,0.136516,0.370266,0.541214,0.113063,True,,False,
6,102589,1992,1941,302,302,50,0.488208,0.511792,0.410129,0.667035,0.732526,0.267474,0.411222,0.556133,0.244318,True,,False,
7,212882,2563,2343,367,367,50,0.504645,0.495355,0.41126,0.647785,0.753371,0.246629,0.410871,0.550279,0.248726,True,,False,
8,37550,2623,2415,312,312,50,0.704179,0.295821,0.394655,0.579455,0.855204,0.144796,0.395985,0.499817,0.151025,True,,False,
9,260631,4601,3626,408,408,50,0.766662,0.233338,0.379249,0.562703,0.852829,0.147171,0.377457,0.487089,0.086167,True,,False,
10,23872,852,732,208,208,50,0.469665,0.530335,0.304806,0.571582,0.730294,0.269706,0.305836,0.447299,0.260629,True,,False,
11,138646,2797,2735,297,297,50,0.546213,0.453787,0.406702,0.566982,0.717579,0.282421,0.406772,0.498257,0.171366,True,,False,
12,94787,2283,1951,286,286,50,0.570615,0.429385,0.350752,0.624065,0.785273,0.214727,0.351145,0.541045,0.214658,True,,False,
13,133076,4972,4530,1503,1503,50,0.465492,0.534508,0.389853,0.657534,0.620643,0.379357,0.391217,0.570882,0.155151,True,,False,
14,98797,2058,1675,343,343,50,0.51092,0.48908,0.340016,0.655227,0.759669,0.240331,0.340259,0.551984,0.248749,True,,False,
15,188842,2395,2156,353,353,50,0.538224,0.461776,0.406692,0.631502,0.758911,0.241089,0.40649,0.549317,0.220687,True,,False,
16,213730,3769,3408,1183,1183,50,0.659623,0.340377,0.35173,0.542971,0.795833,0.204167,0.352838,0.477115,0.13621,True,,False,
17,69370,8079,6651,1709,1709,50,0.342355,0.657645,0.343207,0.593334,0.446802,0.553198,0.344092,0.508169,0.104447,True,,False,
