k,sdg,raw_gap,adjusted_gap,delta_gap,n_papers,n_policy_docs_capped,unreliable
1,1,0.252615,0.23125,-0.021365,11804,351,False
1,2,0.324005,0.299952,-0.024053,83441,347,False
1,3,0.423483,0.391299,-0.032184,470627,391,False
1,4,0.286999,0.254001,-0.032998,355720,366,False
1,5,0.248805,0.228294,-0.020511,53741,499,False
1,6,0.490501,0.462838,-0.027663,90715,302,False
1,7,0.497171,0.461577,-0.035594,198743,367,False
1,8,0.268977,0.240764,-0.028213,41898,312,False
1,9,0.234052,0.206591,-0.027461,247370,408,False
1,10,0.432173,0.411217,-0.020956,20323,208,False
1,11,0.446761,0.417993,-0.028768,136616,297,False
1,12,0.424109,0.391394,-0.032715,90960,286,False
1,13,0.528293,0.504909,-0.023384,110645,1503,False
1,14,0.485219,0.462232,-0.022987,99162,343,False
1,15,0.464658,0.440949,-0.023709,175447,353,False
1,16,0.3228,0.296898,-0.025902,189046,1183,False
1,17,0.671478,0.654694,-0.016784,167440,1709,False
2,1,0.252615,0.21584,-0.036775,11804,351,False
2,2,0.324005,0.276474,-0.047531,83441,347,False
2,3,0.423483,0.364443,-0.05904,470627,391,False
2,4,0.286999,0.226269,-0.06073,355720,366,False
2,5,0.248805,0.210571,-0.038234,53741,499,False
2,6,0.490501,0.434443,-0.056058,90715,302,False
2,7,0.497171,0.430892,-0.066279,198743,367,False
2,8,0.268977,0.219348,-0.049629,41898,312,False
2,9,0.234052,0.182785,-0.051267,247370,408,False
2,10,0.432173,0.394361,-0.037812,20323,208,False
2,11,0.446761,0.395127,-0.051634,136616,297,False
2,12,0.424109,0.361044,-0.063065,90960,286,False
2,13,0.528293,0.484884,-0.043409,110645,1503,False
2,14,0.485219,0.440382,-0.044837,99162,343,False
2,15,0.464658,0.420187,-0.044471,175447,353,False
2,16,0.3228,0.274064,-0.048736,189046,1183,False
2,17,0.671478,0.639412,-0.032066,167440,1709,False
3,1,0.252615,0.20605,-0.046565,11804,351,False
3,2,0.324005,0.25636,-0.067645,83441,347,False
3,3,0.423483,0.345904,-0.077579,470627,391,False
3,4,0.286999,0.210099,-0.0769,355720,366,False
3,5,0.248805,0.198885,-0.04992,53741,499,False
3,6,0.490501,0.415384,-0.075117,90715,302,False
3,7,0.497171,0.40844,-0.088731,198743,367,False
3,8,0.268977,0.206399,-0.062578,41898,312,False
3,9,0.234052,0.168331,-0.065721,247370,408,False
3,10,0.432173,0.378021,-0.054152,20323,208,False
3,11,0.446761,0.381869,-0.064892,136616,297,False
3,12,0.424109,0.340457,-0.083652,90960,286,False
3,13,0.528293,0.473401,-0.054892,110645,1503,False
3,14,0.485219,0.424257,-0.060962,99162,343,False
3,15,0.464658,0.405015,-0.059643,175447,353,False
3,16,0.3228,0.258958,-0.063842,189046,1183,False
3,17,0.671478,0.626707,-0.044771,167440,1709,False
5,1,0.252615,0.192124,-0.060491,11804,351,False
5,2,0.324005,0.225584,-0.098421,83441,347,False
5,3,0.423483,0.311846,-0.111637,470627,391,False
5,4,0.286999,0.187685,-0.099314,355720,366,False
5,5,0.248805,0.179864,-0.068941,53741,499,False
5,6,0.490501,0.387122,-0.103379,90715,302,False
5,7,0.497171,0.376227,-0.120944,198743,367,False
5,8,0.268977,0.185062,-0.083915,41898,312,False
5,9,0.234052,0.143471,-0.090581,247370,408,False
5,10,0.432173,0.353761,-0.078412,20323,208,False
5,11,0.446761,0.360798,-0.085963,136616,297,False
5,12,0.424109,0.309096,-0.115013,90960,286,False
5,13,0.528293,0.451512,-0.076781,110645,1503,False
5,14,0.485219,0.396085,-0.089134,99162,343,False
5,15,0.464658,0.378142,-0.086516,175447,353,False
5,16,0.3228,0.233198,-0.089602,189046,1183,False
5,17,0.671478,0.598541,-0.072937,167440,1709,False
