sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
1,1,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity_0116,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity,https://openalex.org/W3166674112,2021,0.861896,0.859132,-0.002764,"Consequently, extreme poverty stands [104] as an important measure to address the impact of the pandemic, although other indicators provide insightful and necessary information to better assess its implications. In particular, alternative approaches such as multidimensional pover","Global poverty and inequality from 1980 to the COVID-19 pandemic. The world made remarkable progress in reducing extreme poverty over the last twenty years. Recent progress has slowed, however, and the economic damage wrought by the COVID-19 pandemic imperils progress towards ach"
1,2,sdgi_00203_2,sdgi_KHM_VNR_2019,https://openalex.org/W2905167916,2018,0.844373,0.838526,-0.005847,"In this context, it is important to consider that increased consumption fnanced by borrowing may be masquerading as poverty reduction, and that poverty and vulnerability may be more signifcant than previously thought. CAMBODIA’S VOLUNTARY NATIONAL REVIEW 2019 47 OF THE IMPLEMENTA","Realizing the Promise of Social Assistance. Although Cambodia has become one of the world's leaders in poverty reduction, two-thirds of its population remains poor or economically vulnerable, with a large number of households moving in and out of poverty. Cambodian households are"
1,3,sdgi_00308_3,sdgi_VNM_VNR_2018,https://openalex.org/W4230748088,2019,0.828704,0.826063,-0.002641,"6 International income poverty line is 1.9 USD/day, using purchase power of 2011. 7 World Bank, http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity#. 8 MOLISA. VIET NAM’S VOLUNTARY NATIONAL REVIEW ON 28 THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS","Multi-Dimensional Poverty in Vietnam: New Evidence from Jarai People in the Central Highlands, Vietnam. Ethnic minorities in Vietnam account for only 14% of the total population of Vietnam, but the proportion of poverty accounts for more than 52% of all poor households in the cou"
1,4,sdgi_00292_2,sdgi_THA_VNR_2021,https://openalex.org/W4385458872,2023,0.821656,0.818629,-0.003027,"The Intensity of Poverty score stood at 38 per cent. This highlights the country’s improvement from 2017, when the MPI score stood at 0.068, with 17.6 per cent of the population living in poverty and an Intensity of Poverty score of 38.7 per cent. At the international level, Thai","Modelling the overall impacts of COVID-19 on the Thai economy. Given that estimating the comprehensive and precise impacts of the COVID-19 crisis is challenging, this paper aims to quantify the overall impacts of the COVID-19 on Thai economy both at the macroeconomic and househol"
1,5,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity_0026,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity,https://openalex.org/W3166674112,2021,0.820427,0.818018,-0.002408,"The combined effect of the COVID-19 pandemic and the war could lead to [9] 75 to 95 million more people living in extreme poverty in 2022 than anticipated in pre-pandemic projections. These setbacks have direct negative consequences at the country and global levels, eroding the s","Global poverty and inequality from 1980 to the COVID-19 pandemic. The world made remarkable progress in reducing extreme poverty over the last twenty years. Recent progress has slowed, however, and the economic damage wrought by the COVID-19 pandemic imperils progress towards ach"
2,1,sdgi_03520_2,sdgi_USA_VLR_new_york_2018,https://openalex.org/W2896255352,2018,0.815538,0.813075,-0.002464,Source: Operations Management Division; Bureau of Planning and Budget. The City publishes an annual “Food Metrics Report” with the following structure: • Addressing food insecurity in NYC • Improving food procurement and Service • Increasing Healthy Food Access and Awareness • Su,"The Role of Metrics in Food Policy: Lessons from a Decade of Experience in New York City. In the last decade, New York City developed food policies designed to improve access to healthy food, reduce food insecurity, support community development, promote sustainable food systems,"
2,2,MinistryOfFinanceFinland_2019_National_Strategy_for_Artificial_Intelligence_0088,MinistryOfFinanceFinland_2019_National_Strategy_for_Artificial_Intelligence,https://openalex.org/W4384944589,2023,0.812006,0.816152,0.004146,"exploitation of manure and pesticides. Finally, agricultural land is increasingly overloaded and it is being degraded by heavy machinery. In agriculture, artificial intelligence enables farmers to spray exactly where weeds are growing and fertilise exactly where the yield can be ",Artificial Intelligence in Agricultural Engineering. Agriculture plays a significant role in the sector of the economy. Computerization in agriculture is the most important concern and an emerging subject across the world. The population is growing exponentially and with this inc
2,3,India_National_AI_Strategy_NITI_2018_0051,India_National_AI_Strategy_NITI_2018,https://openalex.org/W7118173493,2025,0.796952,0.797271,0.000318,"Discussion Paper National Strategy for Artificial Intelligence insights into soil health, recommended fertilizer, and seven-day weather forecasts. In 2017, the program was expanded to touch more than 3,000 farmers across the states of Andhra Pradesh and Karnataka during the Khari","A Study on Artificial Intelligence in Sustainable Development in Rural Agriculture. Abstract Artificial Intelligence plays a key role in this by optimizing resource utilization and improving crop management. Through advanced data analytics and machine learning, AI can analyze soi"
2,4,sdgi_03609_6,sdgi_EGY_VNR_2021,https://openalex.org/W4309610675,2022,0.786844,0.784028,-0.002816,"This is slightly lower than that of MENA (around 23%) but slightly higher than LMICs at 21% in the same year of 2019. The COVID-19 pandemic and its resultant economic efects have had an impact on agricultural loss, both in raising the total amount lost and reducing production. CO","IMPACT OF COVID-19 ON AGRICULTURAL SECTOR. Farmers, rural communities, and their most valued concern are used to analyse agriculture system risks from covid-19 pandemics. First, covid-19 has caused deaths, infections, health difficulties, stress, and trauma in rural areas. Severa"
2,5,sdgi_00623_0,sdgi_UGA_VNR_2020,https://openalex.org/W4297884248,2022,0.779639,0.778331,-0.001307,"VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT 24 4.2 GOAL 2: END HUNGER, ACHIEVE FOOD SECURITY AND IMPROVED NUTRITION AND PROMOTE SUSTAINABLE AGRICULTURE Indicators Reported on: 2.2.1 Prevalence of stunting (height for age <","Undernutrition among the children below five years of age in Uganda: A spatial analysis approach. Abstract Background: Undernutrition is a health condition caused by lack of enough food intake, not having enough of the right combination of food nutrients or the body's failure to "
