sdg,pair_count,research_sample_n,raw_mean_matched_cosine,adjusted_mean_matched_cosine,delta_mean_cosine,raw_mean_matched_gap,adjusted_mean_matched_gap
1,2214,5000,0.61527,0.607773,-0.007498,0.38473,0.392227
2,2020,5000,0.593477,0.589962,-0.003515,0.406523,0.410038
3,3506,5000,0.545475,0.540885,-0.004591,0.454525,0.459115
4,2994,5000,0.554834,0.551899,-0.002935,0.445166,0.448101
5,3066,5000,0.607738,0.601719,-0.006019,0.392262,0.398281
6,1941,5000,0.581088,0.577176,-0.003913,0.418912,0.422824
7,2343,5000,0.575023,0.570807,-0.004216,0.424977,0.429193
8,2415,5000,0.564044,0.557175,-0.00687,0.435956,0.442825
9,3626,5000,0.577799,0.573249,-0.00455,0.422201,0.426751
10,732,5000,0.555129,0.549384,-0.005744,0.444871,0.450616
11,2735,5000,0.554552,0.551634,-0.002918,0.445448,0.448366
12,1951,5000,0.578339,0.57412,-0.00422,0.421661,0.42588
13,4530,5000,0.61326,0.607417,-0.005843,0.38674,0.392583
14,1675,5000,0.585829,0.580715,-0.005115,0.414171,0.419285
15,2156,5000,0.564759,0.560905,-0.003854,0.435241,0.439095
16,3408,5000,0.557774,0.553938,-0.003835,0.442226,0.446062
17,6651,5000,0.547745,0.535664,-0.012081,0.452255,0.464336
