family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.045547,290,6367,40597
full_policy_corpus,Full corpus,2,0.044448,283,6367,40597
full_policy_corpus,Full corpus,3,0.049317,314,6367,40597
full_policy_corpus,Full corpus,4,0.04916,313,6367,40597
full_policy_corpus,Full corpus,5,0.05073,323,6367,40597
full_policy_corpus,Full corpus,6,0.036438,232,6367,40597
full_policy_corpus,Full corpus,7,0.042877,273,6367,40597
full_policy_corpus,Full corpus,8,0.042092,268,6367,40597
full_policy_corpus,Full corpus,9,0.043506,277,6367,40597
full_policy_corpus,Full corpus,10,0.029684,189,6367,40597
full_policy_corpus,Full corpus,11,0.052772,336,6367,40597
full_policy_corpus,Full corpus,12,0.035181,224,6367,40597
full_policy_corpus,Full corpus,13,0.108685,692,6367,40597
full_policy_corpus,Full corpus,14,0.036752,234,6367,40597
full_policy_corpus,Full corpus,15,0.042406,270,6367,40597
full_policy_corpus,Full corpus,16,0.195854,1247,6367,40597
full_policy_corpus,Full corpus,17,0.09455,602,6367,40597
curated_ai_sdg,Curated AI/SDG,1,0.021277,2,94,13123
curated_ai_sdg,Curated AI/SDG,2,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,3,0.095745,9,94,13123
curated_ai_sdg,Curated AI/SDG,4,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,5,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,6,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,7,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,8,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,9,0.478723,45,94,13123
curated_ai_sdg,Curated AI/SDG,10,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,11,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,12,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,13,0.074468,7,94,13123
curated_ai_sdg,Curated AI/SDG,14,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,15,0.010638,1,94,13123
curated_ai_sdg,Curated AI/SDG,16,0.106383,10,94,13123
curated_ai_sdg,Curated AI/SDG,17,0.212766,20,94,13123
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.058935,249,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.057751,244,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.067929,287,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.071006,300,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.065562,277,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.053491,226,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.060592,256,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.062959,266,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.051598,218,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.04284,181,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.07929,335,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.052544,222,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.057751,244,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.044497,188,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.056568,239,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.059645,252,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.057041,241,4225,21346
ungdc_speeches,UNGDC speeches,1,0.019043,39,2048,6128
ungdc_speeches,UNGDC speeches,2,0.019043,39,2048,6128
ungdc_speeches,UNGDC speeches,3,0.008789,18,2048,6128
ungdc_speeches,UNGDC speeches,4,0.006348,13,2048,6128
ungdc_speeches,UNGDC speeches,5,0.022461,46,2048,6128
ungdc_speeches,UNGDC speeches,6,0.00293,6,2048,6128
ungdc_speeches,UNGDC speeches,7,0.008301,17,2048,6128
ungdc_speeches,UNGDC speeches,8,0.000977,2,2048,6128
ungdc_speeches,UNGDC speeches,9,0.006836,14,2048,6128
ungdc_speeches,UNGDC speeches,10,0.003906,8,2048,6128
ungdc_speeches,UNGDC speeches,11,0.000488,1,2048,6128
ungdc_speeches,UNGDC speeches,12,0.000977,2,2048,6128
ungdc_speeches,UNGDC speeches,13,0.215332,441,2048,6128
ungdc_speeches,UNGDC speeches,14,0.022461,46,2048,6128
ungdc_speeches,UNGDC speeches,15,0.014648,30,2048,6128
ungdc_speeches,UNGDC speeches,16,0.480957,985,2048,6128
ungdc_speeches,UNGDC speeches,17,0.166504,341,2048,6128
