family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,194,2220,1731,611,611,50,0.74074,0.25926,0.617244,False
full_policy_corpus,2,1248,1658,1534,455,455,50,0.715094,0.284906,0.635814,False
full_policy_corpus,3,13987,2757,2479,548,548,50,0.527608,0.472392,0.566829,False
full_policy_corpus,4,6724,2085,2085,549,549,50,0.708184,0.291816,0.614346,False
full_policy_corpus,5,1779,2026,2025,636,636,50,0.505668,0.494332,0.620604,False
full_policy_corpus,6,788,1242,1232,357,357,50,0.714661,0.285339,0.676266,False
full_policy_corpus,7,2347,1849,1606,474,474,50,0.581994,0.418006,0.63998,False
full_policy_corpus,8,1182,2069,2002,565,565,50,0.569248,0.430752,0.572933,False
full_policy_corpus,9,8057,3439,2918,527,527,50,0.662045,0.337955,0.571157,False
full_policy_corpus,10,988,1351,1166,434,434,50,0.544455,0.455545,0.542017,False
full_policy_corpus,11,1647,1664,1664,578,578,50,0.660603,0.339397,0.581344,False
full_policy_corpus,12,1093,1624,1184,397,397,50,0.610289,0.389711,0.623038,False
full_policy_corpus,13,2739,3489,3116,1410,1410,50,0.48411,0.51589,0.643184,False
full_policy_corpus,14,697,1488,1233,422,422,50,0.700081,0.299919,0.658216,False
full_policy_corpus,15,2085,2064,1608,512,512,50,0.683254,0.316746,0.609022,False
full_policy_corpus,16,4023,5173,4918,1787,1787,50,0.691817,0.308183,0.560781,False
full_policy_corpus,17,422,4399,3665,1350,1350,50,0.758074,0.241926,0.606483,False
curated_ai_sdg,1,194,830,341,29,29,50,0.699306,0.300694,0.597927,False
curated_ai_sdg,2,1248,380,256,38,38,50,0.637682,0.362318,0.653783,False
curated_ai_sdg,3,13987,936,658,54,54,50,0.621168,0.378832,0.537257,False
curated_ai_sdg,4,6724,269,269,50,50,50,0.719898,0.280102,0.579474,False
curated_ai_sdg,5,1779,318,317,47,47,50,0.573843,0.426157,0.554866,False
curated_ai_sdg,6,788,163,153,21,21,50,0.64135,0.35865,0.680267,False
curated_ai_sdg,7,2347,623,380,42,42,50,0.512805,0.487195,0.618264,False
curated_ai_sdg,8,1182,506,439,50,50,50,0.56092,0.43908,0.594182,False
