family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,18270,1798,1761,542,542,50,0.732072,0.267928,0.426929,False
full_policy_corpus,2,78635,1712,1494,405,405,50,0.904618,0.095382,0.568479,False
full_policy_corpus,3,807587,2926,2424,466,466,50,0.708626,0.291374,0.496427,False
full_policy_corpus,4,454803,2063,2063,486,486,50,0.838501,0.161499,0.57246,False
full_policy_corpus,5,73507,2047,2005,599,599,50,0.813761,0.186239,0.557952,False
full_policy_corpus,6,34114,1207,1207,328,328,50,0.873445,0.126555,0.582539,False
full_policy_corpus,7,113520,1770,1572,431,431,50,0.833526,0.166474,0.574811,False
full_policy_corpus,8,73410,1998,1905,489,489,50,0.772082,0.227918,0.428034,False
full_policy_corpus,9,575703,4135,2992,443,443,50,0.776304,0.223696,0.48515,False
full_policy_corpus,10,38447,1212,1148,386,386,50,0.746007,0.253993,0.40441,False
full_policy_corpus,11,152483,1631,1631,541,541,50,0.778461,0.221539,0.488378,False
full_policy_corpus,12,69156,1223,1115,349,349,50,0.756084,0.243916,0.540095,False
full_policy_corpus,13,130236,3394,3096,1334,1334,50,0.770284,0.229716,0.544293,False
full_policy_corpus,14,57543,1720,1296,423,423,50,0.864646,0.135354,0.610211,False
full_policy_corpus,15,74431,1810,1467,407,407,50,0.911118,0.088882,0.577252,False
full_policy_corpus,16,338664,5408,4775,1637,1637,50,0.731838,0.268162,0.489834,False
full_policy_corpus,17,14635,4543,3687,1435,1435,50,0.629081,0.370919,0.420806,False
curated_ai_sdg,1,18270,424,387,27,27,50,0.600367,0.399633,0.430502,False
curated_ai_sdg,2,78635,456,238,33,33,50,0.833916,0.166084,0.594287,False
curated_ai_sdg,3,807587,1151,649,48,48,50,0.724797,0.275203,0.480099,False
curated_ai_sdg,4,454803,288,288,47,47,50,0.889052,0.110948,0.549545,False
curated_ai_sdg,5,73507,319,277,37,37,50,0.781425,0.218575,0.553695,False
curated_ai_sdg,6,34114,140,140,19,19,50,0.750486,0.249514,0.641244,False
curated_ai_sdg,7,113520,564,366,36,36,50,0.71745,0.28255,0.56261,False
curated_ai_sdg,8,73410,422,329,45,45,50,0.574553,0.425447,0.452889,False
curated_ai_sdg,9,575703,3008,1865,83,83,50,0.694616,0.305384,0.596565,False
curated_ai_sdg,10,38447,350,286,35,35,50,0.547986,0.452014,0.457405,False
