family,family_label,sdg,document_weighted_share,document_count_assigned,n_documents_total,n_segments_total
full_policy_corpus,Full corpus,1,0.045233,288,6367,40597
full_policy_corpus,Full corpus,2,0.043034,274,6367,40597
full_policy_corpus,Full corpus,3,0.046804,298,6367,40597
full_policy_corpus,Full corpus,4,0.047903,305,6367,40597
full_policy_corpus,Full corpus,5,0.050887,324,6367,40597
full_policy_corpus,Full corpus,6,0.03738,238,6367,40597
full_policy_corpus,Full corpus,7,0.042877,273,6367,40597
full_policy_corpus,Full corpus,8,0.043349,276,6367,40597
full_policy_corpus,Full corpus,9,0.043034,274,6367,40597
full_policy_corpus,Full corpus,10,0.028585,182,6367,40597
full_policy_corpus,Full corpus,11,0.053086,338,6367,40597
full_policy_corpus,Full corpus,12,0.035496,226,6367,40597
full_policy_corpus,Full corpus,13,0.112769,718,6367,40597
full_policy_corpus,Full corpus,14,0.037851,241,6367,40597
full_policy_corpus,Full corpus,15,0.041778,266,6367,40597
full_policy_corpus,Full corpus,16,0.172766,1100,6367,40597
full_policy_corpus,Full corpus,17,0.117167,746,6367,40597
curated_ai_sdg,Curated AI/SDG,1,0.010638,1,94,13123
curated_ai_sdg,Curated AI/SDG,2,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,3,0.06383,6,94,13123
curated_ai_sdg,Curated AI/SDG,4,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,5,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,6,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,7,0.010638,1,94,13123
curated_ai_sdg,Curated AI/SDG,8,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,9,0.5,47,94,13123
curated_ai_sdg,Curated AI/SDG,10,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,11,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,12,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,13,0.074468,7,94,13123
curated_ai_sdg,Curated AI/SDG,14,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,15,0.0,0,94,13123
curated_ai_sdg,Curated AI/SDG,16,0.12766,12,94,13123
curated_ai_sdg,Curated AI/SDG,17,0.212766,20,94,13123
sdgi_vnr_vlr,SDGi VNR/VLR,1,0.059172,250,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,2,0.058225,246,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,3,0.067219,284,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,4,0.070059,296,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,5,0.065799,278,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,6,0.053491,226,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,7,0.059882,253,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,8,0.065089,275,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,9,0.050888,215,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,10,0.041657,176,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,11,0.079527,336,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,12,0.053254,225,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,13,0.059645,252,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,14,0.044734,189,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,15,0.056568,239,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,16,0.059172,250,4225,21346
sdgi_vnr_vlr,SDGi VNR/VLR,17,0.055621,235,4225,21346
ungdc_speeches,UNGDC speeches,1,0.018066,37,2048,6128
ungdc_speeches,UNGDC speeches,2,0.013672,28,2048,6128
ungdc_speeches,UNGDC speeches,3,0.003906,8,2048,6128
ungdc_speeches,UNGDC speeches,4,0.004395,9,2048,6128
ungdc_speeches,UNGDC speeches,5,0.022461,46,2048,6128
ungdc_speeches,UNGDC speeches,6,0.005859,12,2048,6128
ungdc_speeches,UNGDC speeches,7,0.009277,19,2048,6128
ungdc_speeches,UNGDC speeches,8,0.000488,1,2048,6128
ungdc_speeches,UNGDC speeches,9,0.005859,12,2048,6128
ungdc_speeches,UNGDC speeches,10,0.00293,6,2048,6128
ungdc_speeches,UNGDC speeches,11,0.000977,2,2048,6128
ungdc_speeches,UNGDC speeches,12,0.000488,1,2048,6128
ungdc_speeches,UNGDC speeches,13,0.224121,459,2048,6128
ungdc_speeches,UNGDC speeches,14,0.025391,52,2048,6128
ungdc_speeches,UNGDC speeches,15,0.013184,27,2048,6128
ungdc_speeches,UNGDC speeches,16,0.40918,838,2048,6128
ungdc_speeches,UNGDC speeches,17,0.239746,491,2048,6128
