family,family_label,n_primary,predictor,n,skipped,pearson_r,pearson_p,spearman_rho,spearman_p
full_policy_corpus,Full corpus,17,research,17,False,0.289703,0.259364,0.448529,0.070946
full_policy_corpus,Full corpus,17,policy,17,False,-0.019226,0.941616,0.21214,0.41369
full_policy_corpus,Full corpus,17,covgap,17,False,0.104208,0.690615,-0.012255,0.962768
full_policy_corpus,Full corpus,17,dominance,17,False,0.275828,0.283898,0.159314,0.541362
curated_ai_sdg,Curated AI/SDG,17,research,17,False,-0.25928,0.314929,-0.056373,0.829849
curated_ai_sdg,Curated AI/SDG,17,policy,17,False,-0.388063,0.123754,-0.163397,0.530906
curated_ai_sdg,Curated AI/SDG,17,covgap,17,False,-0.436934,0.079482,-0.223039,0.389523
curated_ai_sdg,Curated AI/SDG,17,dominance,17,False,0.265977,0.302139,0.254902,0.32346
sdgi_vnr_vlr,SDGi VNR/VLR,17,research,17,False,0.635429,0.006123,0.595588,0.011647
sdgi_vnr_vlr,SDGi VNR/VLR,17,policy,17,False,0.278185,0.279634,0.332312,0.192505
sdgi_vnr_vlr,SDGi VNR/VLR,17,covgap,17,False,0.549729,0.022252,0.041667,0.873844
sdgi_vnr_vlr,SDGi VNR/VLR,17,dominance,17,False,0.61886,0.008081,0.522059,0.031585
ungdc_speeches,UNGDC speeches,15,research,15,False,0.403994,0.13532,0.425,0.114295
ungdc_speeches,UNGDC speeches,15,policy,15,False,-0.104062,0.712075,-0.014298,0.959664
ungdc_speeches,UNGDC speeches,15,covgap,15,False,0.116035,0.680478,0.353571,0.196072
ungdc_speeches,UNGDC speeches,15,dominance,15,False,0.305953,0.267424,0.135714,0.62962
