family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,13459,1700,1689,510,510,50,0.639075,0.360925,0.689707,False
full_policy_corpus,2,78591,1723,1508,413,413,50,0.713637,0.286363,0.713131,False
full_policy_corpus,3,859355,2934,2408,461,461,50,0.519626,0.480374,0.644483,False
full_policy_corpus,4,470002,2055,2055,485,485,50,0.735406,0.264594,0.672578,False
full_policy_corpus,5,64940,2026,2005,600,600,50,0.741535,0.258465,0.695552,False
full_policy_corpus,6,35137,1206,1206,328,328,50,0.714233,0.285767,0.727086,False
full_policy_corpus,7,119467,1808,1578,441,441,50,0.58673,0.41327,0.693075,False
full_policy_corpus,8,65500,2016,1886,498,498,50,0.640689,0.359311,0.643481,False
full_policy_corpus,9,577833,4066,2986,464,464,50,0.695088,0.304912,0.623031,False
full_policy_corpus,10,30323,1123,1085,362,362,50,0.735908,0.264092,0.635891,False
full_policy_corpus,11,146508,1658,1658,556,556,50,0.568848,0.431152,0.645127,False
full_policy_corpus,12,46199,1187,1132,355,355,50,0.713128,0.286872,0.700661,False
full_policy_corpus,13,121557,3399,3084,1320,1320,50,0.527915,0.472085,0.710062,False
full_policy_corpus,14,51458,1634,1293,426,426,50,0.659838,0.340162,0.71886,False
full_policy_corpus,15,78102,1828,1484,418,418,50,0.765799,0.234201,0.674231,False
full_policy_corpus,16,337317,5725,4890,1625,1625,50,0.681037,0.318963,0.610921,False
full_policy_corpus,17,9396,4509,3645,1442,1442,50,0.820519,0.179481,0.696547,False
curated_ai_sdg,1,13459,368,357,26,26,50,0.612222,0.387778,0.693437,False
curated_ai_sdg,2,78591,455,240,33,33,50,0.667615,0.332385,0.751826,False
curated_ai_sdg,3,859355,1169,643,50,50,50,0.645029,0.354971,0.612959,False
curated_ai_sdg,4,470002,274,274,46,46,50,0.797445,0.202555,0.634585,False
curated_ai_sdg,5,64940,293,272,36,36,50,0.738404,0.261596,0.69134,False
curated_ai_sdg,6,35137,137,137,18,18,50,0.660019,0.339981,0.767112,False
curated_ai_sdg,7,119467,588,358,35,35,50,0.502556,0.497444,0.690764,False
curated_ai_sdg,8,65500,439,309,42,42,50,0.62938,0.37062,0.666448,False
curated_ai_sdg,9,577833,2918,1838,85,85,50,0.73479,0.26521,0.695287,False
curated_ai_sdg,10,30323,296,258,33,33,50,0.676285,0.323715,0.654544,False
curated_ai_sdg,11,146508,175,175,33,33,50,0.588649,0.411351,0.675275,False
curated_ai_sdg,12,46199,233,178,28,28,50,0.629435,0.370565,0.703939,False
