family,sdg,n_research_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,semantic_similarity,semantic_gap,policy_cohesion,unreliable
full_policy_corpus,1,9906,1700,1689,510,510,50,0.808941,0.191059,0.444568,False
full_policy_corpus,2,61822,1723,1508,413,413,50,0.910314,0.089686,0.569232,False
full_policy_corpus,3,652369,2934,2408,461,461,50,0.681222,0.318778,0.488723,False
full_policy_corpus,4,395652,2055,2055,485,485,50,0.842478,0.157522,0.57541,False
full_policy_corpus,5,49563,2026,2005,600,600,50,0.848476,0.151524,0.562781,False
full_policy_corpus,6,26464,1206,1206,328,328,50,0.870486,0.129514,0.577502,False
full_policy_corpus,7,102849,1808,1578,441,441,50,0.82991,0.17009,0.576607,False
full_policy_corpus,8,56710,2016,1886,498,498,50,0.815707,0.184293,0.439082,False
full_policy_corpus,9,509987,4066,2986,464,464,50,0.771205,0.228795,0.49877,False
full_policy_corpus,10,22800,1123,1085,362,362,50,0.803506,0.196494,0.41844,False
full_policy_corpus,11,130412,1658,1658,556,556,50,0.790513,0.209487,0.487779,False
full_policy_corpus,12,37892,1187,1132,355,355,50,0.843428,0.156572,0.550907,False
full_policy_corpus,13,93976,3399,3084,1320,1320,50,0.781729,0.218271,0.546326,False
full_policy_corpus,14,40556,1634,1293,426,426,50,0.867772,0.132228,0.617181,False
full_policy_corpus,15,55665,1828,1484,418,418,50,0.91619,0.08381,0.578159,False
full_policy_corpus,16,283299,5725,4890,1625,1625,50,0.758893,0.241107,0.492465,False
full_policy_corpus,17,6849,4509,3645,1442,1442,50,0.674434,0.325566,0.42784,False
curated_ai_sdg,1,9906,368,357,26,26,50,0.666235,0.333765,0.45805,False
curated_ai_sdg,2,61822,455,240,33,33,50,0.832501,0.167499,0.604151,False
curated_ai_sdg,3,652369,1169,643,50,50,50,0.699202,0.300798,0.478076,False
curated_ai_sdg,4,395652,274,274,46,46,50,0.883425,0.116575,0.571951,False
curated_ai_sdg,5,49563,293,272,36,36,50,0.81481,0.18519,0.561518,False
curated_ai_sdg,6,26464,137,137,18,18,50,0.743491,0.256509,0.649769,False
curated_ai_sdg,7,102849,588,358,35,35,50,0.716731,0.283269,0.566763,False
curated_ai_sdg,8,56710,439,309,42,42,50,0.620409,0.379591,0.476529,False
curated_ai_sdg,9,509987,2918,1838,85,85,50,0.68905,0.31095,0.605006,False
curated_ai_sdg,10,22800,296,258,33,33,50,0.620076,0.379924,0.47304,False
curated_ai_sdg,11,130412,175,175,33,33,50,0.765545,0.234455,0.516378,False
curated_ai_sdg,12,37892,233,178,28,28,50,0.663663,0.336337,0.575649,False
curated_ai_sdg,13,93976,928,613,47,47,50,0.745112,0.254888,0.552374,False
curated_ai_sdg,14,40556,557,216,25,25,50,0.7899,0.2101,0.650903,False
curated_ai_sdg,15,55665,643,299,32,32,50,0.850144,0.149856,0.597456,False
curated_ai_sdg,16,283299,1927,1092,81,81,50,0.81759,0.18241,0.578121,False
curated_ai_sdg,17,6849,1723,859,65,65,50,0.597981,0.402019,0.474697,False
sdgi_vnr_vlr,1,9906,1191,1191,353,353,50,0.757016,0.242984,0.501688,False
sdgi_vnr_vlr,2,61822,1196,1196,309,309,50,0.900496,0.099504,0.584057,False
sdgi_vnr_vlr,3,652369,1707,1707,355,355,50,0.626486,0.373514,0.530801,False
