side,sdg,item_id,source,centroid_similarity,preview
research,1,https://openalex.org/W4385574754,2023,0.710943,"The Application of Machine Learning to the Task of Poverty Classification. For many societal and economic issues, poverty has become a stubborn underlying cause. The high rate of reproduction is a contributing factor..."
research,1,https://openalex.org/W4307951689,2022,0.686501,"Deep learning approach analysis model prediction and classification poverty status. &lt;span lang=""EN-US""&gt;The problem of poverty is a scourge for every developing country coupled with the economic crisis that occur..."
research,1,https://openalex.org/W4220736184,2022,0.682303,META-ANALYSIS OF USAGE OF MACHINE LEARNING TO IDENTIFY AND ASSESS POVERTY. Poverty is dened as a person's state of survival without the adequate nancial resources for a minimum standard of living. Poverty is assesed...
policy,1,pol_0002276_0,pol_sdgi_sdgi_00202,0.873535,36 End poverty in all its forms everywhere Goal 1. I. Analysis of the current situation based on the indicators for the goal One of the key priorities of the current social policy of the state is improving the living...
policy,1,pol_0000021_3,pol_policy_scrape_UN_SDG_Progress_Report_2017,0.866699,"Advancements have been uneven 2030 Agenda. across regions, between the sexes, and among people of different ages, wealth and locales, including urban and rural dwellers. Faster and more inclusive progress is needed to..."
policy,1,pol_0002251_0,pol_sdgi_sdgi_00171,0.866211,40 5.2 Progress on the other SDGs 5.2.1 Goal 1 Poverty The latest preliminary data on poverty from the 2020 Integrated Household Survey (IHS) indicate an overall increase in poverty levels from 48.6 percent (2015/16)...
research,2,https://openalex.org/W4405721973,2024,0.812589,"Role of Machine Learning and Computer Vision in the Agri-Food Industry. The agri-food industry, a cornerstone of human existence and economic well-being, faces unprecedented challenges and opportunities in the 21st ce..."
research,2,https://openalex.org/W4284970504,2022,0.794155,"Artificial Intelligence-Based Sustainable Agricultural Practices. A world hunger crisis has risen since 2019 when COVID-19 hit the world. This pandemic has shifted this generation back in time, and now it is very impo..."
research,2,https://openalex.org/W4400360347,2024,0.793575,"Machine learning for modern farming- A review. Agriculture is vital to any country's economic growth. With a growing population, erratic weather patterns, and limited resources, feeding the current population has beco..."
policy,2,pol_0002561_13,pol_sdgi_sdgi_00605,0.883789,The increase in food prices impact negatively on the household's ability to access food. Increase in fuel prices observed recently are expected to further exacerbate an increase in food prices in the domestic markets....
policy,2,pol_0002371_1,pol_sdgi_sdgi_00334,0.882812,"TARGET 2.1 By 2030, end all forms of malnutrition related to innutrition, reduce forms of malnutrition related to overweight or obesity, foreseeing the achievement by 2025 of the internationally agreed targets on chro..."
