tier_label,sample_size,n_draws,deterministic,coverage_gap,std_coverage_gap,mean_semantic_gap,std_semantic_gap,mean_semantic_gap_adjusted,std_semantic_gap_adjusted,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.056454,0.001847,0.416731,0.020218,0.283825,0.014826,0.122119,0.00816,16.95,13.95
2k,2000,100,False,0.056127,0.001035,0.384306,0.014855,0.244851,0.010373,0.121976,0.005852,17.0,15.25
5k,5000,100,False,0.056182,0.000726,0.358373,0.008819,0.212925,0.006895,0.121567,0.003642,17.0,16.92
10k,10000,100,False,0.056118,0.000603,0.349501,0.006461,0.200569,0.004361,0.122006,0.002432,17.0,17.0
20k,20000,100,False,0.056057,0.000383,0.344449,0.004923,0.193563,0.003272,0.121881,0.001664,17.0,17.0
50k,50000,100,False,0.056064,0.000258,0.34163,0.002773,0.189257,0.001984,0.121794,0.00106,17.0,17.0
100k,100000,100,False,0.056017,0.000178,0.340738,0.002614,0.188065,0.001596,0.122071,0.000678,17.0,17.0
200k,200000,100,False,0.056032,0.000128,0.340233,0.001799,0.187288,0.001186,0.1221,0.000501,17.0,17.0
500k,500000,100,False,0.056049,7.3e-05,0.339779,0.000888,0.186758,0.000624,0.121947,0.000313,17.0,17.0
1m,1000000,100,False,0.056055,4.1e-05,0.339653,0.000582,0.186608,0.000398,0.121915,0.000193,17.0,17.0
2m,2000000,100,False,0.056053,1.8e-05,0.33951,0.000259,0.186444,0.000156,0.121894,7.9e-05,17.0,17.0
full corpus,3105144,1,True,0.05605,,0.339543,,0.187217,,0.121904,,,
