iteration,test_acc
1,0.9808
2,0.9376
3,0.8898
4,0.8539
5,0.8333
6,0.8065
7,0.801
8,0.7896
9,0.7751
10,0.7616
11,0.7649
12,0.7471
13,0.7271
14,0.7112
15,0.6939
16,0.6616
17,0.668
18,0.6251
19,0.6218
20,0.6188
21,0.6178
22,0.6004
23,0.5978
24,0.5775
25,0.5651
26,0.5835
27,0.5671
28,0.568
29,0.5606
30,0.5541
31,0.5512
32,0.5537
33,0.5463
34,0.548
35,0.5545
36,0.5616
37,0.5525
38,0.5441
39,0.5394
40,0.5408
41,0.5298
42,0.5343
43,0.5371
44,0.5198
45,0.5224
46,0.5339
47,0.5253
48,0.5414
49,0.5267
50,0.522
51,0.5139
52,0.5373
53,0.53
54,0.5255
55,0.529
56,0.5204
57,0.5235
58,0.5271
59,0.5327
60,0.5149
61,0.5173
62,0.5086
63,0.5092
64,0.5216
65,0.5012
66,0.5157
67,0.51
68,0.5169
69,0.5149
70,0.5163
71,0.5135
72,0.5116
73,0.5141
74,0.5027
75,0.5069
76,0.5014
77,0.5055
78,0.5165
79,0.5008
80,0.5124
81,0.5188
82,0.5106
83,0.52
84,0.5096
85,0.5012
86,0.5057
87,0.501
88,0.509
89,0.5037
90,0.5012
91,0.5073
92,0.5171
93,0.5129
94,0.4988
