comparison_type,left,right,cosine_similarity
global_vs_average,sdg_balanced_global,within_sdg_average,0.926701
global_vs_within_sdg,sdg_balanced_global,sdg_1,0.832008
global_vs_within_sdg,sdg_balanced_global,sdg_2,0.820943
global_vs_within_sdg,sdg_balanced_global,sdg_3,0.824398
global_vs_within_sdg,sdg_balanced_global,sdg_4,0.786159
global_vs_within_sdg,sdg_balanced_global,sdg_5,0.837404
global_vs_within_sdg,sdg_balanced_global,sdg_6,0.788673
global_vs_within_sdg,sdg_balanced_global,sdg_7,0.802302
global_vs_within_sdg,sdg_balanced_global,sdg_8,0.825938
global_vs_within_sdg,sdg_balanced_global,sdg_9,0.822136
global_vs_within_sdg,sdg_balanced_global,sdg_10,0.722373
global_vs_within_sdg,sdg_balanced_global,sdg_11,0.851742
global_vs_within_sdg,sdg_balanced_global,sdg_12,0.812432
global_vs_within_sdg,sdg_balanced_global,sdg_13,0.838483
global_vs_within_sdg,sdg_balanced_global,sdg_14,0.723381
global_vs_within_sdg,sdg_balanced_global,sdg_15,0.797083
global_vs_within_sdg,sdg_balanced_global,sdg_16,0.809987
global_vs_within_sdg,sdg_balanced_global,sdg_17,0.829652
pairwise_within_sdg,sdg_1,sdg_2,0.834504
pairwise_within_sdg,sdg_1,sdg_3,0.748294
pairwise_within_sdg,sdg_1,sdg_4,0.765544
pairwise_within_sdg,sdg_1,sdg_5,0.84882
pairwise_within_sdg,sdg_1,sdg_6,0.751962
pairwise_within_sdg,sdg_1,sdg_7,0.777351
pairwise_within_sdg,sdg_1,sdg_8,0.807924
pairwise_within_sdg,sdg_1,sdg_9,0.672602
pairwise_within_sdg,sdg_1,sdg_10,0.807797
pairwise_within_sdg,sdg_1,sdg_11,0.799415
pairwise_within_sdg,sdg_1,sdg_12,0.78026
pairwise_within_sdg,sdg_1,sdg_13,0.745698
pairwise_within_sdg,sdg_1,sdg_14,0.689393
pairwise_within_sdg,sdg_1,sdg_15,0.743973
pairwise_within_sdg,sdg_1,sdg_16,0.721203
pairwise_within_sdg,sdg_1,sdg_17,0.749922
pairwise_within_sdg,sdg_2,sdg_3,0.75408
pairwise_within_sdg,sdg_2,sdg_4,0.775367
pairwise_within_sdg,sdg_2,sdg_5,0.796286
pairwise_within_sdg,sdg_2,sdg_6,0.810617
pairwise_within_sdg,sdg_2,sdg_7,0.828799
pairwise_within_sdg,sdg_2,sdg_8,0.782952
pairwise_within_sdg,sdg_2,sdg_9,0.682808
pairwise_within_sdg,sdg_2,sdg_10,0.736935
pairwise_within_sdg,sdg_2,sdg_11,0.820807
pairwise_within_sdg,sdg_2,sdg_12,0.875859
pairwise_within_sdg,sdg_2,sdg_13,0.773507
pairwise_within_sdg,sdg_2,sdg_14,0.79631
pairwise_within_sdg,sdg_2,sdg_15,0.826729
pairwise_within_sdg,sdg_2,sdg_16,0.703177
pairwise_within_sdg,sdg_2,sdg_17,0.756492
pairwise_within_sdg,sdg_3,sdg_4,0.760295
pairwise_within_sdg,sdg_3,sdg_5,0.767796
pairwise_within_sdg,sdg_3,sdg_6,0.728644
pairwise_within_sdg,sdg_3,sdg_7,0.709671
pairwise_within_sdg,sdg_3,sdg_8,0.760337
pairwise_within_sdg,sdg_3,sdg_9,0.749392
pairwise_within_sdg,sdg_3,sdg_10,0.630512
pairwise_within_sdg,sdg_3,sdg_11,0.772303
pairwise_within_sdg,sdg_3,sdg_12,0.745804
pairwise_within_sdg,sdg_3,sdg_13,0.73293
pairwise_within_sdg,sdg_3,sdg_14,0.657547
pairwise_within_sdg,sdg_3,sdg_15,0.706279
pairwise_within_sdg,sdg_3,sdg_16,0.711873
pairwise_within_sdg,sdg_3,sdg_17,0.723603
pairwise_within_sdg,sdg_4,sdg_5,0.821405
pairwise_within_sdg,sdg_4,sdg_6,0.682327
pairwise_within_sdg,sdg_4,sdg_7,0.69559
pairwise_within_sdg,sdg_4,sdg_8,0.818395
pairwise_within_sdg,sdg_4,sdg_9,0.739891
pairwise_within_sdg,sdg_4,sdg_10,0.622839
pairwise_within_sdg,sdg_4,sdg_11,0.790261
pairwise_within_sdg,sdg_4,sdg_12,0.733942
pairwise_within_sdg,sdg_4,sdg_13,0.68138
pairwise_within_sdg,sdg_4,sdg_14,0.614851
pairwise_within_sdg,sdg_4,sdg_15,0.678822
pairwise_within_sdg,sdg_4,sdg_16,0.710741
pairwise_within_sdg,sdg_4,sdg_17,0.741881
pairwise_within_sdg,sdg_5,sdg_6,0.708443
pairwise_within_sdg,sdg_5,sdg_7,0.72498
pairwise_within_sdg,sdg_5,sdg_8,0.834182
pairwise_within_sdg,sdg_5,sdg_9,0.699516
pairwise_within_sdg,sdg_5,sdg_10,0.725749
pairwise_within_sdg,sdg_5,sdg_11,0.787368
pairwise_within_sdg,sdg_5,sdg_12,0.767053
pairwise_within_sdg,sdg_5,sdg_13,0.751449
pairwise_within_sdg,sdg_5,sdg_14,0.676824
pairwise_within_sdg,sdg_5,sdg_15,0.728991
pairwise_within_sdg,sdg_5,sdg_16,0.770871
pairwise_within_sdg,sdg_5,sdg_17,0.76839
pairwise_within_sdg,sdg_6,sdg_7,0.849011
pairwise_within_sdg,sdg_6,sdg_8,0.720747
pairwise_within_sdg,sdg_6,sdg_9,0.648218
pairwise_within_sdg,sdg_6,sdg_10,0.700612
pairwise_within_sdg,sdg_6,sdg_11,0.841426
pairwise_within_sdg,sdg_6,sdg_12,0.843604
pairwise_within_sdg,sdg_6,sdg_13,0.751381
pairwise_within_sdg,sdg_6,sdg_14,0.801846
pairwise_within_sdg,sdg_6,sdg_15,0.862547
pairwise_within_sdg,sdg_6,sdg_16,0.659115
pairwise_within_sdg,sdg_6,sdg_17,0.697645
pairwise_within_sdg,sdg_7,sdg_8,0.745181
pairwise_within_sdg,sdg_7,sdg_9,0.722688
pairwise_within_sdg,sdg_7,sdg_10,0.75451
pairwise_within_sdg,sdg_7,sdg_11,0.834033
pairwise_within_sdg,sdg_7,sdg_12,0.849098
pairwise_within_sdg,sdg_7,sdg_13,0.766499
pairwise_within_sdg,sdg_7,sdg_14,0.801458
pairwise_within_sdg,sdg_7,sdg_15,0.819475
pairwise_within_sdg,sdg_7,sdg_16,0.684542
pairwise_within_sdg,sdg_7,sdg_17,0.735487
pairwise_within_sdg,sdg_8,sdg_9,0.77755
pairwise_within_sdg,sdg_8,sdg_10,0.72323
pairwise_within_sdg,sdg_8,sdg_11,0.799351
pairwise_within_sdg,sdg_8,sdg_12,0.765569
pairwise_within_sdg,sdg_8,sdg_13,0.714254
pairwise_within_sdg,sdg_8,sdg_14,0.644745
pairwise_within_sdg,sdg_8,sdg_15,0.715725
pairwise_within_sdg,sdg_8,sdg_16,0.717437
pairwise_within_sdg,sdg_8,sdg_17,0.755891
pairwise_within_sdg,sdg_9,sdg_10,0.584832
pairwise_within_sdg,sdg_9,sdg_11,0.758887
pairwise_within_sdg,sdg_9,sdg_12,0.692699
pairwise_within_sdg,sdg_9,sdg_13,0.720319
pairwise_within_sdg,sdg_9,sdg_14,0.563284
pairwise_within_sdg,sdg_9,sdg_15,0.634791
pairwise_within_sdg,sdg_9,sdg_16,0.745522
pairwise_within_sdg,sdg_9,sdg_17,0.783189
pairwise_within_sdg,sdg_10,sdg_11,0.66707
pairwise_within_sdg,sdg_10,sdg_12,0.710701
pairwise_within_sdg,sdg_10,sdg_13,0.659626
pairwise_within_sdg,sdg_10,sdg_14,0.690654
pairwise_within_sdg,sdg_10,sdg_15,0.689135
pairwise_within_sdg,sdg_10,sdg_16,0.656654
pairwise_within_sdg,sdg_10,sdg_17,0.639457
pairwise_within_sdg,sdg_11,sdg_12,0.826873
pairwise_within_sdg,sdg_11,sdg_13,0.774758
pairwise_within_sdg,sdg_11,sdg_14,0.728747
pairwise_within_sdg,sdg_11,sdg_15,0.823815
pairwise_within_sdg,sdg_11,sdg_16,0.736386
pairwise_within_sdg,sdg_11,sdg_17,0.75794
pairwise_within_sdg,sdg_12,sdg_13,0.759313
pairwise_within_sdg,sdg_12,sdg_14,0.785093
pairwise_within_sdg,sdg_12,sdg_15,0.820394
pairwise_within_sdg,sdg_12,sdg_16,0.713929
pairwise_within_sdg,sdg_12,sdg_17,0.728528
pairwise_within_sdg,sdg_13,sdg_14,0.696234
pairwise_within_sdg,sdg_13,sdg_15,0.785848
pairwise_within_sdg,sdg_13,sdg_16,0.803498
pairwise_within_sdg,sdg_13,sdg_17,0.83006
pairwise_within_sdg,sdg_14,sdg_15,0.855019
pairwise_within_sdg,sdg_14,sdg_16,0.607625
pairwise_within_sdg,sdg_14,sdg_17,0.661831
pairwise_within_sdg,sdg_15,sdg_16,0.665047
pairwise_within_sdg,sdg_15,sdg_17,0.734959
pairwise_within_sdg,sdg_16,sdg_17,0.784348
