sdg,n_papers,n_policy_chunks,n_policy_chunks_capped,n_policy_docs,n_policy_docs_capped,chunk_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,within_sdg_adjusted_similarity,within_sdg_adjusted_gap,within_sdg_adjusted_gap_research_cohesion,within_sdg_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2927,2159,319,319,50,0.682211,0.317789,0.335413,0.628145,0.795907,0.204093,0.336474,0.558415,0.113696,True,,False,
2,86745,2071,1937,332,332,50,0.674142,0.325858,0.41574,0.625761,0.822473,0.177527,0.417297,0.546851,0.148331,True,,False,
3,454371,3770,3426,386,386,50,0.562639,0.437361,0.374511,0.569541,0.685227,0.314773,0.375074,0.471272,0.122588,True,,False,
4,352005,2964,2964,364,364,50,0.714366,0.285634,0.451435,0.60985,0.890127,0.109873,0.452909,0.524569,0.175761,True,,False,
5,58242,3283,3231,518,518,50,0.748477,0.251523,0.371031,0.621902,0.861515,0.138485,0.370127,0.535283,0.113038,True,,False,
6,102589,1990,1961,305,305,50,0.490731,0.509269,0.410129,0.66397,0.72939,0.27061,0.409928,0.571493,0.238659,True,,False,
7,212882,2692,2436,363,363,50,0.502215,0.497785,0.41126,0.641406,0.746442,0.253558,0.410427,0.548935,0.244227,True,,False,
8,37550,2170,2067,301,301,50,0.720003,0.279997,0.394655,0.587084,0.866603,0.133397,0.39573,0.500864,0.1466,True,,False,
9,260631,4536,3466,400,400,50,0.779752,0.220248,0.379249,0.566334,0.859933,0.140067,0.37689,0.491844,0.080181,True,,False,
10,23872,869,606,163,163,50,0.499097,0.500903,0.304806,0.579239,0.74266,0.25734,0.306323,0.451933,0.243563,True,,False,
11,138646,3019,2933,309,309,50,0.543033,0.456967,0.406702,0.560707,0.71248,0.28752,0.406729,0.492355,0.169447,True,,False,
12,94787,2249,1978,289,289,50,0.571977,0.428023,0.350752,0.619907,0.792583,0.207417,0.350901,0.538609,0.220606,True,,False,
13,133076,5688,5165,1643,1643,50,0.463876,0.536124,0.389853,0.647758,0.596246,0.403754,0.391017,0.572437,0.13237,True,,False,
14,98797,1919,1544,310,310,50,0.516119,0.483881,0.340016,0.656702,0.768132,0.231868,0.340498,0.550941,0.252013,True,,False,
15,188842,2570,2295,379,379,50,0.536159,0.463841,0.406692,0.625442,0.750929,0.249071,0.406441,0.545421,0.21477,True,,False,
16,213730,4348,3782,1395,1395,50,0.64422,0.35578,0.35173,0.546306,0.771912,0.228088,0.352761,0.477997,0.127692,True,,False,
17,69370,7017,5882,1441,1441,50,0.341082,0.658918,0.343207,0.599978,0.441193,0.558807,0.344159,0.50429,0.100111,True,,False,
