group_type,group_value,count,mean_score,median_score,std_score,min_score,p25_score,p75_score,max_score
corpus,research,2543698,0.013171,0.007952,0.066127,-0.252151,-0.031762,0.052507,0.412597
corpus,policy,54082,0.291958,0.295151,0.060023,-0.088892,0.255403,0.332979,0.49513
sdg,SDG 1,20449,0.063427,0.03398,0.121497,-0.219341,-0.017845,0.111196,0.472311
corpus_by_sdg,research|SDG 1,17563,0.02396,0.018748,0.075702,-0.219341,-0.025885,0.069885,0.35261
corpus_by_sdg,policy|SDG 1,2886,0.303612,0.306986,0.050506,0.10701,0.27148,0.339683,0.472311
sdg,SDG 2,88900,0.025154,0.01395,0.082866,-0.236241,-0.029162,0.066985,0.448193
corpus_by_sdg,research|SDG 2,86745,0.018498,0.011961,0.071646,-0.236241,-0.030369,0.062055,0.386896
corpus_by_sdg,policy|SDG 2,2155,0.293077,0.298658,0.055568,0.07519,0.25921,0.329955,0.448193
sdg,SDG 3,458223,0.017731,0.009067,0.067745,-0.212492,-0.028139,0.053418,0.49507
corpus_by_sdg,research|SDG 3,454371,0.015468,0.008426,0.0631,-0.212492,-0.028482,0.051979,0.382378
corpus_by_sdg,policy|SDG 3,3852,0.284736,0.291029,0.066242,0.033676,0.242737,0.331375,0.49507
sdg,SDG 4,354946,0.029765,0.024654,0.063292,-0.241959,-0.012157,0.065205,0.459902
corpus_by_sdg,research|SDG 4,352005,0.027635,0.024071,0.058833,-0.241959,-0.012508,0.063961,0.384889
corpus_by_sdg,policy|SDG 4,2941,0.284802,0.288548,0.059977,0.064878,0.244456,0.32724,0.459902
sdg,SDG 5,61418,0.045042,0.031368,0.082732,-0.188632,-0.007778,0.078437,0.486448
corpus_by_sdg,research|SDG 5,58242,0.031974,0.02722,0.061234,-0.188632,-0.010003,0.069154,0.367293
corpus_by_sdg,policy|SDG 5,3176,0.284684,0.286923,0.055143,0.045361,0.250559,0.321025,0.486448
sdg,SDG 6,104603,-0.003171,-0.013287,0.078087,-0.214792,-0.052566,0.031325,0.471993
corpus_by_sdg,research|SDG 6,102589,-0.009323,-0.014676,0.064695,-0.214792,-0.053372,0.028118,0.352169
