sdg,n_papers,n_policy_segments_capped,n_policy_docs_capped,raw_gap,classifier_global_adjusted_gap,classifier_global_delta_gap,regression_global_adjusted_gap,regression_global_delta_gap,classifier_within_sdg_adjusted_gap,classifier_within_sdg_delta_gap,regression_within_sdg_adjusted_gap,regression_within_sdg_delta_gap,unreliable,unreliable_reason
1,17563,2231,359,0.324877,0.267824,0.057053,0.038902,0.285975,0.202605,0.122272,0.039787,0.28509,False,
2,86745,2049,352,0.332647,0.2697,0.062947,0.207096,0.125551,0.173688,0.158959,0.002411,0.330236,False,
3,454371,3493,395,0.438868,0.371775,0.067093,0.251145,0.187723,0.313138,0.12573,0.007267,0.431601,False,
4,352005,2941,358,0.286374,0.225254,0.06112,0.191668,0.094706,0.116992,0.169382,6.5e-05,0.286309,False,
5,58242,3112,498,0.249662,0.19833,0.051332,0.13168,0.117982,0.137489,0.112173,0.001556,0.248106,False,
6,102589,1965,306,0.512054,0.437166,0.074888,0.361713,0.150341,0.272718,0.239336,0.000489,0.511565,False,
7,212882,2360,370,0.495869,0.408633,0.087236,0.360138,0.135731,0.235895,0.259974,0.008154,0.487715,False,
8,37550,2361,313,0.293761,0.222574,0.071187,0.182761,0.111,0.139274,0.154487,0.004297,0.289464,False,
9,260631,3553,405,0.235833,0.175022,0.060811,0.160616,0.075217,0.1521,0.083733,0.004289,0.231544,False,
10,23872,686,188,0.512733,0.436607,0.076126,0.178469,0.334264,0.25098,0.261753,0.094177,0.418556,False,
11,138646,2807,302,0.457773,0.3939,0.063873,0.324513,0.13326,0.28819,0.169583,0.000281,0.457492,False,
12,94787,2007,291,0.431931,0.342043,0.089888,0.287731,0.1442,0.217596,0.214335,0.04388,0.388051,False,
13,133076,4702,1556,0.536984,0.487835,0.049149,0.401494,0.13549,0.381202,0.155782,0.002606,0.534378,False,
14,98797,1696,351,0.489305,0.421355,0.06795,0.340409,0.148896,0.245084,0.244221,0.038978,0.450327,False,
15,188842,2228,376,0.463327,0.400791,0.062536,0.349056,0.114271,0.262994,0.200333,0.007512,0.455815,False,
16,213730,3515,1215,0.341255,0.280167,0.061088,0.242296,0.098959,0.21269,0.128565,0.003707,0.337548,False,
17,69370,6280,1650,0.654344,0.617767,0.036577,0.444778,0.209566,0.547924,0.10642,0.02742,0.626924,False,
