sdg,classifier_cosine_similarity,regression_cosine_similarity,regression_abs_cosine_similarity,regression_within_sdg_cosine_similarity,regression_within_sdg_abs_cosine_similarity
1,0.381841,0.741776,0.741776,0.741776,0.741776
2,0.414628,0.621326,0.621326,0.707868,0.707868
3,0.453459,0.569125,0.569125,0.711252,0.711252
4,0.388676,0.490468,0.490468,0.574953,0.574953
5,0.367555,0.541778,0.541778,0.707803,0.707803
6,0.431823,0.503212,0.503212,0.752215,0.752215
7,0.409625,0.489085,0.489085,0.744156,0.744156
8,0.443364,0.655593,0.655593,0.652166,0.652166
9,0.442404,0.543426,0.543426,0.74056,0.74056
10,0.381,0.672413,0.672413,0.659167,0.659167
11,0.462852,0.581648,0.581648,0.66991,0.66991
12,0.430178,0.49126,0.49126,0.735212,0.735212
13,0.425364,0.520594,0.520594,0.757468,0.757468
14,0.411407,0.400968,0.400968,0.818096,0.818096
15,0.432507,0.483197,0.483197,0.735293,0.735293
16,0.269437,0.369091,0.369091,0.593006,0.593006
17,0.443677,0.533319,0.533319,0.760681,0.760681
