sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,sdg_balanced_adjusted_similarity,sdg_balanced_adjusted_gap,sdg_balanced_adjusted_gap_research_cohesion,sdg_balanced_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2886,2231,359,359,50,0.675123,0.324877,0.335413,0.629808,0.732176,0.267824,0.335672,0.581524,0.057053,True,,False,
2,86745,2155,2049,352,352,50,0.667353,0.332647,0.41574,0.630494,0.7303,0.2697,0.416455,0.586015,0.062947,True,,False,
3,454371,3852,3493,395,395,50,0.561132,0.438868,0.374511,0.568748,0.628225,0.371775,0.374938,0.512963,0.067093,True,,False,
4,352005,2941,2941,358,358,50,0.713626,0.286374,0.451435,0.611507,0.774746,0.225254,0.451541,0.566533,0.06112,True,,False,
5,58242,3176,3112,498,498,50,0.750338,0.249662,0.371031,0.624689,0.80167,0.19833,0.370603,0.581683,0.051332,True,,False,
6,102589,2014,1965,306,306,50,0.487946,0.512054,0.410129,0.665728,0.562834,0.437166,0.410866,0.621938,0.074888,True,,False,
7,212882,2585,2360,370,370,50,0.504131,0.495869,0.41126,0.646712,0.591367,0.408633,0.411677,0.603797,0.087236,True,,False,
8,37550,2564,2361,313,313,50,0.706239,0.293761,0.394655,0.582217,0.777426,0.222574,0.394686,0.52469,0.071187,True,,False,
9,260631,4485,3553,405,405,50,0.764167,0.235833,0.379249,0.564743,0.824978,0.175022,0.379196,0.519418,0.060811,True,,False,
10,23872,901,686,188,188,50,0.487267,0.512733,0.304806,0.568921,0.563393,0.436607,0.305471,0.516084,0.076126,True,,False,
11,138646,2871,2807,302,302,50,0.542227,0.457773,0.406702,0.567235,0.6061,0.3939,0.407116,0.511444,0.063873,True,,False,
12,94787,2395,2007,291,291,50,0.568069,0.431931,0.350752,0.620327,0.657957,0.342043,0.351627,0.572498,0.089888,True,,False,
13,133076,5160,4702,1556,1556,50,0.463016,0.536984,0.389853,0.655736,0.512165,0.487835,0.390583,0.61323,0.049149,True,,False,
14,98797,2078,1696,351,351,50,0.510695,0.489305,0.340016,0.653001,0.578645,0.421355,0.340625,0.612096,0.06795,True,,False,
15,188842,2470,2228,376,376,50,0.536673,0.463327,0.406692,0.628879,0.599209,0.400791,0.407288,0.58368,0.062536,True,,False,
16,213730,3809,3515,1215,1215,50,0.658745,0.341255,0.35173,0.543669,0.719833,0.280167,0.351913,0.493172,0.061088,True,,False,
17,69370,7740,6280,1650,1650,50,0.345656,0.654344,0.343207,0.591628,0.382233,0.617767,0.343545,0.531906,0.036577,True,,False,
