sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,within_sdg_adjusted_similarity,within_sdg_adjusted_gap,within_sdg_adjusted_gap_research_cohesion,within_sdg_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2886,2231,359,359,50,0.675123,0.324877,0.335413,0.629808,0.797395,0.202605,0.336688,0.559475,0.122272,True,,False,
2,86745,2155,2049,352,352,50,0.667353,0.332647,0.41574,0.630494,0.826312,0.173688,0.417519,0.54668,0.158959,True,,False,
3,454371,3852,3493,395,395,50,0.561132,0.438868,0.374511,0.568748,0.686862,0.313138,0.375199,0.471536,0.12573,True,,False,
4,352005,2941,2941,358,358,50,0.713626,0.286374,0.451435,0.611507,0.883008,0.116992,0.452855,0.526986,0.169382,True,,False,
5,58242,3176,3112,498,498,50,0.750338,0.249662,0.371031,0.624689,0.862511,0.137489,0.370149,0.53886,0.112173,True,,False,
6,102589,2014,1965,306,306,50,0.487946,0.512054,0.410129,0.665728,0.727282,0.272718,0.410637,0.564326,0.239336,True,,False,
7,212882,2585,2360,370,370,50,0.504131,0.495869,0.41126,0.646712,0.764105,0.235895,0.411257,0.540953,0.259974,True,,False,
8,37550,2564,2361,313,313,50,0.706239,0.293761,0.394655,0.582217,0.860726,0.139274,0.396027,0.500809,0.154487,True,,False,
9,260631,4485,3553,405,405,50,0.764167,0.235833,0.379249,0.564743,0.8479,0.1521,0.376899,0.485868,0.083733,True,,False,
10,23872,901,686,188,188,50,0.487267,0.512733,0.304806,0.568921,0.74902,0.25098,0.306007,0.442698,0.261753,True,,False,
11,138646,2871,2807,302,302,50,0.542227,0.457773,0.406702,0.567235,0.71181,0.28819,0.406883,0.497412,0.169583,True,,False,
12,94787,2395,2007,291,291,50,0.568069,0.431931,0.350752,0.620327,0.782404,0.217596,0.350967,0.539065,0.214335,True,,False,
13,133076,5160,4702,1556,1556,50,0.463016,0.536984,0.389853,0.655736,0.618798,0.381202,0.391221,0.569112,0.155782,True,,False,
14,98797,2078,1696,351,351,50,0.510695,0.489305,0.340016,0.653001,0.754916,0.245084,0.340394,0.549077,0.244221,True,,False,
15,188842,2470,2228,376,376,50,0.536673,0.463327,0.406692,0.628879,0.737006,0.262994,0.407693,0.538632,0.200333,True,,False,
16,213730,3809,3515,1215,1215,50,0.658745,0.341255,0.35173,0.543669,0.78731,0.21269,0.352812,0.477954,0.128565,True,,False,
17,69370,7740,6280,1650,1650,50,0.345656,0.654344,0.343207,0.591628,0.452076,0.547924,0.344069,0.508495,0.10642,True,,False,
