sdg,combined_n,combined_f1,combined_cosine,combined_coverage,combined_gap,osdg_n,osdg_f1,osdg_cosine,osdg_coverage,osdg_gap,sdgi_n,sdgi_f1,sdgi_cosine,sdgi_coverage,sdgi_gap,knowledgehub_n,knowledgehub_f1,knowledgehub_cosine,knowledgehub_coverage,knowledgehub_gap
1,2213,0.6984126984126984,1.0,14971,0.28008793450583114,1743,0.696969696969697,0.9903178811073303,18348,0.3286316760553779,317,0.7076923076923077,0.9140284657478333,14782,0.2660544735047048,153,0.0,0.5120630860328674,35146,0.8051211866171942
2,1768,0.8444444444444444,1.0,88947,0.3235365150935555,1386,0.8444444444444444,0.988883376121521,88364,0.33386209551972335,321,0.7804878048780488,0.888589084148407,100220,0.34375634609647787,61,0.7916666666666666,0.8056378960609436,160806,0.4486554563922367
3,2621,0.64,1.0,438382,0.4235452999251139,2187,0.5833333333333334,0.9928016066551208,461638,0.44190217307924606,364,0.6071428571428571,0.8598507642745972,421276,0.41250922831994974,70,0.6779661016949152,0.7230013608932495,425281,0.435658421152458
4,3363,0.9195402298850575,1.0,345372,0.28500218656112897,2983,0.9195402298850575,0.9974035620689392,353269,0.2870508849163754,339,0.8791208791208791,0.8936288356781006,367183,0.2893841618416564,41,0.8571428571428571,0.6966614723205566,382814,0.29827908230613465
5,3787,0.7105263157894737,1.0,57341,0.2500804076236154,3401,0.7123287671232876,0.9978823661804199,58680,0.253849287294992,354,0.6575342465753424,0.8860540390014648,81372,0.29654061886461014,32,0.6486486486486487,0.7237071990966797,71840,0.27480257752482173
6,2305,0.8775510204081632,1.0,90576,0.48018378154246544,1879,0.8686868686868687,0.9946650862693787,104730,0.5143184164468457,304,0.8387096774193549,0.8958151340484619,72936,0.43004559150758503,122,0.8484848484848485,0.8479926586151123,129462,0.5216016569762012
7,2781,0.8775510204081632,1.0,204201,0.4959771320684242,2398,0.8712871287128713,0.9970381259918213,216430,0.5029321928523331,316,0.8686868686868687,0.9026684761047363,233924,0.5119911981843985,67,0.8598130841121495,0.84392249584198,340638,0.5681574979450532
8,1447,0.5333333333333333,1.0,42804,0.2770337736287529,1104,0.5230769230769231,0.9845662117004395,38662,0.2858903795420016,325,0.4067796610169492,0.8895039558410645,63828,0.3173038577015641,18,0.3620689655172414,0.7476186752319336,124609,0.3794546722207731
9,2319,0.6666666666666666,1.0,242254,0.2337850605009979,2016,0.6176470588235294,0.995029091835022,271741,0.26133241188008927,285,0.6153846153846154,0.8402361273765564,240883,0.3135573560419139,18,0.5517241379310345,0.720016598701477,131436,0.23596320159328377
10,1695,0.7096774193548387,1.0,21156,0.4664051540038512,1388,0.711864406779661,0.9918817281723022,25249,0.5157230382092813,256,0.6,0.8586443662643433,42974,0.42871298036307337,51,0.15,0.49949437379837036,76100,0.3718962973290304
11,1957,0.5454545454545454,1.0,127618,0.4343421913977622,1616,0.509090909090909,0.9935486912727356,141142,0.46649505124250135,274,0.5714285714285714,0.8945861458778381,91158,0.3461829166751349,67,0.6296296296296297,0.7498515844345093,108151,0.367889471455491
12,1080,0.7088607594936709,1.0,87112,0.40122915234057266,718,0.7012987012987013,0.9855186939239502,96433,0.43047223444025695,287,0.6987951807228916,0.9454118013381958,62947,0.3159897303703152,75,0.6585365853658537,0.8860200643539429,97454,0.35493641363204875
13,2186,0.7123287671232876,1.0,105362,0.5113458948922351,1535,0.6436781609195402,0.9890184998512268,155820,0.5716315440197568,305,0.6229508196721312,0.9054919481277466,141882,0.5294583395381111,346,0.6037735849056604,0.9062255620956421,62480,0.49480753868463334
14,1337,0.8055555555555556,1.0,99283,0.4771011231255813,960,0.821917808219178,0.9849143028259277,101402,0.49158650490288336,256,0.7894736842105263,0.9119908809661865,123624,0.5336172149169188,121,0.7837837837837838,0.8370793461799622,115658,0.5270260386402177
15,2356,0.7073170731707317,1.0,181410,0.46678793509853467,1853,0.6829268292682927,0.9948813915252686,194906,0.47191291002291513,299,0.6987951807228916,0.925905704498291,214340,0.5036543241270397,204,0.6666666666666666,0.8693925142288208,186868,0.4850945390634944
16,3836,0.8611111111111112,1.0,196153,0.3233548894833608,3367,0.8450704225352113,0.9945675730705261,216884,0.3677923313152517,310,0.8,0.7965805530548096,174806,0.2967002114602839,159,0.7796610169491526,0.6949052810668945,69880,0.28894984494243126
17,937,0.2909090909090909,1.0,200756,0.6975295495107483,0,,,0,,321,0.4367816091954023,0.9335908889770508,95563,0.405583954504418,616,0.3157894736842105,0.9850344061851501,25075,0.25502803076360947
